locId,country,region,city,postcode
225470,IL,,,
225471,IL,5,Ramat Gan,
225472,IL,3,Nahariya,
225473,IL,4,Haifa,
225474,IL,6,Jerusalem,
225475,IL,5,Tel Aviv,
225476,IL,3,Nazareth Illit,
225477,IL,2,Rishon Le Zion,
225478,IL,2,Yavne,
225479,IL,2,Kfar Saba,
225480,IL,5,Herzliya,
225481,IL,2,Rehovot,
225482,IL,1,Aba Hillel,
225483,IL,2,Netanya,
225484,IL,2,Mazliah,
225485,IL,5,Ramat Hasharon,
225486,IL,3,Migdal,
225487,IL,5,Or Yehuda,
225488,IL,3,Tiberias,
225489,IL,1,Ashdod,
225490,IL,5,Holon,
225491,IL,5,Ramat Aviv,
225492,IL,4,Magal,
225493,IL,4,Caesarea,
225494,IL,2,Natanya,
225495,IL,3,Hazor,
225496,IL,3,Segev,
225497,IL,3,Misgav,
225498,IL,1,Eilat,
225499,IL,4,Qiryat Yam,
225500,IL,3,Habonim,
225501,IL,2,Bareket,
225502,IL,2,Tel Hashomer,
225503,IL,2,Eyal,
225504,IL,3,Lotem,
225505,IL,2,Reuven,
225506,IL,3,Ginnosar,
225507,IL,1,Nevatim,
225508,IL,1,Shahar,
225509,IL,5,Reshef,
225510,IL,2,Kefar Malal,
225511,IL,4,Nesher,
225512,IL,3,Rama,
225513,IL,1,Dorot,
225514,IL,3,Ramah,
225515,IL,3,Maoz,
225516,IL,3,Haon,
225517,IL,4,Hadera,
225518,IL,1,Karmon,
225519,IL,4,Carmel,
225520,IL,2,Even Yehuda,
225521,IL,3,Regba,
225522,IL,2,Gezer,
225523,IL,3,Almagor,
225524,IL,1,Eitan,
225525,IL,2,Ness Ziona,
225526,IL,3,Gadot,
225527,IL,2,Yehud,
225528,IL,1,Yahel,
225529,IL,1,Revivim,
225530,IL,6,Neve Ilan,
225531,IL,3,Megido,
225532,IL,2,Hod Hasharon,
225533,IL,3,Dalia,
225534,IL,3,Gazit,
225535,IL,2,Kefár Saba,
225536,IL,3,Kfar Tavor,
225537,IL,1,Abba Hillel,
225538,IL,3,Beit Hakerem,
225539,IL,1,Nirim,
225540,IL,5,Azur,
225541,IL,3,Carmiel,
225542,IL,2,Yakum,
225543,IL,1,Noga,
225544,IL,1,Magén,
225545,IL,5,Glil Yam,
225546,IL,2,Nehalim,
225547,IL,2,Gedera,
225548,IL,1,Gilat,
225549,IL,3,Poriya,
225550,IL,3,Amirim,
225551,IL,1,Shoval,
225552,IL,2,Savyon,
225553,IL,3,Kineret,
225554,IL,4,Shfeyah,
225555,IL,2,Hulda,
225556,IL,3,Asher,
225557,IL,2,Hadar,
225558,IL,2,Daniel,
225559,IL,2,Yamin,
225560,IL,3,Hasharon,
225561,IL,3,Hever,
225562,IL,5,Bat Yam,
225563,IL,3,Gvat,
225564,IL,1,Lahat,
225565,IL,3,Gesher,
225566,IL,3,Beit Shean,
225567,IL,2,Hadasim,
225568,IL,2,Magshimim,
225569,IL,4,Binyamina,
225570,IL,3,Rami,
225571,IL,3,Wingate,
225572,IL,2,Yad Binyamin,
225573,IL,1,Hatzor,
225574,IL,2,Porat,
225575,IL,2,Tel Mond,
225576,IL,3,Shavei Zion,
225577,IL,5,Ganot,
225578,IL,3,Gadish,
225579,IL,1,Zofar,
225580,IL,3,Moran,
225581,IL,1,Sderot,
225582,IL,3,Reshafim,
225583,IL,6,Beit-shemesh,
225584,IL,4,Barkai,
225585,IL,2,Ramla,
225586,IL,1,Erez,
225587,IL,2,Bet Dagan,
225588,IL,3,Nazareth,
225589,IL,1,Brosh,
225590,IL,3,Hanita,
225591,IL,3,Dovrat,
225592,IL,3,Sulam,
225593,IL,5,Gelilot,
225594,IL,3,Alumot,
225595,IL,2,Hagor,
225596,IL,3,Shlomi,
225597,IL,5,Hakirya,
225598,IL,3,Lavi,
225599,IL,2,Ben Shemen,
225600,IL,3,Merchavia,
225601,IL,3,Eilon,
225602,IL,3,Alonim,
225603,IL,2,Givat Haim,
225604,IL,1,Negba,
225605,IL,1,Urim,
225606,IL,3,Gonen,
225607,IL,2,Ramat Hakovesh,
225608,IL,1,Yasur,
225609,IL,1,Mefalsim,
225610,IL,2,Nir Eliyahu,
225611,IL,4,Alona,
225612,IL,1,Ofakim,
225613,IL,3,Sarid,
225614,IL,3,Shamir,
225615,IL,3,Dafna,
225616,IL,2,Einat,
225617,IL,4,Hahotrim,
225618,IL,2,Herut,
225619,IL,2,Yavneh,
225620,IL,3,Tsipori,
225621,IL,5,Azor,
225622,IL,3,Bney-brit,
225623,IL,2,Zofit,
225624,IL,5,Yafo,
225625,IL,2,Kidron,
225626,IL,3,Kafar Manda,
