locId,country,region,city,postcode
226537,IM,,,
226538,IM,0,Ramsey,
226539,IM,0,Douglas,
226540,IM,0,Port Erin,
226541,IM,0,Castletown,
226542,IM,0,Onchan,
226543,IM,0,Peel,
226544,IM,0,Laxey,
226545,IM,0,Ballasalla,
226546,IM,0,Saint Johns,
226547,IM,0,Crosby,
226548,IM,0,Santon,
226549,IM,0,Port Soderick,
226550,IM,0,Colby,
226551,IM,0,Kirkmichael,
226552,IM,0,Dalby,
226553,IM,0,Port Saint Mary,
226554,IM,0,Union Mills,
226555,IM,0,Foxdale,
226556,IM,0,Sulby,
226557,IM,0,Maughold,
226558,IM,0,Andreas,
226559,IM,0,Jurby,
226560,IM,0,Lezayre,
226561,IM,0,Saint Marks,
226562,IM,0,Ballabeg,
226563,IM,0,Bride,
226564,IM,0,Conchan,
226565,IM,0,Glen Maye,
226566,IM,0,Saint Mark,
226567,IM,0,Kirk Braddan,
226568,IM,0,Saint Anne,
226569,IM,0,Patrick,
226570,IM,0,Derbyhaven,
226571,IM,0,Dog Mills,
226572,IM,0,Cregneish,
