locId,country,region,city,postcode
226573,IN,,,
226574,IN,10,Haryana,
226575,IN,16,Vani,
226576,IN,19,Bangalore,
226577,IN,2,Hyderabad,
226578,IN,16,Pune,
226579,IN,24,Jaipur,
226580,IN,16,Bombay,
226581,IN,13,Cochin,
226582,IN,10,Gurgaon,
226583,IN,7,New Delhi,
226584,IN,7,Delhi,
226585,IN,13,Trivandrum,
226586,IN,13,Manjeri,
226587,IN,25,Chennai,
226588,IN,25,Sivakasi,
226589,IN,34,Jayanagar,
226590,IN,16,Thane,
226591,IN,35,Indore,
226592,IN,28,Calcutta,
226593,IN,16,Amalner,
226594,IN,5,Chandigarh,
226595,IN,24,Nagar,
226596,IN,23,Jalandhar,
226597,IN,13,Calicut,
226598,IN,16,Nagpur,
226599,IN,2,Secunderabad,
226600,IN,16,Andheri,
226601,IN,9,Surat,
226602,IN,16,Ulhasnagar,
226603,IN,36,Ghaziabad,
226604,IN,28,Kolkata,
226605,IN,25,West Mambalam,
226606,IN,13,Ernakulam,
226607,IN,7,Dehli,
226608,IN,35,Rama,
226609,IN,9,Ahmedabad,
226610,IN,11,Bhawan,
226611,IN,16,Bandra,
226612,IN,25,Hosur,
226613,IN,25,Pallavaram,
226614,IN,35,Bagh,
226615,IN,9,Bharat,
226616,IN,36,Agra,
226617,IN,2,Visakhapatnam,
226618,IN,10,Faridabad,
226619,IN,28,Bazar,
226620,IN,25,Manali,
226621,IN,19,Yelahanka,
226622,IN,35,Sarai,
226623,IN,39,Chopra,
226624,IN,11,Kumar,
226625,IN,9,Anand,
226626,IN,35,Jabalpur,
226627,IN,9,Vadodara,
226628,IN,16,Mohali,
226629,IN,9,Basu,
226630,IN,25,Coimbatore,
226631,IN,12,Shar,
226632,IN,19,Gokak,
226633,IN,36,Mohan,
226634,IN,11,Hari,
226635,IN,12,Raju,
226636,IN,36,Sahibabad,
226637,IN,11,Shimla,
226638,IN,2,Tirupati,
226639,IN,19,Manipal,
226640,IN,13,Thiruvananthapuram,
226641,IN,28,Chandra,
226642,IN,16,Pande,
226643,IN,24,Lamba,
226644,IN,35,Dhar,
226645,IN,16,Kalyan,
226646,IN,19,Mangalore,
226647,IN,19,Chickmagalur,
226648,IN,37,Lanka,
226649,IN,9,Somnath,
226650,IN,19,Vittal,
226651,IN,16,Juhu,
226652,IN,16,Parel,
226653,IN,16,Colaba,
226654,IN,16,Worli,
226655,IN,25,Erode,
226656,IN,19,Shimogga,
226657,IN,12,Patel,
226658,IN,12,Bala,
226659,IN,19,Mysore,
226660,IN,36,Lucknow,
226661,IN,23,Landran,
226662,IN,23,Ropar,
226663,IN,9,Gandhinagar,
226664,IN,25,Madurai,
226665,IN,3,Bhandari,
226666,IN,16,Abdul,
226667,IN,28,Sahara,
226668,IN,38,Anjan,
226669,IN,2,Krishna,
226670,IN,39,Badrinath,
226671,IN,13,Vazhakulam,
226672,IN,13,Kottayam,
226673,IN,12,Mano,
226674,IN,9,Bhat,
226675,IN,10,Sanghi,
226676,IN,16,Kusumba,
226677,IN,35,Bain,
226678,IN,28,Mahesh,
226679,IN,25,Trichy,
226680,IN,19,Sangam,
226681,IN,16,Vile Parle,
226682,IN,16,Jogeshwari,
226683,IN,30,Shakti,
226684,IN,35,Sagar,
226685,IN,21,Jagannath,
226686,IN,9,Sarla,
226687,IN,10,Kasan,
226688,IN,16,Shirdi,
226689,IN,25,Navalur,
226690,IN,11,Mani,
226691,IN,24,Udaipur,
226692,IN,9,Ankleshwar,
226693,IN,16,Chinchwad,
226694,IN,35,Bhopal,
226695,IN,36,Varanasi,
226696,IN,2,Vizag,
226697,IN,2,Vijayawada,
226698,IN,35,Baroda,
226699,IN,28,Salt Lake City,
226700,IN,9,Dwarka,
226701,IN,36,Dadri,
226702,IN,19,Agni,
226703,IN,35,Soni,
226704,IN,11,Kalka,
226705,IN,28,Multi,
226706,IN,7,Mehrauli,
226707,IN,7,Kalkaji,
226708,IN,12,Santnagar,
226709,IN,16,Miri,
226710,IN,3,Powai,
226711,IN,16,Karnala,
226712,IN,34,Pusa,
226713,IN,24,Mandal,
226714,IN,12,Sial,
226715,IN,24,Surana,
226716,IN,9,Sachin,
226717,IN,39,Haldwani,
226718,IN,16,Wardha,
226719,IN,16,Solapur,
226720,IN,25,Madras,
226721,IN,10,Saha,
226722,IN,39,Mussoorie,
226723,IN,22,Pondicherry,
226724,IN,33,Panjim,
226725,IN,3,Guwahati,
226726,IN,12,Jammu,
226727,IN,2,Andra,
226728,IN,25,Karur,
226729,IN,19,Belgaum,
226730,IN,19,Hubli,
226731,IN,9,Dama,
226732,IN,1,Port Blair,
226733,IN,3,Tezpur,
226734,IN,28,Suri,
226735,IN,36,Kanpur,
226736,IN,13,Alwaye,
226737,IN,19,Mansur,
226738,IN,10,Ganga,
226739,IN,24,Chhabra,
226740,IN,36,Meerut,
226741,IN,2,Nellore,
226742,IN,25,Neyveli,
226743,IN,19,Venur,
226744,IN,28,Howrah,
226745,IN,16,Aurangabad,
226746,IN,10,Hisar,
226747,IN,35,Gwalior,
226748,IN,25,Tirunelveli,
226749,IN,19,Tumkur,
226750,IN,16,Sinnar,
226751,IN,18,Shillong,
226752,IN,33,Curchorem,
226753,IN,16,Ahmednagar,
226754,IN,25,Thanjavur,
226755,IN,16,Chandrapur,
226756,IN,35,Chand,
226757,IN,36,Mathura,
226758,IN,39,Almora,
226759,IN,12,Srinagar,
226760,IN,10,Sonepat,
226761,IN,10,Rewari,
226762,IN,16,Akola,
226763,IN,16,Jalna,
226764,IN,21,Koraput,
226765,IN,28,Kalyani,
226766,IN,19,Hassan,
226767,IN,16,Khopoli,
226768,IN,38,Ranchi,
226769,IN,13,Palakkad,
226770,IN,23,Ludhiana,
226771,IN,16,Satara,
226772,IN,19,Mandya,
226773,IN,13,Trichur,
226774,IN,16,Purna,
226775,IN,12,Chakra,
226776,IN,12,Suman,
226777,IN,16,Paras,
226778,IN,2,Nirmal,
226779,IN,2,Guntur,
226780,IN,2,Proddatur,
226781,IN,7,Alipur,
226782,IN,9,Rajkot,
226783,IN,23,Sangrur,
226784,IN,36,Kantha,
226785,IN,11,Koti,
226786,IN,37,Sarda,
226787,IN,25,Nagercoil,
226788,IN,12,Gali,
226789,IN,9,Jamnagar,
226790,IN,11,Shil,
226791,IN,12,Khan,
226792,IN,21,Bhubaneswar,
226793,IN,38,Mandar,
226794,IN,23,Rajpura,
226795,IN,23,Patiala,
226796,IN,23,Kapurthala,
226797,IN,23,Morinda,
226798,IN,23,Amritsar,
226799,IN,23,Hoshiarpur,
226800,IN,23,Phagwara,
226801,IN,23,Bhatinda,
226802,IN,24,Meghana,
226803,IN,13,Tiruvalla,
226804,IN,23,Moga,
226805,IN,12,Karan,
226806,IN,23,Khanna,
226807,IN,12,Bawan,
226808,IN,19,Kunnur,
226809,IN,13,Kollam,
226810,IN,26,Agartala,
226811,IN,28,Kharagpur,
226812,IN,36,Aligarh,
226813,IN,16,Amravati,
226814,IN,2,Vishakhapatnam,
226815,IN,9,Maliya,
226816,IN,13,Paravoor,
226817,IN,3,Arunachal,
226818,IN,3,Silchar,
226819,IN,35,Rewa,
226820,IN,9,Bhavnagar,
226821,IN,28,Burdwan,
226822,IN,36,Faizabad,
226823,IN,36,Khairagarh,
226824,IN,34,Darbhanga,
226825,IN,25,Tiruchirappalli,
226826,IN,21,Berhampur,
226827,IN,24,Pilani,
226828,IN,36,Jhansi,
226829,IN,16,Charan,
226830,IN,24,Gandhigram,
226831,IN,19,Gulbarga,
226832,IN,37,Bilaspur,
226833,IN,11,Kangri,
226834,IN,39,Garhwal,
