locId,country,region,city,postcode
229742,IO,,,
229743,IQ,,,
229744,IQ,7,Baghdad,
229745,IQ,10,Dohuk,
229746,IQ,11,Sara,
229747,IQ,11,Erbil,
229748,IQ,7,Bagdad,
229749,IQ,3,Mansur,
229750,IQ,5,Dukan,
229751,IQ,5,Sulaimania,
229752,IQ,9,Sidra,
229753,IQ,5,Koya,
229754,IQ,11,Arbil,
229755,IQ,11,Irbil,
229756,IQ,12,Kerbala,
229757,IQ,1,Diwaniyah,
229758,IQ,15,Mosul,
229759,IQ,17,Najaf,
229760,IQ,2,Umm Qasr,
229761,IQ,7,Salim,
229762,IQ,8,Zakho,
229763,IQ,8,Duhok,
229764,IQ,15,Gayara,
229765,IQ,5,Ranya,
229766,IQ,13,Riyadh,
229767,IQ,11,Khalid,
229768,IQ,1,Sulaymaniyah,
229769,IQ,9,Thamir,
229770,IQ,16,Al Kut,
229771,IQ,13,Aran,
229772,IQ,5,Basrah,
229773,IQ,2,Basra,
229774,IQ,3,Samawa,
229775,IQ,17,An Najaf,
229776,IQ,13,Kirkuk,
229777,IQ,6,`ali Al Ahmad,
229778,IQ,7,Al Karradah,
229779,IQ,10,Sulaymani,
229780,IQ,9,Abdulla,
229781,IQ,10,Saida,
229782,IQ,9,Abdullah,
229783,IQ,7,Karrada,
229784,IQ,6,Hilla,
229785,IQ,16,Kut,
229786,IQ,9,Nasiriyah,
229787,IQ,18,Kuwait,
229788,IQ,1,Sulaimaniya,
229789,IQ,14,Amara,
229790,IQ,7,Washash,
229791,IQ,10,Sulaimani,
229792,IQ,1,Diwaniya,
229793,IQ,6,Babil,
229794,IQ,1,Ramadi,
229795,IQ,11,Khanzad,
229796,IQ,18,Tikrit,
229797,IQ,18,Bayji,
229798,IQ,13,Goran,
229799,IQ,11,Ankawa,
229800,IQ,2,Zain,
229801,IQ,18,Balad,
229802,IQ,8,Korek,
229803,IQ,18,Soran,
229804,IQ,10,Ahmad,
229805,IQ,13,Rami,
229806,IQ,10,Dahuk,
229807,IQ,7,Salm,
229808,IQ,16,Wasit,
229809,IQ,1,As Sulaymaniyah,
229810,IQ,11,Qasr,
229811,IQ,5,Bagh,
229812,IQ,1,Hit,
229813,IQ,5,Slemani,
229814,IQ,7,Bab Ash Shaikh,
229815,IQ,5,Sleimani,
229816,IQ,18,Dawr,
229817,IQ,1,Fallujah,
229818,IQ,11,Shaqlawa,
229819,IQ,15,Dawasa,
229820,IQ,13,Karkuk,
229821,IQ,18,Tuz,
229822,IQ,2,Ar Rabbat,
229823,IQ,11,Sulaiman Bakhshan,
229824,IQ,7,Bâ Dûraja',
229825,IQ,15,Girkan,
229826,IQ,13,Buguk Chachamak,
229827,IQ,17,Kufa,
229828,IQ,15,Sinjar,
229829,IQ,15,Abu Maria,
229830,IQ,3,As Samawah,
229831,IQ,1,Subhaniyah,
229832,IQ,8,Duban,
229833,IQ,18,Taji,
229834,IQ,18,Tekrit,
229835,IQ,5,Sulaimanieh,
229836,IQ,15,Mossoul,
229837,IQ,5,Ranyah,
229838,IQ,15,Akre,
229839,IQ,5,Chamchamal,
229840,IQ,5,Kalar,
229841,IQ,11,Hawar Kon,
229842,IQ,15,Moussoul,
229843,IQ,5,Mawlan,
229844,IQ,2,Bassra,
229845,IQ,13,Arbali,
229846,IQ,16,Baghdadie,
229847,IQ,13,Shaykh,
229848,IQ,9,Baghdadi,
229849,IQ,5,Halabja,
229850,IQ,6,Hilah,
229851,IQ,10,Kirakan,
229852,IQ,18,Sulaiman Beg,
229853,IQ,15,Tall Aswad,
229854,IQ,11,Mamah Khalan,
229855,IQ,5,Hajiawa,
229856,IQ,10,Ahad Majid,
229857,IQ,13,Habah,
229858,IQ,5,Hawlu,
229859,IQ,5,As Sulaymaniyah,
229860,IQ,11,Harir,
229861,IQ,7,New Washshash Village,
229862,IQ,11,Khalifan,
229863,IQ,5,Debendi Khan,
229864,IQ,5,Kawa Charmak Pachalucha,
229865,IQ,11,Takaltu,
229866,IQ,10,Al Muradiyah,
229867,IQ,10,Buhilab,
229868,IQ,5,Rania,
229869,IQ,11,Almawan,
229870,IQ,4,Ad Diwaniyah,
229871,IQ,2,Al Basrah,
229872,IQ,10,Ba'quba,
229873,IQ,15,Kanbas,
229874,IQ,5,Darbandikhan,
229875,IQ,8,Samahhuk,
229876,IQ,5,`ali Mansur,
229877,IQ,5,Solia,
229878,IQ,11,Sulayman Bakhshan,
229879,IQ,11,Hayat,
229880,IQ,5,Raniya,
229881,IQ,5,Sangasar,
229882,IQ,7,Karabla,
229883,IQ,15,Al Adla,
229884,IQ,9,Bahr,
229885,IQ,11,Diyana,
229886,IQ,11,Koy Senjaq,
229887,IQ,2,Zubair,
229888,IQ,15,Asas,
229889,IQ,5,Hala,
229890,IQ,10,Bakuba,
229891,IQ,5,Sarbast,
229892,IQ,17,Qadisiya,
229893,IQ,5,Zharawa,
229894,IQ,11,Hawler,
229895,IQ,11,Taqtaq,
229896,IQ,10,Khanaqin,
229897,IQ,5,Bakrajo,
229898,IQ,5,Ablagh,
229899,IQ,15,Alqosh,
229900,IQ,10,Khalis,
229901,IQ,10,Hassan,
229902,IQ,8,Suli,
229903,IQ,3,Samawah,
229904,IQ,7,Muhammad,
229905,IQ,5,Halabjah,
229906,IQ,1,Falluja,
