locId,country,region,city,postcode
229907,IR,,,
229908,IR,30,Mashad,
229909,IR,26,Tehran,
229910,IR,28,Isfahan,
229911,IR,7,Shiraz,
229912,IR,26,Karaj,
229913,IR,16,Khorasan,
229914,IR,3,Iran,
229915,IR,1,Maragheh,
229916,IR,23,Sharif,
229917,IR,21,Azad,
229918,IR,11,Molla,
229919,IR,28,Esfahan,
229920,IR,7,Mehr,
229921,IR,30,Mashhad,
229922,IR,21,Shahrak,
229923,IR,33,Evin,
229924,IR,7,Shahid,
229925,IR,1,Tabriz,
229926,IR,27,Imam,
229927,IR,10,Ilam,
229928,IR,7,Kashan,
229929,IR,24,Arak,
229930,IR,15,Kordestan,
229931,IR,28,Kashanak,
229932,IR,8,Send,
229933,IR,24,Chamran,
229934,IR,29,Kerman,
229935,IR,11,Shahrood,
229936,IR,26,Pars,
229937,IR,25,Semnan,
229938,IR,9,Gostar,
229939,IR,4,Tamin,
229940,IR,17,Shahr,
229941,IR,27,Zanjan,
229942,IR,31,Mansoori,
229943,IR,11,Golestan,
229944,IR,30,Sabzevar,
229945,IR,24,Alborz,
229946,IR,31,Park,
229947,IR,5,Hejrat,
229948,IR,15,Pardis,
229949,IR,7,Jahrom,
229950,IR,25,Larestan,
229951,IR,4,Zahedan,
229952,IR,23,Borujerd,
229953,IR,4,Chabahar,
229954,IR,11,Bandar,
229955,IR,32,Ardabil,
229956,IR,8,Almas,
229957,IR,32,Ardebil,
229958,IR,27,Emam,
229959,IR,15,Shahid Chamran,
229960,IR,22,Bank,
229961,IR,27,Qazvin,
229962,IR,30,Jahan,
229963,IR,22,Bushehr,
229964,IR,2,Sabz,
229965,IR,17,Sari,
229966,IR,13,Kermanshah,
229967,IR,7,Fassa,
229968,IR,30,Rasan,
229969,IR,30,Ferdowsi,
229970,IR,17,Tonekabon,
229971,IR,7,Shohada,
229972,IR,4,Dadeh,
229973,IR,17,Behshahr,
229974,IR,22,Barid,
229975,IR,8,Rasht,
229976,IR,29,Afzar,
229977,IR,7,Shahed,
229978,IR,30,Fars,
229979,IR,26,Lavasan,
229980,IR,15,Dezful,
229981,IR,7,Yasooj,
229982,IR,7,Yasuj,
229983,IR,7,Fasa,
229984,IR,29,Rafsanjan,
229985,IR,1,Payam,
229986,IR,7,Bayan,
229987,IR,30,Golshahr,
229988,IR,17,Babol,
229989,IR,9,Hamadan,
229990,IR,28,Najafabad,
229991,IR,11,Bozorg,
229992,IR,30,Birjand,
229993,IR,30,Quchan,
229994,IR,15,Ahwaz,
229995,IR,5,Andisheh,
229996,IR,30,Khashmar,
229997,IR,34,Peyvand,
229998,IR,24,Saveh,
229999,IR,28,Sanabad,
230000,IR,15,Mahshahr,
230001,IR,1,Babak,
230002,IR,37,Gorgan,
230003,IR,32,Baran,
230004,IR,28,Faran,
230005,IR,3,Arman,
230006,IR,9,Malayer,
230007,IR,15,Shahab,
230008,IR,15,Pirooz,
230009,IR,30,Gonabad,
230010,IR,17,Rafi,
230011,IR,26,Sepahan,
230012,IR,31,Yazd,
230013,IR,2,Urmia,
230014,IR,9,Bahar,
230015,IR,29,Vali,
230016,IR,23,Najafi,
230017,IR,26,Damavand,
230018,IR,25,Gilan,
230019,IR,26,Karadj,
230020,IR,7,Sharqi,
230021,IR,24,Ghom,
230022,IR,31,Hamedan,
230023,IR,28,Khorasgan,
230024,IR,11,Qeshm,
230025,IR,15,Farrokh,
230026,IR,3,Saman,
230027,IR,13,Shahre,
230028,IR,35,Gilas,
230029,IR,13,Mehregan,
230030,IR,27,Chapar,
230031,IR,26,Eslamshahr,
230032,IR,15,Ahvaz,
230033,IR,30,Nimruz,
230034,IR,33,Kavir,
230035,IR,26,Towchal,
230036,IR,28,Shahreza,
230037,IR,4,Zabol,
230038,IR,28,Chahar Bagh,
230039,IR,1,Post,
230040,IR,29,Hoor,
230041,IR,2,Mianeh,
230042,IR,26,Garmsar,
230043,IR,1,Malekan,
230044,IR,1,Bonab,
230045,IR,10,Shahid Madani,
230046,IR,32,Shahrivar,
230047,IR,30,Silk,
230048,IR,24,Adineh,
230049,IR,1,Marand,
230050,IR,1,Mahabad,
230051,IR,1,Maku,
230052,IR,29,Jiroft,
230053,IR,16,Novin,
230054,IR,29,Sirjan,
230055,IR,30,Melli,
230056,IR,11,Amir,
230057,IR,11,Dargaz,
230058,IR,30,Bala,
230059,IR,1,Shahsavar,
230060,IR,29,Mahan,
230061,IR,32,Pishgaman,
230062,IR,25,Baghestan,
230063,IR,7,Arsenjan,
230064,IR,29,Kowsar,
230065,IR,22,Sina,
230066,IR,29,Ghasr,
230067,IR,31,Meybod,
230068,IR,19,Kashani,
230069,IR,27,Parsian,
230070,IR,11,Kish,
230071,IR,24,Ashtian,
