locId,country,region,city,postcode
231580,IS,,,
231581,IS,10,Reykjavík,
231582,IS,10,Keflavík,
231583,IS,23,Vestmannaeyjar,
231584,IS,7,Akranes,
231585,IS,10,Kópavogur,
231586,IS,9,Akureyri,
231587,IS,5,Blönduós,
231588,IS,3,Hveragerdi,
231589,IS,3,Selfoss,
231590,IS,3,Laugarvatn,
231591,IS,32,Húsavík,
231592,IS,3,Búrfell,
231593,IS,10,Grindavík,
231594,IS,17,Borgarnes,
231595,IS,15,Brautarholt,
231596,IS,7,Hvanneyri,
231597,IS,23,Hella,
231598,IS,3,Eyrarbakki,
231599,IS,29,Stykkishólmur,
231600,IS,9,Siglufjörður,
231601,IS,28,Hólar,
231602,IS,28,Sauðárkrókur,
231603,IS,3,Stokkseyri,
231604,IS,10,Vogar,
231605,IS,29,Ólafsvík,
231606,IS,10,Brekka,
231607,IS,31,Djúpivogur,
231608,IS,37,Kirkjubæjarklaustur,
231609,IS,17,Álftanes,
231610,IS,6,Höfn,
231611,IS,3,Skálholt,
231612,IS,31,Reyðarfjörður,
231613,IS,32,Þóroddsstaður,
231614,IS,21,Kópasker,
231615,IS,36,Ísafjörður,
231616,IS,34,Bíldudalur,
231617,IS,36,Flateyri,
231618,IS,10,Hafnarfjörður,
231619,IS,10,Garðabær,
231620,IS,17,Akrar,
231621,IS,36,Bolungarvík,
231622,IS,36,Hnífsdalur,
231623,IS,3,Kotströnd,
231624,IS,3,Hveragerði,
231625,IS,28,Hofsós,
231626,IS,29,Hellissandur,
231627,IS,32,Háls,
231628,IS,31,Eskifjörður,
231629,IS,28,Ábær,
231630,IS,9,Dalvík,
231631,IS,32,Draflastaðir,
231632,IS,10,Stóra-vatnsléysa,
231633,IS,37,Vík,
231634,IS,32,Grenivík,
231635,IS,20,Seyðisfjörður,
231636,IS,10,Sandgerði,
231637,IS,36,Suðureyri,
231638,IS,23,Hvolsvöllur,
231639,IS,5,Skagaströnd,
231640,IS,10,Njarðvík,
231641,IS,34,Patreksfjörður,
231642,IS,3,Þorlákshöfn,
231643,IS,36,Súðavík,
231644,IS,35,Hvammstangi,
231645,IS,31,Stöðvarfjörður,
231646,IS,31,Neskaupstaður,
231647,IS,9,Hólar,
231648,IS,21,Garður,
231649,IS,8,Búðardalur,
231650,IS,36,Þingeyri,
231651,IS,31,Fáskrúðsfjörður,
231652,IS,20,Vopnafjordur,
231653,IS,7,Reykholt,
231654,IS,20,Vopnafjörður,
231655,IS,9,Ólafsfjörður,
231656,IS,21,Raufarhöfn,
231657,IS,4,Reykhólar,
231658,IS,30,Hólmavík,
231659,IS,36,Árbær,
231660,IS,23,Oddi,
231661,IS,17,Borg,
231662,IS,10,Hafnir,
231663,IS,36,Eyri,
231664,IS,28,Reykir,
231665,IS,10,Kálfajörn,
231666,IS,15,Álafoss,
231667,IS,7,Ás,
231668,IS,15,Reynivellir,
231669,IS,9,Saurbær,
231670,IS,3,Mosfell,
231671,IS,34,Múli,
231672,IS,7,Innrihólmur,
231673,IS,23,Áshverfi,
231674,IS,9,Hjaleyri,
231675,IS,30,Drangsnes,
231676,IS,7,Leirá,
231677,IS,36,Pingeyri,
231678,IS,19,Kjós,
231679,IS,10,Lambastaðir,
231680,IS,31,Vallanes,
231681,IS,20,Húsavík,
