locId,country,region,city,postcode
246520,JM,,,
246521,JM,8,Kingston,
246522,JM,12,Montego Bay,
246523,JM,16,Negril,
246524,JM,9,Ocho Rios,
246525,JM,12,Montego,
246526,JM,10,Port Henderson,
246527,JM,9,Discovery Bay,
246528,JM,4,Mandeville,
246529,JM,10,Old Harbour,
246530,JM,10,Portmore,
246531,JM,10,Kilbies,
246532,JM,10,Spanish Town,
246533,JM,15,Albert Town,
246534,JM,9,Bamboo,
246535,JM,9,Scarborough,
246536,JM,12,Maroon Town,
246537,JM,1,May Pen,
246538,JM,15,Falmouth,
246539,JM,11,Carisbrook,
246540,JM,11,Myersville Church,
246541,JM,2,Lucea,
246542,JM,16,Cornwall,
246543,JM,11,Black River,
246544,JM,10,Kentish,
246545,JM,13,Highgate,
246546,JM,16,Glasgow,
246547,JM,10,Braeton,
246548,JM,1,Portland,
246549,JM,16,Savanna-la-mar,
246550,JM,8,Guava Ridge,
246551,JM,11,Bull Savanna,
246552,JM,4,Hanover,
246553,JM,11,Junction,
246554,JM,7,Port Antonio,
246555,JM,13,Port Maria,
246556,JM,8,Bull Bay,
246557,JM,7,Orange Bay,
246558,JM,14,Village,
246559,JM,1,Diamond,
246560,JM,13,Boscobel,
246561,JM,7,Boston,
246562,JM,11,Nain,
246563,JM,12,Cambridge,
246564,JM,14,Morant Bay,
246565,JM,10,Linstead,
246566,JM,9,Saint Ann's Bay,
246567,JM,13,Annotto Bay,
246568,JM,1,Chapelton,
246569,JM,1,York,
246570,JM,10,New York,
246571,JM,1,Raymonds,
246572,JM,16,Petersfield,
246573,JM,15,Duncans,
246574,JM,1,Sandy Bay,
246575,JM,4,Christiana,
246576,JM,10,Ewarton,
246577,JM,8,Red Hills,
246578,JM,8,Washington Gardens,
246579,JM,8,Mavis Bank,
246580,JM,1,Alexandria,
246581,JM,1,Cumberland,
246582,JM,8,Mona Heights,
246583,JM,7,Islington,
246584,JM,9,Runaway Bay,
246585,JM,10,Gregory Park,
246586,JM,1,Hayes,
246587,JM,10,Bernard Lodge,
246588,JM,10,Glengoffe,
246589,JM,11,Hopewell,
246590,JM,14,Yallahs,
246591,JM,8,Dunrobin,
246592,JM,8,Constant Spring,
246593,JM,11,Malvern,
246594,JM,1,Borobridge,
246595,JM,8,Liguanea,
246596,JM,16,Little London,
246597,JM,1,Goshen,
246598,JM,1,Crofts Hill,
246599,JM,4,Isle,
246600,JM,11,Santa Cruz,
246601,JM,1,Lionel Town,
246602,JM,8,Harbour View,
246603,JM,15,Sherwood Content,
246604,JM,17,Vineyard Town,
246605,JM,14,Bath,
246606,JM,11,Thornton,
246607,JM,1,Race Course,
