locId,country,region,city,postcode
246783,JO,,,
246784,JO,11,Amman,
246785,JO,10,Farah,
246786,JO,14,Irbid,
246787,JO,11,Tafila,
246788,JO,14,Jerash,
246789,JO,11,Madaba,
246790,JO,7,Petra,
246791,JO,7,Karak,
246792,JO,2,Salt,
246793,JO,10,Mafraq,
246794,JO,10,Sama,
246795,JO,9,Samra,
246796,JO,11,Sahab,
246797,JO,14,Ramtha,
246798,JO,11,Philadelphia,
246799,JO,9,Safi,
246800,JO,11,Belal,
246801,JO,7,Wadi Musa,
246802,JO,2,Safut,
246803,JO,13,Jereiba,
246804,JO,14,Burma,
246805,JO,11,Umm Nuwarah,
246806,JO,14,Raymun,
246807,JO,11,Al Qartu`iyah,
246808,JO,11,An Nuwayjis,
246809,JO,11,Tabarbaur,
246810,JO,11,Jawa,
246811,JO,11,As Saqrah,
246812,JO,10,Az Zunayyah,
246813,JO,11,Al Muqabalayn,
246814,JO,14,Suf,
246815,JO,11,Ar Riwaq,
246816,JO,14,Al Kamshah,
246817,JO,2,Yarqa,
246818,JO,11,Fuheis,
246819,JO,14,Jarash,
246820,JO,11,Jubeiha,
246821,JO,10,Al Mafraq,
246822,JO,11,Mahayy,
246823,JO,13,Zarqa',
246824,JO,12,Busayra,
246825,JO,14,Hatem,
246826,JO,14,Malka,
246827,JO,14,Samad,
246828,JO,11,Sweileh,
246829,JO,14,Hatim,
246830,JO,2,Suwaymah,
246831,JO,2,As Salt,
246832,JO,14,Ham,
246833,JO,11,Khilda,
246834,JO,11,Manja,
246835,JO,13,Zerka,
246836,JO,11,Marka,
246837,JO,2,Al-salt,
246838,JO,14,Husn,
246839,JO,2,As Sawalihah,
246840,JO,10,Sabha,
246841,JO,11,Rabbah,
246842,JO,13,Az Zarqa',
246843,JO,14,Ar Rashadah,
246844,JO,11,Bayt Zir`ah,
246845,JO,11,`amman,
246846,JO,16,Amman,
246847,JO,14,Zabdah,
246848,JO,11,Markah,
246849,JO,13,Abu As Salih,
246850,JO,14,Aydun,
246851,JO,14,Irjan,
246852,JO,14,Johfiya,
246853,JO,11,Ar Rabahiyah,
246854,JO,14,Deir El Liyyat,
246855,JO,2,Mahis,
246856,JO,11,Al Mahattah,
246857,JO,11,Khirbat Ar Rusayfah,
246858,JO,14,Ar Ramtha,
246859,JO,14,Qafqafa,
246860,JO,2,Ar Rumman,
246861,JO,14,Hosha,
246862,JO,10,Saha Abu Jabir,
246863,JO,14,Umm Qantarah,
246864,JO,11,Sufah,
246865,JO,11,Wadi As Sir,
246866,JO,2,Mobis,
246867,JO,11,Abu `alanda,
246868,JO,11,Al Jubayhah,
246869,JO,14,Bushrá,
246870,JO,14,Balila,
246871,JO,14,At Turrah,
246872,JO,2,Amman,
246873,JO,2,Irbid,
246874,JO,2,Madaba,
246875,JO,2,Ramtha,
246876,JO,2,Sahab,
246877,JO,2,Az Zarqa',
246878,JO,2,Jarash,
246879,JO,2,Abu `alanda,
246880,JO,2,Bayt Zir`ah,
246881,JO,9,Dulaylat Al Hama'idah,
246882,JO,2,Jerash,
246883,JO,2,Zarqa',
246884,JO,2,Sabha,
246885,JO,2,Marka,
246886,JO,2,Mafraq,
246887,JO,2,Farah,
246888,JO,9,Karak,
246889,JO,2,Sama,
246890,JO,2,Philadelphia,
246891,JO,2,Belal,
246892,JO,21,Qatar,
246893,JO,2,Khirbat Ar Rusayfah,
246894,JO,2,`amman,
246895,JO,2,Adjlun,
246896,JO,2,Sal,
246897,JO,2,Al Hummar,
246898,JO,2,Al Karamah,
246899,JO,2,Khilda,
246900,JO,2,As Saqrah,
246901,JO,2,Markah,
246902,JO,2,Azraq,
246903,JO,2,Sweileh,
246904,JO,2,`irjan El Gharbiya,
246905,JO,2,Fuheis,
