locId,country,region,city,postcode
246906,JP,,,
246907,JP,40,Tokyo,
246908,JP,32,Osaka,
246909,JP,19,Yokohama,
246910,JP,27,Minato,
246911,JP,14,Naka,
246912,JP,34,Kawagoe,
246913,JP,13,Kobe,
246914,JP,19,Hadano,
246915,JP,43,Wakayama,
246916,JP,40,Setagaya,
246917,JP,12,Hyogo,
246918,JP,7,Fukuoka,
246919,JP,8,Kanagawa,
246920,JP,1,Nagoya,
246921,JP,19,Kawasaki,
246922,JP,4,Kashiwa,
246923,JP,47,Okinawa,
246924,JP,29,Niigata,
246925,JP,4,Chiba,
246926,JP,40,Fuchu,
246927,JP,34,Negoya,
246928,JP,13,Nishinomiya,
246929,JP,37,Shizuoka,
246930,JP,26,Nagano,
246931,JP,4,Sakura,
246932,JP,4,Asahi,
246933,JP,12,Mitsui,
246934,JP,5,Toyo,
246935,JP,25,Miyazaki,
246936,JP,19,Isehara,
246937,JP,31,Okayama,
246938,JP,19,Chigasaki,
246939,JP,22,Kyoto,
246940,JP,8,Fukushima,
246941,JP,12,Showa,
246942,JP,34,Nishi,
246943,JP,34,Koshigaya,
246944,JP,14,Hitachi,
246945,JP,1,Miyoshi,
246946,JP,6,Fukui,
246947,JP,1,Kowa,
246948,JP,34,Urawa,
246949,JP,37,Fuji,
246950,JP,42,Toyama,
246951,JP,45,Ogori,
246952,JP,12,Miyagi,
246953,JP,25,Matoba,
246954,JP,45,Kagawa,
246955,JP,37,Hamamatsu,
246956,JP,40,Kasumigaseki,
246957,JP,15,Konami,
246958,JP,40,Kyodo,
246959,JP,34,Wako,
246960,JP,40,Chofu,
246961,JP,40,Minami,
246962,JP,39,Tokushima,
246963,JP,28,Nara,
246964,JP,42,Kitano,
246965,JP,39,Nishishin-machi,
246966,JP,29,Honcho,
246967,JP,11,Hiroshima,
246968,JP,7,Kanda,
246969,JP,5,Shinmachi,
246970,JP,1,Okazaki,
246971,JP,32,Takatsuki,
246972,JP,20,Nakamura,
246973,JP,40,Takanawa,
246974,JP,25,Nakamachi,
246975,JP,9,Gifu,
246976,JP,35,Otsu,
246977,JP,18,Kagoshima,
246978,JP,40,Marunouchi,
246979,JP,11,Machi,
246980,JP,12,Chuo,
246981,JP,34,Shinjuku,
246982,JP,1,Konan,
246983,JP,34,Onishi,
246984,JP,40,Minami-aoyama,
246985,JP,44,Takahata,
246986,JP,26,Nakahara,
246987,JP,40,Shinbashi,
246988,JP,44,Yamagata,
246989,JP,40,Omori,
246990,JP,19,Shimonumabe,
246991,JP,5,Matsuyama,
246992,JP,2,Akita,
246993,JP,19,Fujisawa,
246994,JP,19,Ikuta,
246995,JP,40,Kitamura,
246996,JP,12,Sapporo,
246997,JP,38,Honda,
246998,JP,23,Ueno,
246999,JP,17,Sanbancho,
247000,JP,40,Mitaka,
247001,JP,40,Toranomon,
247002,JP,19,Shibuya,
247003,JP,34,Kasukabe,
247004,JP,27,Higashi,
247005,JP,4,Funabashi,
247006,JP,40,Tanashi,
247007,JP,32,Sakai,
247008,JP,13,Hon-machi,
247009,JP,13,Kakogawa,
247010,JP,29,Umeda,
247011,JP,16,Morioka,
247012,JP,6,Higashiyama,
247013,JP,18,Iwamoto,
247014,JP,34,Sugaya,
247015,JP,32,Ibaragi,
247016,JP,18,Sato,
247017,JP,19,Zama,
247018,JP,7,Nishiku,
247019,JP,2,Katano,
247020,JP,32,Toyonaka,
247021,JP,37,Shimizu,
247022,JP,33,Kasuga,
247023,JP,33,Saga,
247024,JP,1,Toyohashi,
247025,JP,34,Asaka,
247026,JP,13,Amagasaki,
247027,JP,35,Yasu,
247028,JP,21,Kita,
247029,JP,34,Ageo,
247030,JP,19,Yokosuka,
247031,JP,34,Sayama,
247032,JP,3,Futamata,
247033,JP,4,Fusa,
247034,JP,22,Kameshima,
247035,JP,24,Sendai,
247036,JP,23,Yokkaichi,
247037,JP,8,Murata,
247038,JP,3,Aomori,
247039,JP,16,Futaba,
247040,JP,12,Kyowa,
247041,JP,12,Taisei,
247042,JP,12,Yachiyo,
247043,JP,14,Tsukuba,
247044,JP,36,Matsue,
247045,JP,32,Ibaraki,
247046,JP,15,Isuzu,
247047,JP,21,Kumamoto,
247048,JP,32,Miyake,
247049,JP,5,Sakaishi,
247050,JP,27,Nagasaki,
247051,JP,24,Takakura,
247052,JP,33,Kanzaki,
247053,JP,9,Kami,
247054,JP,17,Takamatsu,
247055,JP,40,Otemachi,
247056,JP,12,Obihiro,
247057,JP,26,Nakano,
247058,JP,42,Ishida,
247059,JP,12,Kushiro,
247060,JP,12,Muroran,
247061,JP,36,Otsuka,
247062,JP,33,Tanaka,
247063,JP,38,Utsunomiya,
247064,JP,41,Tottori,
247065,JP,44,Tsuruoka,
247066,JP,7,Okuma,
247067,JP,45,Yasuda,
247068,JP,39,Naruto,
247069,JP,13,Miki,
247070,JP,31,Tama,
247071,JP,30,Oita,
247072,JP,21,Yuge,
247073,JP,19,Hayashi,
247074,JP,46,Kofu,
247075,JP,34,Warabi,
247076,JP,38,Ashikaga,
247077,JP,12,Hakodate,
247078,JP,29,Shibata,
247079,JP,23,Seki,
247080,JP,34,Kawaguchi,
247081,JP,38,Tochigi,
247082,JP,20,Kochi,
247083,JP,1,Shinkawa,
247084,JP,36,Masuda,
247085,JP,37,Mori,
247086,JP,15,Kanazawa,
247087,JP,40,Roppongi,
247088,JP,13,Akashi,
247089,JP,45,Yamaguchi,
247090,JP,23,Matsusaka,
247091,JP,33,Takeo,
247092,JP,33,Karatsu,
247093,JP,33,Imari,
247094,JP,33,Arita,
247095,JP,33,Ureshino,
247096,JP,14,Kashima,
247097,JP,33,Tosu,
247098,JP,27,Sasebo,
247099,JP,27,Isahaya,
247100,JP,27,Shimabara,
247101,JP,27,Hirado,
247102,JP,27,Arikawa,
247103,JP,27,Fukue,
247104,JP,40,Nishimura,
247105,JP,11,Yokogawa,
247106,JP,12,Kaga,
247107,JP,27,Daiho,
247108,JP,33,Toho,
247109,JP,32,Daito,
247110,JP,36,Hirata,
247111,JP,12,Asahikawa,
247112,JP,35,Murai,
247113,JP,39,Nomura,
247114,JP,40,Uchisaiwaicho,
247115,JP,34,Ogawa,
247116,JP,47,Naha,
247117,JP,42,Nakashima,
247118,JP,11,Koyo,
247119,JP,34,Harajuku,
247120,JP,36,Izumo,
247121,JP,40,Sumida,
247122,JP,45,Iwakuni,
247123,JP,23,Suzuka,
247124,JP,5,Hojo,
247125,JP,4,Narita,
247126,JP,17,Sakaide,
247127,JP,12,Tomakomai,
247128,JP,27,Shiohama,
247129,JP,23,Kuwana,
247130,JP,40,Tokio,
247131,JP,18,Hirakawa,
247132,JP,40,Shimbashi,
247133,JP,47,Ishikawa,
247134,JP,10,Shima,
247135,JP,41,Yonago,
247136,JP,5,Niihama,
247137,JP,1,Kariya,
247138,JP,23,Nabari,
247139,JP,37,Suzuki,
247140,JP,1,Akasaka,
247141,JP,15,Awazu,
247142,JP,26,Komoro,
247143,JP,1,Ichinomiya,
247144,JP,26,Akaho,
247145,JP,47,Ginowan,
247146,JP,27,Nagata,
247147,JP,33,Yobuko,
247148,JP,37,Yamanashi,
247149,JP,1,Tokoname,
247150,JP,13,Himeji,
247151,JP,40,Machida,
247152,JP,1,Toyota,
247153,JP,26,Ueda,
247154,JP,12,Kyoritsu,
247155,JP,4,Kisarazu,
247156,JP,26,Otsuma,
247157,JP,25,Mochida,
247158,JP,40,Shibaura,
247159,JP,47,Nakanishi,
247160,JP,23,Toba,
247161,JP,5,Misaki,
247162,JP,38,Kanuma,
247163,JP,31,Tsuyama,
247164,JP,40,Hino,
247165,JP,45,Tokuyama,
247166,JP,25,Miyakonojo,
247167,JP,16,Ichinoseki,
247168,JP,34,Azabu,
247169,JP,13,Kibi,
247170,JP,5,Uwajima,
247171,JP,13,Tatsuno,
247172,JP,42,Takaoka,
247173,JP,38,Oyama,
247174,JP,31,Kurashiki,
247175,JP,7,Kitakyushu,
247176,JP,4,Ichikawa,
247177,JP,33,Oshima,
247178,JP,11,Kure,
247179,JP,40,Tamagawa,
247180,JP,15,Komatsu,
247181,JP,7,Kurume,
247182,JP,21,Yatsushiro,
247183,JP,8,Iwaki,
247184,JP,35,Nagahama,
247185,JP,9,Ogaki,
247186,JP,43,Kagoya,
247187,JP,27,Yamanaka,
247188,JP,44,Usen,
