locId,country,region,city,postcode
251372,KE,,,
251373,KE,5,Nairobi,
251374,KE,8,Eldoret,
251375,KE,1,Nyeri,
251376,KE,2,Mombasa,
251377,KE,2,Malindi,
251378,KE,8,Nakuru,
251379,KE,3,Machakos,
251380,KE,7,Kisumu,
251381,KE,7,Kisii,
251382,KE,8,Narok,
251383,KE,3,Meru,
251384,KE,8,Nanyuki,
251385,KE,1,Thika,
251386,KE,7,Mbita,
251387,KE,8,Kapsabet,
251388,KE,1,Kijabe,
251389,KE,9,Mumias,
251390,KE,8,Naivasha,
251391,KE,5,Ruiru,
251392,KE,8,Kericho,
251393,KE,3,Isiolo,
251394,KE,2,Takaungu,
251395,KE,1,Limuru,
251396,KE,1,Kangema,
251397,KE,7,Oyugis,
251398,KE,3,Athi River,
251399,KE,9,Webuye,
251400,KE,9,Kakamega,
251401,KE,2,Voi,
251402,KE,7,Ndhiwa,
251403,KE,8,Kitale,
251404,KE,1,Kiambu,
251405,KE,9,Bungoma,
251406,KE,1,Kikuyu,
251407,KE,8,Kom,
251408,KE,5,Dandora,
251409,KE,3,Embu,
251410,KE,1,Karatina,
251411,KE,1,Sagana,
251412,KE,9,Busia,
251413,KE,1,Nyahururu,
251414,KE,1,Kalimoni,
251415,KE,1,Githunguri,
251416,KE,9,Luanda,
251417,KE,8,Mbagathi,
251418,KE,1,Kerugoya,
251419,KE,7,Homa Bay,
251420,KE,2,Kilifi,
251421,KE,2,Mombassa,
251422,KE,8,Naro Moru,
251423,KE,1,Gilgil,
251424,KE,1,Maragua,
251425,KE,1,Kanjuku,
251426,KE,8,Elburgon,
251427,KE,5,Uthiru,
251428,KE,8,Moiben,
251429,KE,3,Kitui,
251430,KE,2,Ukunda,
251431,KE,9,Maragoli,
251432,KE,8,Gilgil,
251433,KE,1,Murang'a,
251434,KE,8,Ngong,
251435,KE,1,Kabonge,
251436,KE,5,Westlands,
251437,KE,3,Chuka,
251438,KE,8,Molo,
251439,KE,5,Kahawa,
251440,KE,6,Garissa,
251441,KE,8,Rongai,
251442,KE,9,Kimilili,
251443,KE,7,Bondo,
251444,KE,1,Karuri,
251445,KE,7,Sare,
251446,KE,3,Kangundo,
251447,KE,3,Siakago,
251448,KE,5,Bahati,
251449,KE,1,Ngecha,
251450,KE,9,Yala,
251451,KE,1,South Kinangop,
251452,KE,1,Ruiru,
251453,KE,8,Kajiado,
251454,KE,8,Litein,
251455,KE,1,Kiganjo,
251456,KE,1,Gacharage,
251457,KE,1,Juja,
251458,KE,1,Nembu,
251459,KE,1,Thika Valley,
251460,KE,8,Kiserian,
251461,KE,1,Karura Kanyungu,
251462,KE,1,Kirenga,
251463,KE,1,Kandara,
251464,KE,8,Magadi,
251465,KE,5,Gatharaini,
251466,KE,8,Kakuma,
251467,KE,5,Kwangwari,
251468,KE,5,Dagoretti,
251469,KE,8,Sotik,
251470,KE,2,Bamburi,
251471,KE,5,Nairobi West,
251472,KE,8,Bomet,
251473,KE,8,Sultan Hamud,
251474,KE,5,Eastleigh,
251475,KE,8,Nandi,
251476,KE,1,Tinganga,
251477,KE,7,Migori,
251478,KE,5,Parklands,
251479,KE,1,Ngewa,
251480,KE,2,Lamu,
251481,KE,3,Makindu,
251482,KE,1,Ndiara,
251483,KE,5,City Estate,
251484,KE,1,Kianjogu,
251485,KE,1,Gacharageini,
251486,KE,1,Gatundu,
251487,KE,2,Vipingo,
251488,KE,2,Shimo La Tewa,
251489,KE,5,Embakasi,
251490,KE,1,Kagio,
251491,KE,1,Othaya,
251492,KE,1,Nyali,
251493,KE,8,Makandarahousing Estate,
251494,KE,5,Kabete,
251495,KE,2,Mariakani,
251496,KE,8,Turbo,
251497,KE,8,Soy,
251498,KE,7,Homa,
251499,KE,5,Kileleshwa,
