locId,country,region,city,postcode
251500,KG,,,
251501,KG,1,Bishkek,
251502,KG,6,Talas,
251503,KG,7,Karakol,
251504,KG,3,Naryn,
251505,KG,9,Batken,
251506,KG,5,Isfana,
251507,KG,3,Jalal-abad,
251508,KG,1,Vostok,
251509,KG,4,Kara-suu,
251510,KG,7,Balykchy,
251511,KG,7,Cholpon-ata,
251512,KG,7,Bosteri,
251513,KG,1,Lebedinovka,
251514,KG,2,Kainda,
251515,KG,2,Tokmok,
251516,KG,2,Kara-balta,
251517,KG,1,Sokuluk,
251518,KG,2,Orlovka,
251519,KG,1,Kant,
251520,KG,7,Pokrovka,
251521,KG,2,Kemin,
251522,KG,2,Ivanovka,
251523,KG,4,Dostuk,
251524,KG,5,Alga,
251525,KG,5,Aravan,
251526,KG,5,Uzgen,
251527,KG,3,Chaldövar,
251528,KG,1,Novopavlovka,
251529,KG,1,Shopokov,
251530,KG,7,Chok-tal,
251531,KG,2,Chuy,
251532,KG,5,Kadamjay,
251533,KG,5,Saydi-kum,
251534,KG,2,Tokmak,
251535,KG,4,At-bashi,
251536,KG,4,Baetov,
251537,KG,4,Kazarman,
251538,KG,2,Petrovka,
251539,KG,1,Sretenka,
251540,KG,5,Osh,
251541,KG,5,Beshkaram,
251542,KG,1,Alamedin,
251543,KG,3,Kerben,
251544,KG,3,Kochkor-ata,
251545,KG,4,Shoro,
251546,KG,1,Novopokrovka,
251547,KG,1,Vorontsovskoye,
251548,KG,1,Maevka,
251549,KG,1,Tokol'dosh,
