locId,country,region,city,postcode
251550,KH,,,
251551,KH,11,Phnom Penh,
251552,KH,6,Ream,
251553,KH,11,Kandal,
251554,KH,3,Chom,
251555,KH,11,Chrouy Changvar,
251556,KH,8,Trapeang,
251557,KH,11,Phnum Pénh,
251558,KH,19,Kouk Krâsang,
251559,KH,19,Anlong Kong,
251560,KH,1,Russey,
251561,KH,18,Bavet,
251562,KH,7,Ta Khmau,
251563,KH,6,Sihanoukville,
251564,KH,19,Siem Reap,
251565,KH,5,Boeung,
251566,KH,6,Sihanouk,
251567,KH,18,Dông,
251568,KH,5,Trabek,
251569,KH,18,Svay Rieng,
251570,KH,19,Takeo,
251571,KH,1,Battambang,
251572,KH,8,Kompong Som,
251573,KH,5,Preah,
251574,KH,4,Wat Phnom,
251575,KH,7,Choeng-ek,
251576,KH,4,Kaek Pong,
251577,KH,6,Kâmpôt,
251578,KH,12,Pousat,
251579,KH,2,Kâmpóng Cham,
251580,KH,14,Phum Amp,
251581,KH,3,Tuol,
251582,KH,4,Kompong Speu,
251583,KH,20,Poipet,
251584,KH,11,Phnom Pen,
