locId,country,region,city,postcode
251595,KN,,,
251596,KN,3,Basseterre,
251597,KN,7,Charlestown,
251598,KN,13,Middle Island,
251599,KN,2,Sandy Point,
251600,KN,4,Gingerland,
251601,KN,11,Monkey Hill,
251602,KN,1,Mansion,
251603,KN,8,Cayon,
251604,KN,6,Dieppe Bay,
251605,KN,7,Hermitage,
251606,KN,13,Half Way Tree,
251607,KN,13,Old Road,
251608,KN,9,Newton Ground,
251609,KN,9,Saint Paul's,
251610,KN,5,Newcastle,
251611,KN,15,Trinity,
251612,KN,1,Lodge,
251613,KN,6,Sadlers,
251614,KN,5,Camps,
251615,KN,6,Houston,
251616,KN,5,Rawlins,
251617,KN,3,Limekiln,
251618,KN,1,Lodge Village,
251619,KN,9,Newton Ground Village,
251620,KN,11,Stapleton,
251621,KN,12,Cotton Ground,
251622,KN,7,Brown Pasture Village,
251623,KN,7,Fig Tree,
251624,KN,7,Beaumont Village,
251625,KN,12,Barnes Gut Village,
251626,KN,11,Key Village,
251627,KN,13,Old Road Town,
251628,KN,6,Geoghan,
251629,KN,11,Stapleton Village,
251630,KN,12,Jessup's Village,
251631,KN,11,Bayford's,
251632,KN,6,Tabernacle,
251633,KN,4,Bachelor Hall,
251634,KN,3,Basse Terre Town,
251635,KN,1,Molineaux,
251636,KN,6,Clifton,
