locId,country,region,city,postcode
251640,KR,,,
251641,KR,11,Seoul,
251642,KR,11,Yongsan,
251643,KR,21,Ulsan,
251644,KR,10,Pusan,
251645,KR,13,Ansan,
251646,KR,11,Seocho,
251647,KR,13,Suwon,
251648,KR,15,Taegu,
251649,KR,20,Kimhae,
251650,KR,12,Inchon,
251651,KR,17,Taean,
251652,KR,13,Paju,
251653,KR,16,Samhwa,
251654,KR,14,Angang,
251655,KR,6,Wonju,
251656,KR,16,Taejon,
251657,KR,20,Masan,
251658,KR,5,Chungnam,
251659,KR,3,Iksan,
251660,KR,20,Changwon,
251661,KR,21,Soha,
251662,KR,13,Yongin,
251663,KR,5,Cheonju,
251664,KR,16,Manan,
251665,KR,5,Yangju,
251666,KR,13,Pyongtaek,
251667,KR,20,Jinju,
251668,KR,13,Bucheon,
251669,KR,14,Kumi,
251670,KR,13,Kimpo,
251671,KR,18,Kwangju,
251672,KR,14,Chungbuk,
251673,KR,20,Milyang,
251674,KR,14,Andong,
251675,KR,1,Cheju,
251676,KR,13,Kunpo,
251677,KR,20,Yangsan,
251678,KR,5,Cheongju,
251679,KR,20,Mansan,
251680,KR,6,Chuncheon,
251681,KR,13,Koyang,
251682,KR,14,Pohang,
251683,KR,13,Namyangju,
251684,KR,17,Cheonan,
251685,KR,16,Gwangyang,
251686,KR,18,Wolsan,
251687,KR,17,Yesan,
251688,KR,17,Kongju,
251689,KR,20,Jinhae,
251690,KR,17,Chochiwon,
251691,KR,6,Taejin,
251692,KR,3,Kunsan,
251693,KR,16,Mokpo,
251694,KR,13,Kuri,
251695,KR,16,Kari,
251696,KR,16,Shingi,
251697,KR,11,Sogang,
251698,KR,20,Changnyong,
251699,KR,13,Anyang,
251700,KR,18,Yongdu,
251701,KR,11,Mapo,
251702,KR,21,Ilsan,
251703,KR,16,Chodang,
251704,KR,16,Namyang,
251705,KR,20,Hangyang,
251706,KR,1,Songsan,
251707,KR,16,Sangdang,
251708,KR,20,Okpo,
251709,KR,18,Gwangju,
251710,KR,16,Yochon,
251711,KR,3,Jeonju,
251712,KR,5,Jecheon,
251713,KR,17,Asan,
251714,KR,16,Yosu,
251715,KR,17,Hongsung,
251716,KR,6,Ponam,
251717,KR,14,Songnae,
251718,KR,20,Shingok,
251719,KR,14,Haan,
251720,KR,6,Sokcho,
251721,KR,16,Suyon,
251722,KR,16,Kwangyang,
251723,KR,16,Masang,
251724,KR,11,Jungang,
251725,KR,16,Pogok,
251726,KR,3,Mogok,
251727,KR,18,Nodong,
251728,KR,11,Seongnae,
251729,KR,16,Tongsin,
251730,KR,13,Songnam,
251731,KR,13,Hanam,
251732,KR,12,Incheon,
251733,KR,10,Busan,
251734,KR,14,Oksan,
251735,KR,21,Hogye,
251736,KR,17,Kajang,
251737,KR,15,Daegu,
251738,KR,13,Kwachon,
251739,KR,21,Taesong,
251740,KR,19,Daejeon,
251741,KR,6,Gangneung,
251742,KR,1,Jeju,
251743,KR,16,Songam,
251744,KR,16,Suncheon,
251745,KR,5,Hoon,
251746,KR,16,Oryu,
251747,KR,16,Yongsu,
251748,KR,18,Kangdong,
251749,KR,21,Hwasan,
251750,KR,16,Namdong,
251751,KR,20,Miryang,
251752,KR,16,Haman,
251753,KR,16,Beolgyo,
251754,KR,14,Kumho,
251755,KR,20,Chunan,
251756,KR,5,Sidong,
251757,KR,10,Haeundae,
251758,KR,3,Sunchang,
251759,KR,3,Yongdam,
251760,KR,5,Umji,
251761,KR,20,Imshil,
251762,KR,16,Mojong,
251763,KR,14,Hwayang,
251764,KR,11,Hongje,
251765,KR,16,Songdo,
251766,KR,16,Chiso,
251767,KR,5,Yongdang,
251768,KR,14,Sangji,
251769,KR,15,Chilgok,
251770,KR,3,Taein,
251771,KR,16,Dotori,
251772,KR,3,Hwasong,
251773,KR,21,Mipo,
251774,KR,5,Chungju,
251775,KR,17,Chonan,
251776,KR,3,Kwangsung,
251777,KR,5,Sejung,
251778,KR,10,Sangnam,
251779,KR,16,Harim,
251780,KR,21,Sangdong,
251781,KR,16,Mogpo,
251782,KR,20,Hadong,
251783,KR,15,Ichondong,
251784,KR,1,Samyangdong,
251785,KR,16,Sangga,
251786,KR,17,Hanjin,
251787,KR,17,Ungchon,
251788,KR,16,Samil,
251789,KR,17,Unam,
251790,KR,16,Hadaesu,
251791,KR,16,Wayari,
251792,KR,6,Wontong,
251793,KR,6,Sindong,
251794,KR,20,Yangchon,
251795,KR,14,Sangju,
251796,KR,20,Kanan,
251797,KR,6,Yanggu,
251798,KR,16,Haeundong,
251799,KR,1,Samyang,
251800,KR,6,Sinnam,
251801,KR,6,Kangnung,
251802,KR,16,Sinwon,
251803,KR,17,Seosan,
251804,KR,11,Hanyang,
251805,KR,20,Wonnae,
251806,KR,18,Songchon,
251807,KR,5,Naedong,
251808,KR,17,Songwon,
251809,KR,3,Samjung,
251810,KR,3,Kumgang,
251811,KR,13,Migum,
251812,KR,14,Silla,
251813,KR,14,Jindo,
251814,KR,10,Soam,
251815,KR,11,Dangsan,
251816,KR,20,Kumyang,
251817,KR,15,Hyomok,
251818,KR,16,Hauri,
251819,KR,18,Kasan,
251820,KR,13,Osan,
251821,KR,5,Sambong,
251822,KR,3,Sudong,
251823,KR,13,Munsan,
251824,KR,14,Shinan,
251825,KR,16,Nongso,
251826,KR,16,Wondong,
251827,KR,13,Nungnae,
251828,KR,20,Sojongri,
251829,KR,16,Hyodong,
251830,KR,11,Sinchon,
251831,KR,13,Yonggok,
251832,KR,14,Kosam,
251833,KR,13,Chinwi,
251834,KR,12,Songlim,
251835,KR,17,Kumsan,
251836,KR,16,Wadong,
251837,KR,6,Kumhwa,
251838,KR,13,Anseong,
251839,KR,14,Chunyang,
251840,KR,18,Wolchon,
251841,KR,16,Haeryong,
251842,KR,3,Obong,
251843,KR,16,Sannam,
251844,KR,13,Yangjin,
251845,KR,11,Daebang,
251846,KR,13,Nunggok,
251847,KR,13,Kumchon,
251848,KR,14,Ahwa,
251849,KR,18,Ungok,
251850,KR,16,Boseong,
251851,KR,13,Soil,
251852,KR,16,Hwanam,
251853,KR,16,Yongam,
251854,KR,16,Yongji,
251855,KR,13,Ichon,
251856,KR,3,Panwol,
251857,KR,3,Kimje,
251858,KR,3,Habuk,
251859,KR,16,Hoam,
251860,KR,3,Soto,
251861,KR,3,Okku,
251862,KR,20,Happo,
251863,KR,19,Ibam,
251864,KR,16,Sanoe,
251865,KR,14,Heunghae,
251866,KR,16,Haeri,
251867,KR,21,Yangdong,
251868,KR,16,Wonpyong,
251869,KR,17,Singok,
251870,KR,10,Mora,
251871,KR,15,Siji,
251872,KR,13,Ildong,
251873,KR,5,Ansim,
251874,KR,16,Naejang,
251875,KR,16,Chungbang,
251876,KR,18,Wolsandong,
251877,KR,14,Songgang,
251878,KR,17,Ujong,
251879,KR,21,Chigok,
251880,KR,14,Sawol,
251881,KR,3,Changsin,
251882,KR,6,Koryo,
251883,KR,12,Muhak,
251884,KR,13,Simidong,
251885,KR,3,Gunsan,
251886,KR,16,Boun,
251887,KR,20,Samga,
251888,KR,5,Simcheon,
251889,KR,17,Gongju,
251890,KR,17,Nonsan,
251891,KR,16,Hodo,
251892,KR,17,Onyang,
251893,KR,20,Yanghwa,
251894,KR,16,Kisan,
251895,KR,13,Hongdong,
251896,KR,18,Yongho,
251897,KR,21,Sindang,
251898,KR,5,Yongdong,
251899,KR,16,Gosan,
251900,KR,14,Chorak,
251901,KR,3,Namsan,
251902,KR,5,Yugok,
251903,KR,14,Hannae,
251904,KR,16,Wosan,
251905,KR,18,Yonggang,
251906,KR,17,Sapkyo,
251907,KR,20,Tapdong,
251908,KR,16,Songhak,
251909,KR,3,Nampo,
251910,KR,20,Shinbong,
251911,KR,16,Naesan,
251912,KR,16,Hansan,
251913,KR,16,Kwangdong,
251914,KR,3,Kyodong,
251915,KR,16,Yongmun,
251916,KR,14,Shindae,
251917,KR,17,Ganggyeong,
251918,KR,16,Namdo,
251919,KR,3,Sinsong,
251920,KR,5,Maesan,
251921,KR,5,Hwanggan,
251922,KR,3,Yonghwa,
251923,KR,3,Samsu,
251924,KR,16,Maegok,
251925,KR,5,Chengju,
251926,KR,3,Unho,
251927,KR,6,Inje,
251928,KR,6,Yangyang,
251929,KR,6,Pyeongchang,
251930,KR,5,Naechon,
251931,KR,3,Yongnam,
251932,KR,17,Unsan,
251933,KR,20,Yuwon,
251934,KR,16,Munam,
251935,KR,20,Namji,
251936,KR,20,Goseong,
251937,KR,14,Yongju,
251938,KR,5,Maam,
251939,KR,17,Ungdong,
251940,KR,16,Sapo,
251941,KR,16,Nosan,
251942,KR,20,Habcheon,
251943,KR,20,Ugok,
251944,KR,20,Konyang,
251945,KR,21,Yangji,
251946,KR,21,Okdong,
251947,KR,20,Oepo,
251948,KR,16,Mari,
251949,KR,5,Hail,
251950,KR,20,Chungmu,
251951,KR,16,Sangok,
251952,KR,15,Nogok,
251953,KR,16,Sinsam,
251954,KR,16,Yangjung,
251955,KR,20,Majang,
251956,KR,14,Sewol,
251957,KR,3,Yongyon,
251958,KR,21,Ilsandong,
251959,KR,16,Shinri,
251960,KR,16,Changgok,
251961,KR,16,Kwansan,
251962,KR,18,Sadong,
251963,KR,20,Bongam,
251964,KR,21,Shinchon,
251965,KR,16,Yongsin,
251966,KR,18,Mangwol,
251967,KR,5,Yongchun,
251968,KR,16,Hodong,
251969,KR,6,Daishin,
251970,KR,14,Gyeongsan,
251971,KR,12,Cheongcheon,
251972,KR,14,Hayang,
251973,KR,3,Ungpo,
251974,KR,16,Taebong,
251975,KR,3,Namgwan,
251976,KR,16,Sisan,
251977,KR,16,Simwon,
251978,KR,3,Muju,
251979,KR,3,Sintaein,
251980,KR,3,Haksan,
251981,KR,3,Namwon,
251982,KR,16,Haenam,
251983,KR,3,Odong,
251984,KR,5,Chodong,
251985,KR,11,Sinyang,
251986,KR,16,Muan,
251987,KR,16,Hwasun,
251988,KR,16,Naju,
251989,KR,20,Chungmoo,
251990,KR,5,Keri,
251991,KR,13,Pochon,
251992,KR,14,Chilbong,
251993,KR,17,Kansan,
251994,KR,20,Sangwon,
251995,KR,6,Sugok,
251996,KR,16,Sandong,
251997,KR,16,Unju,
251998,KR,14,Wangsin,
251999,KR,3,Chango,
252000,KR,18,Hoeryong,
252001,KR,11,Songdong,
252002,KR,3,Hwangsan,
252003,KR,18,Sillim,
252004,KR,3,Ongdong,
252005,KR,16,Somang,
252006,KR,3,Naecho,
252007,KR,16,Sannae,
252008,KR,11,Seongsu,
252009,KR,14,Honam,
252010,KR,3,Songgwang,
252011,KR,5,Sinpung,
252012,KR,16,Suwol,
252013,KR,3,Chopo,
252014,KR,16,Sudo,
252015,KR,13,Sindun,
252016,KR,17,Kisa,
252017,KR,5,Hwanggang,
252018,KR,3,Mujang,
252019,KR,3,Imsil,
252020,KR,5,Sangsan,
252021,KR,21,Namchang,
252022,KR,16,Samnam,
252023,KR,18,Chimsan,
252024,KR,14,Gyeongju,
252025,KR,3,Moksang,
252026,KR,20,Shindong,
252027,KR,16,Shinhung,
252028,KR,21,Samho,
252029,KR,16,Hwasin,
252030,KR,13,Kumjung,
252031,KR,20,Kukdong,
252032,KR,16,Goheung,
252033,KR,20,Mokhwa,
252034,KR,16,Kumo,
252035,KR,17,Changri,
252036,KR,6,Sogyedong,
252037,KR,16,Sunchon,
252038,KR,3,Hanbat,
252039,KR,16,Myongji,
252040,KR,20,Sangi,
252041,KR,20,Yaho,
252042,KR,6,Shinnan,
252043,KR,3,Sangsang,
252044,KR,17,Sinjin,
252045,KR,13,Puchon,
252046,KR,18,Simgok,
252047,KR,14,Pungsan,
252048,KR,16,Singidong,
252049,KR,16,Sinan,
252050,KR,13,Kojan,
252051,KR,20,Podae,
252052,KR,16,Samsan,
252053,KR,17,Sadan,
252054,KR,20,Tongmyong,
252055,KR,14,Changgu,
252056,KR,16,Ilsin,
252057,KR,14,Tongsang,
252058,KR,17,Sohae,
252059,KR,14,Maeil,
252060,KR,17,Sina,
252061,KR,6,Samwang,
252062,KR,13,Cheil,
252063,KR,20,Chinju,
252064,KR,11,Wolgyedong,
252065,KR,5,Chongju,
252066,KR,6,Taepyung,
252067,KR,21,Chugye,
252068,KR,21,Choil,
252069,KR,16,Sinsa,
252070,KR,5,Chidong,
252071,KR,16,Kurye,
252072,KR,5,Iwon,
252073,KR,16,Taegi,
252074,KR,14,Sinhan,
252075,KR,21,Samdong,
252076,KR,5,Chisan,
252077,KR,20,Namhae,
252078,KR,17,Sungji,
252079,KR,16,Onsu,
252080,KR,16,Haeun,
252081,KR,21,Sanggae,
252082,KR,6,Pungamdong,
252083,KR,16,Sebang,
252084,KR,16,Kangjin,
252085,KR,20,Shingye,
252086,KR,3,Taijin,
252087,KR,17,Samsandong,
252088,KR,15,Hwawon,
252089,KR,13,Kwangmyong,
252090,KR,3,Pyongan,
252091,KR,12,Nongjang,
252092,KR,16,Namchon,
252093,KR,3,Taeil,
252094,KR,14,Kimi,
252095,KR,18,Ochi,
252096,KR,5,Hwapyong,
252097,KR,20,Kiri,
252098,KR,5,Namsong,
252099,KR,16,Koryu,
252100,KR,3,Sinwol,
252101,KR,13,Haeyong,
252102,KR,14,Changchon,
252103,KR,6,Sochondong,
252104,KR,16,Ujin,
252105,KR,20,Nakdongkang,
252106,KR,16,Wolgye,
252107,KR,16,Choyang,
252108,KR,17,Hasong,
252109,KR,6,Gimhwa,
252110,KR,11,Yongdudong,
252111,KR,13,Singal,
252112,KR,14,Hagye,
252113,KR,16,Kumdong,
252114,KR,16,Yongun,
252115,KR,20,Sowol,
252116,KR,16,Sangsin,
252117,KR,16,Wando,
252118,KR,17,Chungsan,
252119,KR,3,Songho,
252120,KR,20,Kaya,
252121,KR,5,Chechon,
252122,KR,16,Najin,
252123,KR,5,Sodo,
252124,KR,6,Chunchon,
252125,KR,3,Chunju,
252126,KR,14,Saemi,
252127,KR,20,Sangsa,
252128,KR,14,Hoamdong,
252129,KR,13,Yongpyong,
252130,KR,20,Kowon,
252131,KR,14,Sungho,
252132,KR,17,Nasan,
252133,KR,14,Muchang,
252134,KR,11,Hansong,
252135,KR,16,Jangsan,
252136,KR,14,Mujigae,
252137,KR,20,Yusu,
252138,KR,11,Pyongchon,
252139,KR,10,Kijang,
252140,KR,3,Kochang,
252141,KR,14,Ipsil,
252142,KR,16,Songgok,
252143,KR,14,Myongjang,
252144,KR,16,Sangbong,
252145,KR,3,Wonam,
252146,KR,20,Shinbang,
252147,KR,11,Sangdo,
252148,KR,16,Noun,
252149,KR,11,Kungdong,
252150,KR,16,Kalma,
252151,KR,21,Nangok,
252152,KR,14,Nagok,
252153,KR,16,Hampyong,
252154,KR,13,Yangpyong,
252155,KR,3,Chinan,
252156,KR,14,Oedong,
252157,KR,3,Korin,
252158,KR,13,Yujin,
252159,KR,16,Kumsa,
252160,KR,11,Toto,
252161,KR,3,Michang,
252162,KR,3,Changsung,
252163,KR,11,Noryangjin,
252164,KR,12,Bupyong,
252165,KR,16,Mansu,
252166,KR,14,Sangadong,
252167,KR,14,Maehwa,
252168,KR,16,Sangye,
252169,KR,13,Shini,
252170,KR,21,Kosa,
252171,KR,16,Kosin,
252172,KR,6,Sinpodong,
252173,KR,20,Hamyang,
252174,KR,16,Sansu,
252175,KR,14,Punggi,
252176,KR,1,Hallim,
252177,KR,14,Taechang,
252178,KR,13,Samsong,
252179,KR,14,Chain,
252180,KR,16,Changgo,
252181,KR,5,Toran,
252182,KR,16,Samsin,
252183,KR,11,Cheonho,
252184,KR,20,Sungsan,
252185,KR,14,Wongok,
252186,KR,16,Sisam,
252187,KR,16,Haechang,
252188,KR,14,Hunghae,
252189,KR,14,Anam,
252190,KR,14,Sora,
252191,KR,14,Singwang,
252192,KR,20,Hangdo,
252193,KR,16,Hwamok,
252194,KR,12,Sammok,
252195,KR,14,Mone,
252196,KR,11,Miadong,
252197,KR,5,Kiho,
252198,KR,6,Sail,
252199,KR,20,Wonji,
252200,KR,14,Namyangdong,
252201,KR,18,Sinandong,
252202,KR,16,Munsu,
252203,KR,6,Sori,
252204,KR,1,Suryong,
252205,KR,3,Chongho,
252206,KR,20,Tara,
252207,KR,16,Panam,
252208,KR,6,Taebaek,
252209,KR,3,Chenju,
252210,KR,14,Sanchondong,
252211,KR,14,Wonjung,
252212,KR,17,Karak,
252213,KR,16,Nogyang,
252214,KR,16,Sangjin,
252215,KR,21,Hwaam,
252216,KR,5,Onam,
252217,KR,16,Posung,
252218,KR,14,Indong,
252219,KR,5,Sagok,
252220,KR,5,Chungam,
252221,KR,5,Poun,
252222,KR,16,Tongjin,
252223,KR,13,Hwagok,
252224,KR,20,Uchon,
252225,KR,17,Midong,
252226,KR,6,Maewon,
252227,KR,15,Kaepo,
252228,KR,16,Soui,
252229,KR,20,Changpo,
252230,KR,14,Sokho,
252231,KR,5,Wondang,
252232,KR,14,Chijang,
252233,KR,20,Taebu,
252234,KR,13,Yanggi,
252235,KR,16,Yonghung,
252236,KR,20,Koje,
252237,KR,16,Kunjang,
252238,KR,3,Taejang,
252239,KR,3,Inpung,
252240,KR,13,Imdong,
252241,KR,10,Sinho,
252242,KR,17,Sansudong,
252243,KR,18,Sotaedong,
252244,KR,3,Yongsandong,
252245,KR,11,Wasan,
252246,KR,14,Namtongdong,
252247,KR,17,Hwaji,
252248,KR,16,Adong,
252249,KR,5,Sinsadong,
252250,KR,1,Hagari,
252251,KR,17,Sonjiri,
252252,KR,16,Hado,
252253,KR,1,Hadori,
252254,KR,16,Sinsan,
252255,KR,16,Saam,
252256,KR,6,Hwacheon,
252257,KR,16,Wonjin,
252258,KR,6,Sogcho,
252259,KR,12,Changgiri,
252260,KR,11,Oeosori,
252261,KR,10,Hakchangdong,
252262,KR,10,Kudok,
252263,KR,11,Goryuri,
252264,KR,17,Samulli,
252265,KR,5,Changsongdong,
252266,KR,13,Pangchuktu,
252267,KR,20,Sosadong,
252268,KR,20,Taegamni,
252269,KR,13,Suamdong,
252270,KR,13,Pomgogae,
252271,KR,13,Saemmal,
252272,KR,13,Toksokkol,
252273,KR,15,Maeyo,
252274,KR,20,Naesam,
252275,KR,20,Wissangjom,
252276,KR,20,Chungcholli,
252277,KR,20,Ichon,
252278,KR,20,Naebu,
252279,KR,13,Panwol,
252280,KR,13,Dukso,
252281,KR,20,Soryongni,
252282,KR,14,Apo,
252283,KR,6,Nuratchae,
252284,KR,13,Twinmal,
252285,KR,17,Ilsungchonni,
252286,KR,11,Hochikuri,
252287,KR,5,Chumakkori,
252288,KR,13,Singalli,
252289,KR,20,Pongamdong,
252290,KR,14,Naktong,
252291,KR,14,Sondong,
252292,KR,13,Sosa,
252293,KR,20,Tanghang,
252294,KR,14,Saebaengi,
252295,KR,14,Wondaeri,
252296,KR,20,Sugari,
252297,KR,17,Tomori,
252298,KR,13,Polmal,
252299,KR,17,Pudae,
252300,KR,13,Nodori,
252301,KR,10,Chungri,
252302,KR,10,Talsan,
252303,KR,10,Nolbat,
252304,KR,21,Chunggangdong,
252305,KR,17,Chiksan,
252306,KR,13,Hakhyondong,
252307,KR,13,Tongchon,
252308,KR,20,Mano,
252309,KR,20,Chonson,
252310,KR,20,Unsan,
252311,KR,13,Sangmagol,
252312,KR,13,Chugwonni,
252313,KR,13,Sanggwanggyori,
252314,KR,13,Pyongjom,
252315,KR,17,Talcholli,
252316,KR,17,Hagyondong,
252317,KR,10,Chinmok,
252318,KR,10,Omgungdong,
252319,KR,16,Haengdong,
252320,KR,10,Myongjangdong,
252321,KR,20,Naechu,
252322,KR,16,Okkongni,
252323,KR,10,Choso,
252324,KR,13,Kungmal,
252325,KR,13,Songtan,
252326,KR,20,Pyongri,
252327,KR,13,Changto,
252328,KR,13,Songmit,
252329,KR,13,Changjinae,
252330,KR,5,Okusu,
252331,KR,13,Kungan,
252332,KR,17,Songmangni,
252333,KR,5,Haksong,
252334,KR,12,Ihwari,
252335,KR,13,Kaesalli,
252336,KR,14,Kwansongni,
252337,KR,17,Chungsongdong,
252338,KR,5,Namak,
252339,KR,13,Todong,
252340,KR,13,Tolbawi,
252341,KR,14,Insodong,
252342,KR,13,Padam,
252343,KR,10,Taejodong,
252344,KR,13,Paksong,
252345,KR,13,Oegachonni,
252346,KR,15,Shiji,
252347,KR,15,Komo,
252348,KR,15,Paenae,
252349,KR,3,Changgumni,
252350,KR,16,Changjaedong,
252351,KR,16,Chijangni,
252352,KR,14,Kumnamni,
252353,KR,14,Myogok,
252354,KR,20,Taechon,
252355,KR,17,Songdangni,
252356,KR,13,Sokchangni,
252357,KR,13,Namugil,
252358,KR,13,Samgari,
252359,KR,11,Chahadong,
252360,KR,10,Tongdaedong,
252361,KR,13,Sachang,
252362,KR,13,Hagwanggyodong,
252363,KR,14,Nodori,
252364,KR,13,Nudong,
252365,KR,14,Hwasalli,
252366,KR,13,Dukgeri,
252367,KR,13,Tongmoe,
252368,KR,13,Karhyondong,
252369,KR,10,Wayori,
252370,KR,13,Osanni,
252371,KR,5,Goesan,
252372,KR,14,Sinchondong,
252373,KR,21,Ungchon,
252374,KR,13,Toemi,
252375,KR,13,Chonni,
252376,KR,10,Mangmidong,
252377,KR,20,Soksalli,
252378,KR,11,Changjiri,
252379,KR,15,Maechondong,
252380,KR,14,Kuwaegwan,
252381,KR,11,Paksan,
252382,KR,5,Jeungpyeong,
252383,KR,10,Chonyang,
252384,KR,17,Engi,
252385,KR,10,Mandokdong,
252386,KR,13,Wangnimni,
252387,KR,13,Allyongni,
252388,KR,11,Tonongni,
252389,KR,13,Togochon,
252390,KR,13,Chwahang,
252391,KR,5,Andol,
252392,KR,5,Kwangi,
252393,KR,13,Ryujin,
252394,KR,13,Puntogol,
252395,KR,5,Taesamdong,
252396,KR,13,Sonjang,
252397,KR,13,Tongduchon,
252398,KR,13,Anmosang,
252399,KR,13,Gakoku,
252400,KR,17,Songcholli,
252401,KR,13,Yusilli,
252402,KR,11,Koshori,
252403,KR,13,Tosa,
252404,KR,14,Chonggye,
252405,KR,13,Namdong,
252406,KR,20,Anmin,
252407,KR,5,Osalli,
252408,KR,13,Angol,
252409,KR,13,Chungnungni,
252410,KR,13,Yongsumal,
252411,KR,10,Hadandong,
252412,KR,10,Sagu,
252413,KR,13,Yonghyon,
252414,KR,13,Pokpyongni,
252415,KR,5,Kongsudong,
252416,KR,5,Taesanchi,
