locId,country,region,city,postcode
253035,KW,,,
253036,KW,2,Hawalli,
253037,KW,2,Bayan,
253038,KW,2,Shuwaikh,
253039,KW,2,Ahmadi,
253040,KW,2,Ahmad,
253041,KW,2,Salmiya,
253042,KW,2,Fahaheel,
253043,KW,2,Salwá,
253044,KW,2,Al-fahaheel,
253045,KW,2,Shaab,
253046,KW,2,Khaitan,
253047,KW,2,Mushrif,
253048,KW,2,Al Mijifa,
253049,KW,2,Shuwaikh Port,
253050,KW,2,Al Fanaitis,
253051,KW,2,Kayfan,
253052,KW,2,Manifah,
253053,KW,2,Al Ahmadi,
253054,KW,2,Fintas,
253055,KW,2,Al `uqaylah,
253056,KW,2,Salmiyah,
253057,KW,2,Dasmah,
253058,KW,2,Dhulai` Sa`ud,
253059,KW,2,Al-riqqah,
253060,KW,2,Abraq Khaitan,
253061,KW,2,Al Masilah,
253062,KW,2,Khitan,
253063,KW,2,Dasma,
253064,KW,2,Rumaithiya,
253065,KW,2,Fantas,
253066,KW,5,Doha,
253067,KW,2,South Surra,
253068,KW,5,Sulaibikhat,
253069,KW,2,Al Badawiyah,
253070,KW,2,Rowda,
253071,KW,2,Dant,
253072,KW,2,Shuaiba,
253073,KW,5,Al Jahara,
253074,KW,2,Farwaniah,
253075,KW,2,Al Farwaniyah,
253076,KW,2,Shauiba,
253077,KW,5,Jahrah,
253078,KW,5,Al Jahrah,
253079,KW,2,Al-mangaf,
253080,KW,2,Fintass,
253081,KW,2,Al Kuwait,
253082,KW,2,Kuwayt,
253083,KW,2,Al Shuwaikh,
253084,KW,2,Jabriya,
253085,KW,2,Abrak Khetan,
253086,KW,2,Jleeb Al Shuyoukh,
253087,KW,2,Shamiya,
253088,KW,2,Al-shuaiba,
253089,KW,2,Al-farawaniyah,
253090,KW,2,Al Fintas,
253091,KW,2,Ahmedi,
253092,KW,2,Kuwait,
253093,KW,2,Shamiyah,
253094,KW,2,Qurtubah,
253095,KW,2,Al Aridiyah,
253096,KW,2,Koweit,
253097,KW,2,Farwaniyyeh,
253098,KW,5,Al Bhar,
253099,KW,2,Salimiyah,
253100,KW,2,Janub As Surrah,
253101,KW,2,Al Mahbulah,
253102,KW,2,As Sabahiyah,
253103,KW,2,Sharq Hawalli,
253104,KW,2,Sabah As Salim As Sabbah,
253105,KW,2,Al Fayha',
253106,KW,2,Al Jabiriyah,
253107,KW,2,Jalib Ash Shuyukh,
253108,KW,2,Al Yarmuk,
253109,KW,2,Kuweit,
253110,KW,2,Al Kuwayt,
253111,KW,2,As Salimiyah,
253112,KW,2,Abraq Khitan,
253113,KW,2,Abu Halaifa,
253114,KW,2,Nugra,
253115,KW,2,Fahahil,
253116,KW,2,Kaifan,
253117,KW,5,Jahra Village,
253118,KW,2,Sabah As Salim,
253119,KW,2,Shuwoikh,
253120,KW,2,Salmiyyeh,
253121,KW,5,Suleibikhat,
253122,KW,2,Al Farwania,
253123,KW,5,Al Jahra',
253124,KW,2,Al Fintass,
253125,KW,2,Abi Huleifa,
253126,KW,2,Halaifa,
253127,KW,2,Al Manqaf,
253128,KW,2,Hawaly,
253129,KW,2,Ar Riqqah,
253130,KW,2,Kifan,
253131,KW,2,Ad Dumna,
