locId,country,region,city,postcode
253155,KZ,,,
253156,KZ,16,Petropavlovsk,
253157,KZ,17,Taraz,
253158,KZ,1,Aktobe,
253159,KZ,2,Almaty,
253160,KZ,6,Atyrau,
253161,KZ,11,Pavlodar,
253162,KZ,7,Akmola,
253163,KZ,16,Seyfullin,
253164,KZ,3,Bögenbay,
253165,KZ,5,Astana,
253166,KZ,7,Karaganda,
253167,KZ,10,Shymkent,
253168,KZ,12,Aktau,
253169,KZ,11,Ekibastuz,
253170,KZ,1,Taldykorgan,
253171,KZ,13,Ushakova,
253172,KZ,16,Kokshetau,
253173,KZ,1,Lugovaya,
253174,KZ,12,Temirtau,
253175,KZ,11,Lenin,
253176,KZ,13,Kostanay,
253177,KZ,15,Semipalatinsk,
253178,KZ,15,Auezov,
253179,KZ,2,Alma-ata,
253180,KZ,16,Progress,
253181,KZ,10,Zhibek Zholy,
253182,KZ,11,Kurchatov,
253183,KZ,13,Vostok,
253184,KZ,3,Batyr,
253185,KZ,15,Semey,
253186,KZ,14,Kyzylorda,
253187,KZ,15,Serebryansk,
253188,KZ,3,Abylay,
253189,KZ,7,Sary,
253190,KZ,12,Abay,
253191,KZ,13,Lisakovsk,
253192,KZ,13,Kirova,
253193,KZ,12,Pushkin,
253194,KZ,7,Furmanov,
253195,KZ,10,Turkestan,
253196,KZ,1,Panfilov,
253197,KZ,6,Tengiz,
253198,KZ,7,Karasay,
253199,KZ,13,Dzhetygara,
253200,KZ,12,Akzhol,
253201,KZ,4,Temir,
253202,KZ,10,Turar Ryskulov,
253203,KZ,16,Lomonosov,
253204,KZ,12,Zhezkazgan,
253205,KZ,4,Kandyagash,
253206,KZ,9,Shevchenko,
253207,KZ,1,Kapchagai,
253208,KZ,1,Raimbek,
253209,KZ,7,Karachaganak,
253210,KZ,14,Koktem,
253211,KZ,15,Kyzyl,
253212,KZ,10,Otrar,
253213,KZ,1,Gagarina,
253214,KZ,11,Dostyk,
253215,KZ,15,Ridder,
253216,KZ,11,Pobeda,
253217,KZ,11,Dzhambul,
253218,KZ,12,Bukey,
253219,KZ,3,Kurylys,
253220,KZ,9,Bautino,
253221,KZ,7,Aksay,
253222,KZ,14,Kzyl-orda,
253223,KZ,1,Panfilova,
253224,KZ,1,Kaskelen,
253225,KZ,15,Zyryanovsk,
253226,KZ,7,Korgan,
253227,KZ,7,Orlov,
253228,KZ,4,Khromtau,
253229,KZ,3,Aksoran,
253230,KZ,7,Ivanov,
253231,KZ,13,Ordzhonikidze,
253232,KZ,1,Talgar,
253233,KZ,11,Kalkaman,
253234,KZ,11,Aksu,
253235,KZ,3,Stepnogorsk,
253236,KZ,12,Balkhash,
253237,KZ,15,Öskemen,
253238,KZ,13,Kuat,
253239,KZ,1,Kirov,
253240,KZ,1,Alatau,
253241,KZ,1,Usharal,
253242,KZ,10,Türkistan,
253243,KZ,1,Energiya,
253244,KZ,13,Kustanai,
253245,KZ,7,Petrovo,
253246,KZ,6,Karabatan,
253247,KZ,9,Zhanaozen,
253248,KZ,15,Buran,
253249,KZ,12,Satpayev,
253250,KZ,4,Aktubinsk,
253251,KZ,1,Bereke,
253252,KZ,1,Koksu,
253253,KZ,11,Bayer,
253254,KZ,7,Zhuldyz,
253255,KZ,14,Ayteke Bi,
253256,KZ,15,Tore,
253257,KZ,11,Zangar,
253258,KZ,1,Karabastau,
253259,KZ,6,Karaton,
