locId,country,region,city,postcode
253993,LB,,,
253994,LB,4,Beirut,
253995,LB,5,Baabda,
253996,LB,3,Tripoli,
253997,LB,3,Chekka,
253998,LB,5,Fanar,
253999,LB,4,Beyrouth,
254000,LB,5,Zahlé,
254001,LB,5,Dbayeh,
254002,LB,4,Achrafieh,
254003,LB,5,Broummâna,
254004,LB,5,Chiyâh,
254005,LB,4,Hamra,
254006,LB,3,Gebrâyel,
254007,LB,2,Tyre,
254008,LB,1,Bakkah,
254009,LB,4,Dora,
254010,LB,5,Byblos,
254011,LB,6,Ksara,
254012,LB,2,Saïda,
254013,LB,5,Haï El Bayâder,
254014,LB,5,Hammana,
254015,LB,3,Al Habashi,
254016,LB,4,Bayrut,
254017,LB,3,Aafsadîq,
254018,LB,5,Jubayl,
254019,LB,2,Kafr Silwan,
254020,LB,5,Juniyah,
254021,LB,1,Jubb Jannin,
254022,LB,5,Jadra,
254023,LB,5,Harat Al Kanisah,
254024,LB,3,An Nassar,
254025,LB,1,Dayr Al Af Ayer,
254026,LB,3,Sarghoûn,
254027,LB,5,Bertregreen,
254028,LB,5,Al Baydar,
254029,LB,5,Jurat Arsun,
254030,LB,5,Btebiat,
254031,LB,3,Btaaboura,
254032,LB,5,Bsefrîne,
254033,LB,3,Amioûn,
254034,LB,5,An Nabi Yunus,
254035,LB,3,Al Mubarakiyah,
254036,LB,2,Brak Et-tel,
254037,LB,1,Riyaq,
254038,LB,5,Choueifat,
254039,LB,5,Al Fasqin,
254040,LB,3,Zgharta,
254041,LB,5,Damour,
254042,LB,5,Aley,
254043,LB,5,Adma,
254044,LB,2,Jazzin,
254045,LB,3,Bterrâm,
254046,LB,3,Batroûn,
254047,LB,5,Brummana,
254048,LB,5,Ajaltoun,
254049,LB,5,Bchamoun,
254050,LB,5,Arsoûn,
254051,LB,2,Sur,
254052,LB,5,Tabarja,
254053,LB,5,Jamhoûr,
254054,LB,1,Al Mahattah,
254055,LB,5,Aïn Aâr,
254056,LB,5,Falougha,
254057,LB,5,Amchit,
254058,LB,5,Aramoun,
254059,LB,5,Hemlâya,
254060,LB,5,Ghosta,
254061,LB,5,Beït Chabâb,
254062,LB,5,Beit Meri,
254063,LB,5,Faraya,
254064,LB,5,Ghazir,
254065,LB,5,Aïn Saâdé,
254066,LB,3,Jebla,
254067,LB,3,Cheïkh Tâba,
254068,LB,6,Naqoura,
254069,LB,1,Baalbeck,
254070,LB,5,Balloûné,
254071,LB,1,Chtaura,
254072,LB,3,Aabboûdîyé,
254073,LB,3,Koûsba,
254074,LB,5,Antoura,
254075,LB,5,Bsalim,
254076,LB,2,Sidon,
254077,LB,2,Sayda,
254078,LB,5,Salima,
254079,LB,5,Bteghrîne,
254080,LB,5,Bouâr,
254081,LB,5,Aïn Es Sihha,
254082,LB,3,Hamat,
254083,LB,3,Fih,
254084,LB,1,Mâr Eliâs,
254085,LB,5,Aaley,
254086,LB,5,Hakel,
254087,LB,5,Sarba,
254088,LB,4,Achrafie,
254089,LB,5,Adonîs,
254090,LB,5,Chiah,
254091,LB,5,Barja,
254092,LB,1,Baalbek,
254093,LB,5,Brumana,
254094,LB,5,Halat,
254095,LB,5,Dalhoûn,
254096,LB,3,Bakhoun,
254097,LB,5,Dahr El Aïn,
254098,LB,5,Haret Sakhr,
254099,LB,2,Chebaâ,
254100,LB,3,Halba,
254101,LB,5,Baaklin,
254102,LB,5,Ghadir,
254103,LB,5,Chéhim,
254104,LB,5,Baakline,
254105,LB,5,Zuq Mikha'il,
254106,LB,3,Ber'halioûn,
254107,LB,4,Ashrafiyah,
254108,LB,5,Jdeïdé,
254109,LB,5,Aajaltoûn,
254110,LB,5,Hazmie,
254111,LB,6,Joûn,
254112,LB,2,Aaïntoûra,
254113,LB,5,Bi'r Hasan,
254114,LB,3,Trâblous,
254115,LB,5,Bîr Hassan,
254116,LB,3,Miziâra,
254117,LB,5,Araya,
254118,LB,5,Bhamdoûn,
254119,LB,5,Berjein,
254120,LB,3,Barghun,
254121,LB,5,Bi'r Ash Shuhada',
254122,LB,5,Bayâda,
254123,LB,5,Hazmiyé,
254124,LB,5,Al `adhra',
254125,LB,5,Hâsbaïya,
254126,LB,1,Bechouât,
254127,LB,5,Aïn Anoub,
254128,LB,5,Hâret Hraïk,
254129,LB,5,Habalin,
254130,LB,5,Anntelias,
254131,LB,5,Beychiyé,
254132,LB,5,Haret Hreik,
254133,LB,5,Bsoûs,
254134,LB,5,Fidâr,
254135,LB,5,Al Bawshariyah,
254136,LB,5,Aaraïya,
254137,LB,5,Aïn El Mehnaïde,
254138,LB,1,Niha,
254139,LB,3,Tarabulus,
254140,LB,5,Baskinta,
254141,LB,5,Shwit,
254142,LB,1,Fakieh,
254143,LB,5,Fadar Al Fawqa,
254144,LB,3,Baqismaya,
254145,LB,5,Beacot,
254146,LB,5,Zahlah,
254147,LB,5,Jall Bou Haïdar,
254148,LB,5,Alley,
254149,LB,1,Al Hadath,
254150,LB,5,Jall Ed Dîb,
254151,LB,3,Barsa,
254152,LB,5,Aabeïdât,
254153,LB,5,Aïnâb,
254154,LB,5,Al Bahra,
254155,LB,5,Dlebta,
254156,LB,5,Byaqut,
254157,LB,5,Ra's Qusta,
254158,LB,4,Dawra,
254159,LB,3,Ad Dabbaghah,
254160,LB,5,Beaachta,
254161,LB,5,Hasrat,
254162,LB,5,Shhim,
254163,LB,5,Jdeïdi,
254164,LB,5,Al Akoura,
254165,LB,5,Dhour Choueir,
254166,LB,3,Bcharré,
254167,LB,5,Jaaita,
254168,LB,5,Harîssa,
254169,LB,5,Dbaïyé,
254170,LB,5,Hboûb,
254171,LB,2,Sabbah,
254172,LB,5,Al Mukaydis,
254173,LB,2,Ghaziyé,
254174,LB,1,Maallaqa,
254175,LB,3,Biâder Rachaaïne,
254176,LB,1,Berr Elyas,
254177,LB,3,Chekka Aatîqa,
254178,LB,5,Nabay,
254179,LB,5,Al Hamra',
254180,LB,5,Baaouarta,
254181,LB,2,Saïdoûn,
254182,LB,1,Saghbîne,
254183,LB,3,Badbhoûn,
254184,LB,5,Blat,
254185,LB,5,Ash Shaqif,
254186,LB,5,Nahr Ibrahim,
254187,LB,3,Becharri,
254188,LB,5,Bzébdîne,
254189,LB,5,Chhîm,
254190,LB,5,Chouène,
254191,LB,5,Haql Hasan,
254192,LB,5,Ru'aysat An Nu`man,
254193,LB,5,`ain Drafeel,
254194,LB,5,Baïssoûr,
254195,LB,5,Harisa,
254196,LB,5,Nahr Al Mawt,
254197,LB,5,Dîk El Mehdi,
254198,LB,2,Beïdar,
254199,LB,1,Jdita,
254200,LB,4,Al Mudawwar,
254201,LB,5,Aïn Aanoub,
254202,LB,5,Aïn Zhalta,
254203,LB,1,Rashayya,
254204,LB,5,Bi'r Al Hayt,
254205,LB,5,Bâroûk,
254206,LB,3,Enfeh,
254207,LB,5,Midan Az Zir,
254208,LB,5,Aasfouriye,
254209,LB,5,Borj El Hammoud,
254210,LB,1,Sa`d Nayil,
254211,LB,4,Al Bashurah,
254212,LB,1,Safrah,
254213,LB,5,Baabdâte,
254214,LB,2,As Sarafand,
254215,LB,2,Zifta,
254216,LB,5,Al Fraykah,
254217,LB,5,An Naqqash,
254218,LB,1,Az Zu`rurah,
254219,LB,2,Kafra,
254220,LB,4,Achrafiyé,
254221,LB,5,Joünié,
254222,LB,4,Beirout,
254223,LB,5,Az Zalqa',
254224,LB,5,Jbail,
254225,LB,2,Bent Jbeil,
254226,LB,2,Borj Rahal,
254227,LB,2,Soûr,
254228,LB,5,Deïr El Qamar,
254229,LB,1,Lala,
254230,LB,5,Aïntoûra,
254231,LB,3,Ehden,
254232,LB,5,Bhersâf,
254233,LB,3,Batha,
