locId,country,region,city,postcode
254234,LC,,,
254235,LC,3,Castries,
254236,LC,9,Soufrière,
254237,LC,1,Canaries,
254238,LC,7,Laborie,
254239,LC,5,Dennery,
254240,LC,10,Belle Vue,
254241,LC,6,Gros Islet,
254242,LC,1,Anse La Raye,
254243,LC,3,Babonneau,
254244,LC,8,Micoud,
254245,LC,10,Vieux Fort,
254246,LC,2,Monchy,
254247,LC,6,Cap Estate,
254248,LC,4,Choiseul,
254249,LC,3,Marchand,
254250,LC,3,Marigot Bay,
254251,LC,5,Grande Rivière,
254252,LC,5,Anse Canot,
254253,LC,3,Morne Fortune,
254254,LC,10,Augier,
254255,LC,6,Choc,
254256,LC,7,Black Bay,
254257,LC,8,Desruisseaux,
254258,LC,3,Marigot,
254259,LC,11,Patience,
254260,LC,3,Bexon,
254261,LC,10,Carrièe,
254262,LC,3,La Croix Maingot,
254263,LC,3,Cabiche,
254264,LC,11,Mon Repos,
254265,LC,6,Morne Doudon,
254266,LC,3,Vigie,
254267,LC,3,Floissac,
254268,LC,5,Dernière Rivière,
