locId,country,region,city,postcode
254287,LK,,,
254288,LK,36,Colombo,
254289,LK,36,Rajagiriya,
254290,LK,36,Welisara,
254291,LK,36,Moratuwa,
254292,LK,36,Nugegoda,
254293,LK,29,Kotmale,
254294,LK,30,Anuradhapura,
254295,LK,36,Battaramulla,
254296,LK,36,Katunayake,
254297,LK,32,Kuliyapitiya,
254298,LK,29,Nuwara Eliya,
254299,LK,34,Galle,
254300,LK,36,Negombo,
254301,LK,31,Jaffna,
254302,LK,36,Maharagama,
254303,LK,32,Marawila,
254304,LK,29,Kandy,
254305,LK,36,Dehiwala,
254306,LK,35,Nawala,
254307,LK,36,Wattala,
254308,LK,36,Panadura,
254309,LK,36,Horana,
254310,LK,34,Kottawa,
254311,LK,36,Gampaha,
254312,LK,33,Deraniyagala,
254313,LK,29,Hunnasgiriya,
254314,LK,36,Magalkanda,
254315,LK,35,Badulla,
254316,LK,32,Aluthgama,
254317,LK,36,Piliyandala,
254318,LK,36,Beruwala,
254319,LK,36,Ratmalana,
254320,LK,31,Vavuniya,
254321,LK,36,Sapugaskanda,
254322,LK,36,Mount Lavinia,
254323,LK,34,Arangala,
254324,LK,33,Ratnapura,
254325,LK,36,Liyanagemulla,
254326,LK,29,Dambulla,
254327,LK,36,Borupana,
254328,LK,36,Hokandara North,
254329,LK,29,Peradeniya,
254330,LK,36,Kalutara,
254331,LK,36,Bandaragama,
254332,LK,36,Kelaniya,
254333,LK,31,Kokuvil,
254334,LK,36,Avissawella,
254335,LK,36,Padukka,
254336,LK,36,Biyagama,
254337,LK,36,Katuwawala,
254338,LK,36,Kotalawala,
254339,LK,36,Kotte,
254340,LK,32,Polgolla,
254341,LK,34,Kurunduwatta,
254342,LK,36,Weliwita,
254343,LK,34,Hambantota,
254344,LK,36,Seeduwa,
254345,LK,36,Kaduwela,
254346,LK,36,Kandana,
254347,LK,36,Veyangoda,
254348,LK,36,Watupitiwala,
254349,LK,31,Trincomalee,
254350,LK,32,Malabe,
254351,LK,36,Slave Island,
254352,LK,36,Hendala,
254353,LK,33,Makandura,
254354,LK,36,Dehiwela,
254355,LK,32,Kurunegala,
254356,LK,29,Gampola,
254357,LK,29,Katugastota,
254358,LK,29,Nawalapitiya,
254359,LK,35,Badalkumbura,
254360,LK,35,Bandarawela,
254361,LK,36,Madapatha,
254362,LK,32,Puttalam,
254363,LK,34,Bentota,
254364,LK,34,Koggala,
254365,LK,36,Homagama,
254366,LK,36,Ja-ela,
254367,LK,35,Buttala,
254368,LK,36,Attidiya,
