locId,country,region,city,postcode
253984,LA,,,
254902,LR,,,
254903,LR,14,Monrovia,
254904,LR,11,Grand Bassa,
254905,LR,17,Sanson,
254906,LR,14,Paynesville,
254907,LR,5,Foya,
254908,LR,17,Harbel,
254909,LR,10,Greenville,
254910,LR,17,Kakata,
254911,LR,9,Yekepa,
254912,LR,19,Zwedru,
254913,LR,13,Pleebo,
254914,LR,11,Barclaysville,
254915,LR,14,Careysburg,
254916,LR,10,Sinoe,
254917,LR,11,Johnson,
254918,LR,1,Gbarnga,
254919,LR,12,Congo Town,
254920,LR,22,Fish Town,
254921,LR,11,Buchanan,
254922,LR,11,Bong,
254923,LR,9,West,
254924,LS,,,
254925,LS,14,Roma,
254926,LS,14,Maseru,
254927,LS,19,Thaba-tseka,
254928,LS,18,Quthing,
254929,LS,11,Peka,
254930,LS,3,Maputsoe,
254931,LS,14,Botsabelo Asylum,
254932,LS,12,Mapoteng,
254933,LS,12,Hlotse,
254934,LS,11,Butha-buthe,
254935,LS,14,Mazenod,
254936,LS,13,Mafeteng,
254937,LS,12,Leribe,
254938,LS,10,Teyateyaneng,
