locId,country,region,city,postcode
254939,LT,,,
254940,LT,57,Kaunas,
254941,LT,65,Vilnius,
254942,LT,61,Siauliai,
254943,LT,58,Klaipeda,
254944,LT,65,Voke,
254945,LT,56,Alytus,
254946,LT,57,Kauno,
254947,LT,60,Rokiskis,
254948,LT,64,Utena,
254949,LT,60,Panevezys,
254950,LT,59,Aukstoji,
254951,LT,65,Elektrenai,
254952,LT,57,Garliava,
254953,LT,56,Alytaus,
254954,LT,63,Mazeikiu,
254955,LT,57,Lekeciai,
254956,LT,65,Pabrade,
254957,LT,57,Jonava,
254958,LT,58,Silute,
254959,LT,63,Telsiai,
254960,LT,62,Taurage,
254961,LT,60,Kupiskis,
254962,LT,57,Prienai,
254963,LT,60,Kedainiai,
254964,LT,65,Grigiskes,
254965,LT,60,Pasvalys,
254966,LT,60,Birzai,
254967,LT,64,Moletai,
254968,LT,59,Marijampole,
254969,LT,64,Utenos,
254970,LT,60,Visaginas,
254971,LT,58,Kretinga,
254972,LT,60,Ukmerge,
254973,LT,63,Mazeikiai,
254974,LT,59,Lazdijai,
254975,LT,64,Ignalina,
254976,LT,57,Kaisiadorys,
254977,LT,60,Zarasai,
254978,LT,40,Naujoji Akmene,
254979,LT,59,Kazlu Ruda,
254980,LT,58,Pamarys,
254981,LT,57,Kuras,
254982,LT,62,Jurbarkas,
254983,LT,59,Kalvarija,
254984,LT,65,Salcininkai,
254985,LT,60,Kupiskio,
254986,LT,60,Kedainiu,
254987,LT,60,Panevezio,
254988,LT,60,Svencionys,
254989,LT,63,Plunges,
254990,LT,57,Rumsiskes,
254991,LT,60,Giedraiciu,
254992,LT,56,Skleriai,
254993,LT,60,Radviliskio,
254994,LT,60,Ruta,
254995,LT,61,Rekyva,
254996,LT,65,Dubingiai,
254997,LT,62,Jurbarko,
254998,LT,61,Raseiniai,
254999,LT,61,Joniskis,
255000,LT,61,Pakruojis,
255001,LT,60,Anyksciai,
255002,LT,65,Trakai,
255003,LT,60,Sirvintos,
255004,LT,61,Radviliskis,
255005,LT,61,Kelme,
255006,LT,58,Gargzdai,
255007,LT,56,Druskininkai,
255008,LT,62,Taurages,
255009,LT,61,Medininku,
255010,LT,59,Kalvarijos,
255011,LT,60,Obeliai,
255012,LT,57,Pravieniskes,
255013,LT,65,Piliakalnis,
255014,LT,60,Uzupis,
255015,LT,60,Medininkai,
255016,LT,62,Silale,
255017,LT,56,Varena,
255018,LT,58,Palanga,
255019,LT,63,Plunge,
