locId,country,region,city,postcode
255663,LU,,,
255664,LU,3,Luxemburg,
255665,LU,2,Echternach,
255666,LU,3,Dudelange,
255667,LU,2,Wecker,
255668,LU,1,Esch,
255669,LU,3,Bascharage,
255670,LU,3,Foetz,
255671,LU,3,Sandweiler,
255672,LU,3,Capellen,
255673,LU,3,Hoehenhof,
255674,LU,3,Steinsel,
255675,LU,3,Rodange,
255676,LU,3,Eich,
255677,LU,3,Strassen,
255678,LU,3,Bissen,
255679,LU,3,Bettembourg,
255680,LU,3,Mersch,
255681,LU,3,Neudorf,
255682,LU,3,Gras,
255683,LU,3,Contern,
255684,LU,2,Wormeldange,
255685,LU,3,Aspelt,
255686,LU,3,Béreldange,
255687,LU,3,Kirchberg,
255688,LU,3,Bertrange,
255689,LU,3,Belvaux,
255690,LU,2,Betzdorf,
255691,LU,3,Hollerich,
255692,LU,3,Sanem,
255693,LU,2,Mondorf-les-bains,
255694,LU,3,Livange,
255695,LU,3,Fischbach,
255696,LU,2,Wasserbillig,
255697,LU,3,Kehlen,
255698,LU,3,Lintgen,
255699,LU,3,Niederanven,
255700,LU,3,Mamer,
255701,LU,3,Esch-sur-alzette,
255702,LU,1,Ettelbruck,
255703,LU,3,Kayl,
255704,LU,3,Münsbach,
255705,LU,3,Soleuvre,
255706,LU,3,Schuttrange,
255707,LU,3,Leudelange,
255708,LU,3,Eischen,
255709,LU,1,Clervaux,
255710,LU,3,Schifflange,
255711,LU,1,Redange,
255712,LU,2,Remich,
255713,LU,3,Hamm,
255714,LU,1,Roodt,
255715,LU,3,Roeser,
255716,LU,3,Dommeldange,
255717,LU,1,Wiltz,
255718,LU,2,Grevenmacher,
255719,LU,3,Ehlerange,
255720,LU,1,Doncols,
255721,LU,3,Lorentzweiler,
255722,LU,1,Hosingen,
255723,LU,1,Medernach,
255724,LU,3,Heisdorf,
255725,LU,3,Oberkorn,
255726,LU,3,Beggen,
255727,LU,1,Hoscheid,
255728,LU,1,Binsfeld,
255729,LU,3,Helmsange,
255730,LU,3,Belval,
255731,LU,3,Hesperange,
255732,LU,1,Esch-sur-sûre,
255733,LU,3,Koerich,
255734,LU,3,Bridel,
255735,LU,3,Rumelange,
255736,LU,3,Differdange,
255737,LU,3,Findel,
255738,LU,3,Mondercange,
255739,LU,1,Troisvierges,
255740,LU,3,Bettange-sur-mess,
255741,LU,2,Mertert,
255742,LU,1,Eselborn,
255743,LU,3,Gasperich,
255744,LU,3,Holzem,
255745,LU,3,Fentange,
255746,LU,2,Junglinster,
255747,LU,1,Vianden,
255748,LU,3,Bonnevoie,
255749,LU,1,Walter,
255750,LU,3,Pétange,
255751,LU,1,Wilwerdange,
255752,LU,1,Merzig,
255753,LU,2,Mensdorf,
255754,LU,1,Wincrange,
255755,LU,3,Héienhaff,
255756,LU,1,Marnach,
255757,LU,2,Christnach,
255758,LU,2,Schengen,
255759,LU,1,Diekirch,
255760,LU,3,Angelsberg,
255761,LU,3,Rollingen,
255762,LU,3,Keispelt,
255763,LU,2,Gostingen,
255764,LU,2,Medingen,
255765,LU,3,Bergem,
255766,LU,3,Kockelscheuer,
255767,LU,3,Gosseldange,
255768,LU,3,Fennange,
255769,LU,3,Walferdange,
255770,LU,1,Niederfeulen,
255771,LU,1,Vichten,
255772,LU,3,Pettingen,
255773,LU,3,Goeblange,
255774,LU,1,Asselborn,
255775,LU,3,Tétange,
255776,LU,3,Goetzingen,
255777,LU,3,Oberanven,
255778,LU,3,Blaschette,
255779,LU,3,Hagen,
255780,LU,3,Itzig,
255781,LU,3,Prettange,
255782,LU,3,Crauthem,
255783,LU,3,Oetrange,
255784,LU,3,Schrassig,
255785,LU,1,Rippweiler,
255786,LU,3,Nospelt,
255787,LU,2,Dalheim,
255788,LU,3,Clemency,
255789,LU,3,Kopstal,
255790,LU,3,Hunsdorf,
255791,LU,1,Michelau,
255792,LU,3,Cruchten,
255793,LU,1,Welscheid,
255794,LU,2,Altlinster,
255795,LU,3,Heffingen,
255796,LU,3,Moutfort,
255797,LU,3,Ernzen,
255798,LU,3,Schoenfels,
255799,LU,3,Reckange,
255800,LU,1,Grosbous,
255801,LU,3,Ehlange,
255802,LU,3,Larochette,
255803,LU,3,Beringen,
255804,LU,1,Michelbouch,
255805,LU,1,Boevange,
255806,LU,3,Brouch,
255807,LU,1,Oberfeulen,
255808,LU,3,Buschdorf,
255809,LU,1,Warken,
255810,LU,2,Gonderange,
255811,LU,3,Schoos,
255812,LU,3,Huncherange,
255813,LU,3,Limpach,
255814,LU,3,Pontpierre,
255815,LU,3,Marienthal,
255816,LU,3,Meispelt,
255817,LU,2,Imbringen,
255818,LU,1,Schandel,
255819,LU,3,Greisch,
255820,LU,3,Ernster,
255821,LU,3,Reckange-sur-mess,
255822,LU,3,Garnich,
255823,LU,3,Hollenfels,
255824,LU,3,Hellange,
255825,LU,2,Beidweiler,
255826,LU,2,Eisenborn,
255827,LU,3,Schrondweiler,
255828,LU,3,Kleinbettingen,
255829,LU,2,Canach,
255830,LU,2,Flaxweiler,
255831,LU,2,Machtum,
255832,LU,1,Schieren,
255833,LU,3,Rameldange,
255834,LU,3,Nommern,
255835,LU,3,Reuland,
255836,LU,3,Dippach,
255837,LU,3,Roedgen,
255838,LU,3,Bivange,
255839,LU,3,Alzingen,
255840,LU,3,Syren,
255841,LU,1,Grevels,
255842,LU,2,Bourglinster,
255843,LU,1,Perlé,
255844,LU,1,Everlange,
255845,LU,3,Noertzange,
255846,LU,1,Stegen,
255847,LU,1,Mertzig,
255848,LU,2,Dillingen,
255849,LU,2,Berbourg,
255850,LU,1,Basbellain,
255851,LU,1,Hachiville,
255852,LU,3,Septfontaines,
255853,LU,1,Buschrodt,
255854,LU,2,Burmerange,
255855,LU,3,Tuntange,
255856,LU,1,Niederpallen,
255857,LU,1,Heiderscheid,
255858,LU,3,Hostert,
255859,LU,1,Schlindermanderscheid,
255860,LU,1,Useldange,
255861,LU,3,Steinfort,
255862,LU,3,Lamadelaine,
255863,LU,3,Berchem,
255864,LU,3,Dahlem,
255865,LU,1,Fouhren,
255866,LU,3,Frisange,
255867,LU,1,Pratz,
255868,LU,2,Wellenstein,
255869,LU,3,Niedercorn,
255870,LU,3,Schouweiler,
255871,LU,2,Remerschen,
255872,LU,1,Oberwampach,
255873,LU,2,Waldbredimus,
255874,LU,3,Moesdorf,
255875,LU,3,Müllendorf,
255876,LU,3,Helmdange,
255877,LU,2,Filsdorf,
255878,LU,3,Senningen,
255879,LU,3,Bofferdange,
255880,LU,2,Rodenbourg,
255881,LU,2,Waldbillig,
255882,LU,3,Wickrange,
255883,LU,1,Erpeldange,
255884,LU,1,Saeul,
255885,LU,3,Hobscheid,
255886,LU,2,Eschweiler,
255887,LU,2,Müllerthal,
255888,LU,2,Godbrange,
255889,LU,3,Obercorn,
255890,LU,3,Olm,
255891,LU,2,Schwebsingen,
255892,LU,2,Altwies,
255893,LU,2,Bous,
255894,LU,1,Consthum,
255895,LU,1,Merscheid,
255896,LU,1,Eschdorf,
255897,LU,1,Harlange,
255898,LU,2,Steinheim,
255899,LU,1,Colpach-haut,
255900,LU,2,Greiveldange,
255901,LU,2,Rippig,
255902,LU,2,Haller,
255903,LU,1,Bourscheid,
255904,LU,1,Wahl,
255905,LU,1,Schweich,
255906,LU,1,Ingeldorf,
255907,LU,3,Hautcharage,
255908,LU,3,Kahler,
255909,LU,1,Reimberg,
255910,LU,3,Peppange,
255911,LU,3,Neuhaeusgen,
255912,LU,1,Ermsdorf,
255913,LU,1,Beckerich,
255914,LU,1,Bilsdorf,
255915,LU,1,Fischbach,
255916,LU,3,Weiler-la-tour,
255917,LU,1,Noerdange,
255918,LU,3,Merl,
255919,LU,1,Gilsdorf,
255920,LU,3,Fingig,
255921,LU,2,Bech,
255922,LU,2,Trintange,
255923,LU,2,Beaufort,
255924,LU,1,Rombach,
255925,LU,1,Hautbellain,
255926,LU,1,Wolwelange,
255927,LU,1,Ospern,
255928,LU,2,Eschweiler,
255929,LU,1,Doennange,
255930,LU,3,Hivange,
255931,LU,1,Lipperscheid,
255932,LU,1,Huldange,
255933,LU,1,Dahl,
255934,LU,3,Lasauvage,
255935,LU,1,Boulaide,
255936,LU,1,Hovelange,
255937,LU,2,Stadtbredimus,
255938,LU,1,Platen,
255939,LU,2,Biwer,
255940,LU,1,Bettborn,
255941,LU,2,Olingen,
255942,LU,1,Winseler,
255943,LU,1,Oberpallen,
255944,LU,1,Bettendorf,
255945,LU,3,Hassel,
255946,LU,3,Uebersyren,
255947,LU,1,Lullange,
255948,LU,1,Reichlange,
255949,LU,2,Rosport,
255950,LU,2,Berdorf,
255951,LU,2,Bech-kleinmacher,
255952,LU,1,Bettel,
255953,LU,1,Noertrange,
255954,LU,2,Consdorf,
255955,LU,2,Welfrange,
255956,LU,3,Linger,
255957,LU,1,Kautenbach,
255958,LU,1,Heinerscheid,
255959,LU,1,Koetschette,
255960,LU,2,Beyren,
255961,LU,1,Weiswampach,
255962,LU,2,Lenningen,
255963,LU,1,Burden,
255964,LU,1,Stolzembourg,
255965,LU,2,Scheidgen,
255966,LU,1,Tarchamps,
255967,LU,1,Weiler,
255968,LU,1,Nocher,
255969,LU,1,Bastendorf,
255970,LU,1,Rambrouch,
255971,LU,2,Born,
255972,LU,1,Reisdorf,
255973,LU,1,Boxhorn,
255974,LU,2,Assel,
255975,LU,2,Manternach,
255976,LU,1,Eschweiler,
255977,LU,1,Brandenbourg,
255978,LU,2,Moersdorf,
255979,LU,1,Folschette,
255980,LU,1,Bigonville,
255981,LU,1,Pintsch,
255982,LU,2,Elvange,
255983,LU,1,Knaphoscheid,
255984,LU,1,Holzthum,
255985,LU,2,Altrier,
255986,LU,1,Wemperhardt,
255987,LU,3,Boevange-sur-attert,
255988,LU,2,Wintrange,
255989,LU,2,Herborn,
255990,LU,3,Bour,
255991,LU,3,Rumelingen,
255992,LU,1,Insenborn,
255993,LU,1,Reuler,
255994,LU,1,Scheidel,
255995,LU,2,Niederdonven,
255996,LU,1,Walsdorf,
255997,LU,1,Drauffelt,
255998,LU,2,Ehnen,
255999,LU,1,Nothum,
256000,LU,1,Baschleiden,
256001,LU,1,Gralingen,
256002,LU,1,Stockem,
256003,LU,1,Derenbach,
256004,LU,2,Osweiler,
256005,LU,1,Dorscheid,
256006,LU,3,Cessange,
