locId,country,region,city,postcode
256155,LV,,,
256156,LV,25,Riga,
256157,LV,4,Code,
256158,LV,32,Ventspils,
256159,LV,25,Jurmala,
256160,LV,6,Daugavpils,
256161,LV,16,Liepaja,
256162,LV,15,Pilsetas,
256163,LV,29,Centrs,
256164,LV,12,Jelgava,
256165,LV,4,Bauska,
256166,LV,30,Meri,
256167,LV,23,Rezekne,
256168,LV,27,Broceni,
256169,LV,20,Madona,
256170,LV,26,Salaspils,
256171,LV,8,Dobele,
256172,LV,22,Livani,
256173,LV,31,Valmiera,
256174,LV,29,Tukums,
256175,LV,15,Kuldiga,
256176,LV,27,Saldus,
256177,LV,26,Adazi,
256178,LV,15,Base,
256179,LV,10,Jekabpils,
256180,LV,18,Salacgriva,
256181,LV,12,Elgava,
256182,LV,28,Sabile,
256183,LV,10,Zasa,
256184,LV,26,Olaine,
256185,LV,5,Cesis,
256186,LV,17,Cenkones,
256187,LV,24,Cekule,
256188,LV,31,Valmieras,
256189,LV,29,Vieniba,
256190,LV,7,Jauna,
256191,LV,29,Kandava,
256192,LV,9,Jaungulbene,
256193,LV,30,Vale,
256194,LV,33,Mezi,
256195,LV,18,Skultes,
256196,LV,5,Liepa,
256197,LV,31,Gailis,
256198,LV,33,Smilshu,
256199,LV,18,Juglas,
256200,LV,28,Mersrags,
256201,LV,33,Usmas,
256202,LV,21,Ogre,
256203,LV,25,Annas,
256204,LV,15,Kuldigas,
256205,LV,25,Lielupe,
256206,LV,17,Malkalne,
256207,LV,10,Krustpils,
256208,LV,33,Modes,
256209,LV,10,Rubene,
256210,LV,17,Nida,
256211,LV,7,Piedrujas,
256212,LV,5,Zarins,
256213,LV,7,Ernestines,
256214,LV,25,Bullu,
256215,LV,4,Rosme,
256216,LV,9,Reveli,
256217,LV,30,Smiltene,
256218,LV,27,Ozoli,
256219,LV,9,Staki,
256220,LV,30,Valka,
256221,LV,9,Gulbene,
256222,LV,30,Bilska,
256223,LV,26,Ragana,
256224,LV,26,Katlakalns,
256225,LV,28,Talsi,
256226,LV,8,Auru,
256227,LV,8,Gaujas,
256228,LV,1,Salas,
256229,LV,19,Deglava,
256230,LV,14,Zakusalas,
256231,LV,21,Lielvarde,
256232,LV,26,Saulkrasti,
256233,LV,2,Aluksne,
256234,LV,3,Balvi,
256235,LV,1,Aizkraukle,
256236,LV,22,Preili,
256237,LV,5,Valde,
256238,LV,26,Marupe,
256239,LV,27,Marijas,
256240,LV,26,Kekava,
256241,LV,31,Vaidavas,
256242,LV,33,Piltene,
256243,LV,31,Kauguri,
256244,LV,7,Bikernieki,
256245,LV,26,Jaunolaine,
256246,LV,1,Mucenieki,
256247,LV,28,Purvciems,
256248,LV,21,Ikskile,
256249,LV,15,Skepeli,
256250,LV,21,Jumprava,
256251,LV,18,Limbazi,
256252,LV,26,Sigulda,
256253,LV,1,Plavinas,
256254,LV,3,Baldones,
256255,LV,31,Naukseni,
256256,LV,14,Skaistas,
256257,LV,26,Upmalas,
256258,LV,33,Jurkalnes,
256259,LV,1,Kurzeme,
256260,LV,29,Vaivari,
256261,LV,15,Roni,
256262,LV,5,Celi,
256263,LV,7,Zemgale,
256264,LV,28,Jaunpagasts,
256265,LV,26,Baltezers,
256266,LV,31,Zvaigzne,
256267,LV,5,Ridzene,
256268,LV,22,Silava,
256269,LV,29,Ziemeli,
256270,LV,25,Vecmilgravis,
256271,LV,31,Vilpulka,
256272,LV,20,Dzelzava,
256273,LV,20,Barkava,
256274,LV,3,Upites,
256275,LV,8,Nakotne,
256276,LV,28,Kalnini,
256277,LV,17,Dunalka,
256278,LV,26,Vangazi,
256279,LV,17,Mackari,
256280,LV,29,Kalnciems,
256281,LV,4,Jaunjelgava,
256282,LV,21,Kegums,
256283,LV,28,Stende,
256284,LV,17,Pavilosta,
256285,LV,5,Ligatne,
256286,LV,5,Kaikasi,
256287,LV,31,Vaidava,
256288,LV,26,Balozi,
256289,LV,3,Vilaka,
256290,LV,8,Auce,
256291,LV,19,Ludza,
256292,LV,17,Aizpute,
256293,LV,16,Grobina,
256294,LV,29,Lapmezciems,
256295,LV,24,Vilani,
256296,LV,14,Dagda,
256297,LV,14,Kraslava,
256298,LV,15,Lemzeri,
256299,LV,4,Brezhi,
256300,LV,29,Kesterciems,
256301,LV,21,Krape,
256302,LV,29,(( Salas )),
256303,LV,15,Skrunda,
256304,LV,17,Durbe,
256305,LV,26,Baldone,
256306,LV,21,Madliena,
256307,LV,17,Priekule,
256308,LV,30,Strenci,
256309,LV,1,Daudzeva,
256310,LV,1,Koknese,
256311,LV,4,Iecava,
256312,LV,15,Myza Vardupe,
256313,LV,31,Mazsalaca,
256314,LV,2,Ape,
256315,LV,17,Smiltini,
256316,LV,18,Aloja,
256317,LV,31,Rujiena,
256318,LV,30,Seda,
256319,LV,26,Katlakalna,
256320,LV,10,Sala,
256321,LV,10,Viesite,
256322,LV,3,Naglisi,
256323,LV,29,Berzciems,
256324,LV,29,Ragaciems,
256325,LV,7,Latgale,
256326,LV,20,Laudona,
256327,LV,33,Cirkale,
256328,LV,20,Cesvaine,
256329,LV,18,Vilkene,
256330,LV,26,Purini,
256331,LV,25,Bullugals,
256332,LV,10,Yekabpils,
256333,LV,28,Dizciems,
256334,LV,28,Roja,
256335,LV,4,Eleja,
256336,LV,1,Rundale,
256337,LV,24,Ciskadi,
256338,LV,31,Koceni,
256339,LV,10,Rozi,
256340,LV,10,Kalngali,
256341,LV,15,Livi,
256342,LV,26,Sidgunda,
256343,LV,5,Jaunpiebalga,
256344,LV,27,Remte,
256345,LV,30,Myza Vetsvale,
256346,LV,26,Carnikava,
256347,LV,28,Valdemarpils,
256348,LV,20,Tolka,
256349,LV,28,Jadeksas,
256350,LV,5,Vecpiebalga,
256351,LV,15,Silmani,
256352,LV,20,Lubana,
256353,LV,10,Nagli,
256354,LV,19,Karsava,
256355,LV,3,Liepari,
256356,LV,33,Silakrogs,
256357,LV,2,Struzani,
256358,LV,21,Keipene,
256359,LV,1,Nereta,
256360,LV,25,Babite,
256361,LV,7,Lociki,
256362,LV,33,Jurkalne,
256363,LV,20,Ergli,
256364,LV,20,Sauleskalns,
256365,LV,27,Druva,
256366,LV,26,Malpils,
256367,LV,17,Ploce,
256368,LV,19,Zilupe,
256369,LV,15,Turlava,
256370,LV,5,Ieriki,
256371,LV,25,Pinki,
256372,LV,20,Varaklani,
256373,LV,20,Aiviekstes,
256374,LV,9,Skieneri,
256375,LV,22,Terehova,
256376,LV,1,Skriveri,
