locId,country,region,city,postcode
256928,MA,,,
256929,MA,7,Mohammadia,
256930,MA,27,Tanger,
256931,MA,24,Rabat,
256932,MA,26,Settat,
256933,MA,7,Casablanca,
256934,MA,15,Media,
256935,MA,39,Mansour,
256936,MA,23,Oujda,
256937,MA,20,Meknès,
256938,MA,19,El Jadida,
256939,MA,1,Agadir,
256940,MA,7,Anfa,
256941,MA,7,Mohammedia,
256942,MA,40,Tétouan,
256943,MA,19,Marrakech,
256944,MA,15,Kenitra,
256945,MA,6,Poste,
256946,MA,10,Smara,
256947,MA,40,Charga,
256948,MA,24,Salé,
256949,MA,16,Khemisset,
256950,MA,21,Nador,
256951,MA,33,Ifrane,
256952,MA,27,Tangier,
256953,MA,23,El Hemmal,
256954,MA,20,El Harmiine,
256955,MA,13,Douar Ti Rharba,
256956,MA,24,Kasba Skhirat,
256957,MA,13,Douar Oulad Aïd,
256958,MA,19,Marrakesh,
256959,MA,19,Oulad-ben-aïcha,
256960,MA,14,Fez,
256961,MA,26,Dar Oulad Brek,
256962,MA,19,Ouled El Garne,
256963,MA,25,Saïdato,
256964,MA,19,Douar El Hajra,
256965,MA,19,Bir Chelh,
256966,MA,19,El Ababsa,
256967,MA,32,Bouaïm,
256968,MA,24,'aïn Al 'awda,
256969,MA,38,Sidi Qasim,
256970,MA,32,Ouin L'spraye,
256971,MA,9,Bir Jdid,
256972,MA,12,El Mahizate,
256973,MA,30,En Nkhilo,
256974,MA,20,Dar El Caïd,
256975,MA,8,Taza,
256976,MA,13,Sefrou,
256977,MA,19,Sbaït,
256978,MA,19,Cherif,
256979,MA,25,Asfi,
256980,MA,20,Dekra El Azib,
256981,MA,20,Oulad Abdallah Barraho,
256982,MA,13,Oued Nja,
256983,MA,20,Sebaa Aioun,
256984,MA,24,Temara,
256985,MA,30,Sebt,
256986,MA,25,Youssoufia,
256987,MA,26,Douar Zitouni Ben Kassem,
256988,MA,26,Dar Caïd Jmili,
256989,MA,12,Douar Sidi Kaddour,
256990,MA,22,Aguilal,
256991,MA,22,Zaouyet Lalla Çfiya Ali,
256992,MA,22,Tamesna,
256993,MA,23,Sidi Saber,
256994,MA,6,Oulad Ali,
256995,MA,4,Oulad Daoud,
256996,MA,37,Oulad Hadj Larbi,
256997,MA,40,Martil,
256998,MA,16,Aït Halli El Oulja,
256999,MA,23,Oulad El Mane Tahata,
257000,MA,23,Oulad Moussa Mohammed,
257001,MA,40,El Makhfi,
257002,MA,23,Oulad Boujemaâ Fouaga,
257003,MA,37,Tawnat,
257004,MA,25,Dekakra,
257005,MA,19,Mesret,
257006,MA,10,Benguerir,
257007,MA,19,Douar Mzoudia,
257008,MA,12,Essaouira,
257009,MA,20,Douar Caïd Houseïne Etouala,
257010,MA,16,Aït Tifaout,
257011,MA,24,Sidi Al Haj Bou Derbala,
257012,MA,19,Azib Sekkoûm,
257013,MA,22,Oulad Narrouch,
257014,MA,19,Douar El Harbill,
257015,MA,32,Tiznit,
257016,MA,40,Tzafougaltz,
257017,MA,4,Ben Slimane,
257018,MA,40,Alimadene,
257019,MA,22,Ouarzazate,
257020,MA,25,Douar Kama,
257021,MA,25,Douar Oulad Messaoud,
257022,MA,23,Berkane,
257023,MA,7,Aïn El Harrouda,
257024,MA,19,Douar Oulad Saïd,
257025,MA,16,Douar Sidi Mohammed,
257026,MA,13,Domaine De Ras El Ma,
257027,MA,38,Wazzan,
257028,MA,5,Beni Mellal,
257029,MA,13,Douar Atchane,
257030,MA,15,Zemmour Touirza,
257031,MA,24,Skhirate,
257032,MA,19,Oulad Ez Zir,
257033,MA,9,Azimur,
257034,MA,16,Nkheïla,
257035,MA,39,Ouled Teima,
257036,MA,10,Douar Oulad Messaoud,
257037,MA,19,Douar Kerkouz,
257038,MA,37,Zamra,
257039,MA,13,Douar Aïn El Mouali,
257040,MA,37,Kalaa Fichtala,
257041,MA,24,Sidi Yahia Az Za'er,
257042,MA,18,Khouribga,
257043,MA,3,Zemamra,
257044,MA,41,Safsaf,
257045,MA,41,Larache,
257046,MA,19,Asni,
257047,MA,1,Inezgane,
257048,MA,19,Aït Melloul,
257049,MA,9,El Jadida,
257050,MA,21,Saïdia,
257051,MA,25,El Kélaâ,
257052,MA,5,Douar Hababza,
257053,MA,25,Douar Oulad Moussa,
257054,MA,13,Douar Aïcha Mouguetaya,
257055,MA,21,Zaïo,
257056,MA,1,Tikiouine,
257057,MA,16,Sidi Bettache,
257058,MA,30,Tahala,
257059,MA,4,Oulad Sa'id,
257060,MA,21,Anoual,
257061,MA,30,Taza,
257062,MA,24,Skhirat,
257063,MA,21,Ahfir,
257064,MA,20,Bou Assel,
257065,MA,16,Sidi Allal El Bahraoui,
257066,MA,32,Sidi Slimane,
257067,MA,26,Dar Caïd Tounsi,
257068,MA,23,Ouja,
257069,MA,20,Douar Kefifat,
257070,MA,40,Taroudant,
257071,MA,40,Castillejos,
257072,MA,10,Bekkar,
257073,MA,5,Fkih Ben Salah,
257074,MA,26,Berrechid,
257075,MA,10,Dar Cheïkh Jilali,
257076,MA,21,Idoudouhane,
257077,MA,12,Ounagha,
257078,MA,3,Demnat,
257079,MA,26,Sidi-hajjaj,
257080,MA,6,Outat El Haj,
257081,MA,20,Aïn Leuh,
257082,MA,26,El Gara,
257083,MA,9,Sidi Bennour,
257084,MA,36,Tan-tan,
257085,MA,8,Chaouèn,
257086,MA,10,Attaouia,
257087,MA,40,Aziader,
257088,MA,38,Jorf-el-melha,
257089,MA,4,Bouznika,
257090,MA,33,Guelmim,
257091,MA,7,Aïn Harrouda,
257092,MA,16,Tiflet,
257093,MA,9,Oualidia,
257094,MA,1,Taghazout,
257095,MA,19,Sidi Mokhtar,
257096,MA,39,Aoulouz,
257097,MA,27,Asilah,
257098,MA,19,El Hajeb,
257099,MA,1,Biougra,
257100,MA,7,Deroua,
257101,MA,30,Guercif,
257102,MA,7,Oasis,
257103,MA,9,Zemamra,
257104,MA,25,Soualem,
257105,MA,11,Erfoud,
257106,MA,11,Rissani,
257107,MA,39,Oulad Teïma,
257108,MA,34,Ifrane,
257109,MA,22,Ksar El Kebîr,
257110,MA,22,Ourika,
257111,MA,17,Khenifra,
257112,MA,21,Segangan,
257113,MA,19,Sraghna,
257114,MA,38,Assilat,
257115,MA,20,Meknès Plaisance,
257116,MA,19,Chichaoua,
257117,MA,13,Fès Le Nouveau,
257118,MA,24,El Harhoura,
257119,MA,24,Kouas,
257120,MA,25,Moualda,
257121,MA,26,Sidi Rahal,
257122,MA,37,Fas Al Bali,
257123,MA,27,Tanger Boukhalef,
257124,MA,12,Salama,
257125,MA,4,Kasba Bou Hamira,
257126,MA,24,Bou Knadel,
257127,MA,15,Al Haïmriyine,
257128,MA,15,Sidi Yahia El Gharb,
257129,MA,19,Azib El Mahareg,
257130,MA,4,Al Mançouriya,
257131,MA,15,Sainte Des Tabacs D'el Mouidzine,
257132,MA,5,Kasba Tadla,
257133,MA,9,Al Jadida,
257134,MA,24,Sla,
257135,MA,23,Aklim,
257136,MA,15,Ali Ben Ahmed,
257137,MA,39,Tarudant,
257138,MA,18,Oued Zem,
257139,MA,20,Plaisance,
257140,MA,19,Aït Ourir,
257141,MA,16,Al Khmissat,
257142,MA,13,New Fes,
257143,MA,37,Fès Al Bali,
257144,MA,11,Agouraï,
257145,MA,41,El Ksar El Kbir,
257146,MA,21,Ahmed Allal,
257147,MA,4,Bouzhika,
257148,MA,22,Ouarzazat,
257149,MA,15,Sidi Yahia Al Gharb,
257150,MA,21,Driouch,
257151,MA,32,Mighleft,
257152,MA,37,Fes El Bali,
257153,MA,23,Oudja,
257154,MA,13,Oulad Bihich,
257155,MA,23,Beni Drar,
257156,MA,19,Tarougalt,
257157,MA,2,Alhacemas,
257158,MA,32,Azrou,
257159,MA,7,Bouskoura,
257160,MA,11,Azemmour,
257161,MA,37,Ghafsaï,
257162,MA,13,Fès Djedid,
257163,MA,40,Chou'ar,
257164,MA,16,Sidi Abbou,
257165,MA,16,Maaziz,
257166,MA,15,Sidi Sliman,
257167,MA,24,Sali,
257168,MA,41,Marrakchien,
257169,MA,19,Zabera,
257170,MA,40,M'diq,
257171,MA,5,Beni-mellal-centre,
257172,MA,7,Aïn Sebaa,
257173,MA,13,Zerhoun,
257174,MA,26,Barrechid,
257175,MA,23,Berkán,
257176,MA,5,Tadla,
257177,MA,21,Midar,
257178,MA,21,Ras El Ma,
257179,MA,20,El Menzeh,
257180,MA,15,Moulay-bousselham,
257181,MA,37,Mekansa,
257182,MA,23,Jerada,
257183,MA,13,Fès Le Vieux,
257184,MA,15,Hababda,
257185,MA,19,Thata,
257186,MA,7,Fadalah,
257187,MA,41,Marrakchiene,
257188,MA,8,Hommar,
257189,MA,10,Ou Abdallah,
257190,MA,38,Khemichet,
257191,MA,20,Aïn Taoujdate,
257192,MA,7,Fedala,
257193,MA,39,Hafaïa,
257194,MA,27,Tanja Balia,
257195,MA,32,Sidi Ifni,
257196,MA,25,Oulad Ayad,
257197,MA,38,Maa'rif Sedra,
257198,MA,13,Fès Jdid,
257199,MA,1,In Kourma,
257200,MA,3,Azilal,
257201,MA,4,Ben Nabet,
257202,MA,19,Abâachen,
257203,MA,41,Chefchaouech,
257204,MA,11,Goulmima,
257205,MA,40,Beni El Hakim,
257206,MA,26,Bou Chaïb,
257207,MA,22,Tinghir,
257208,MA,25,Rbat,
257209,MA,15,Sidi Yahya Du Rharb,
257210,MA,11,Jorf,
257211,MA,11,Aoufous,
257212,MA,25,Salah,
257213,MA,2,Al Hoceïma,
257214,MA,6,Boulmane,
257215,MA,18,Khouribja,
257216,MA,24,Akrach,
257217,MA,2,Alhucemas,
257218,MA,32,Taourirt,
257219,MA,17,Mrirt,
257220,MA,23,Touissit,
257221,MA,40,Fnideq,
257222,MA,18,Boujad,
257223,MA,25,Nouasser,
257224,MA,23,Guenfouda,
257225,MA,19,Ayad,
257226,MA,21,Selouane,
257227,MA,4,Mansouria,
257228,MA,8,Chefchaouene,
257229,MA,45,Mohammadia,
257230,MA,57,Tanger,
257231,MA,49,Rabat,
257232,MA,50,Settat,
257233,MA,45,Casablanca,
257234,MA,52,Media,
257235,MA,58,Mansour,
257236,MA,54,Oujda,
257237,MA,48,Meknès,
257238,MA,51,El Jadida,
257239,MA,55,Agadir,
257240,MA,45,Anfa,
257241,MA,45,Mohammedia,
257242,MA,57,Tétouan,
257243,MA,47,Marrakech,
257244,MA,54,Nador,
257245,MA,52,Kenitra,
257246,MA,47,Smara,
257247,MA,57,Charga,
257248,MA,49,Salé,
257249,MA,49,Khemisset,
257250,MA,45,Deroua,
257251,MA,47,Marrakesh,
257252,MA,56,Beni Mellal,
257253,MA,46,Fez,
257254,MA,57,Larache,
257255,MA,57,Tangier,
257256,MA,49,Temara,
257257,MA,46,Imouzzer,
257258,MA,58,Taza,
257259,MA,46,Bou Beker,
257260,MA,47,Aarich,
257261,MA,48,Bou Ifekhsi,
257262,MA,55,Ouarzazat,
257263,MA,54,Berkane,
257264,MA,54,Aïn Sfa,
257265,MA,54,Zaïo,
257266,MA,54,Selouane,
257267,MA,53,Ifrane,
257268,MA,52,Kelaa,
257269,MA,57,Taza,
257270,MA,49,Tiflet,
257271,MA,51,Rich,
257272,MA,48,Erfoud,
257273,MA,52,Sidi Yahia Al Gharb,
257274,MA,55,Tarudant,
257275,MA,55,Dou Tonga,
257276,MA,55,Ouled Teima,
257277,MA,50,Khouribga,
257278,MA,51,Asfi,
257279,MA,55,Inezgane,
257280,MA,47,Attaouia,
257281,MA,58,Fès Al Bali,
257282,MA,46,Sefrou,
257283,MA,55,Ouarzazate,
257284,MA,57,M'diq,
257285,MA,57,Tanger Boukhalef,
257286,MA,55,Ksar El Kebîr,
257287,MA,58,Al Hoceïma,
257288,MA,54,Martimprey Du Kiss,
257289,MA,54,Ahfir,
257290,MA,58,Tahala,
257291,MA,50,Berrechid,
257292,MA,47,Aït Melloul,
257293,MA,49,Sidi Allal,
257294,MA,47,El Jadida,
257295,MA,47,El Kelaa,
257296,MA,52,El Kelaâ,
257297,MA,47,Essaouira,
257298,MA,51,Azimur,
257299,MA,51,Al Jadida,
257300,MA,50,Khouribja,
257301,MA,52,Mehdiya-plage,
257302,MA,49,Akrach,
257303,MA,58,Asstare,
257304,MA,52,Sidi Qasim,
257305,MA,48,Oulad Abdallah Barraho,
257306,MA,55,Sidi Slimane,
257307,MA,50,Boujad,
257308,MA,47,Sraghna,
257309,MA,51,Salah,
257310,MA,52,Jorf-el-melha,
257311,MA,47,Ayad,
257312,MA,53,Guelmim,
257313,MA,51,Youssoufia,
257314,MA,47,Benguerir,
257315,MA,50,Oued Zem,
257316,MA,47,Chichaoua,
257317,MA,57,Chefchaouene,
257318,MA,54,Guenfouda,
257319,MA,48,Agouraï,
257320,MA,54,Touissit,
257321,MA,57,Marrakchien,
257322,MA,45,Aïn Es Sebaâ,
257323,MA,56,Agouraï,
257324,MA,46,Fès Al Bali,
257325,MA,46,Boulmane,
257326,MA,55,Tiznit,
257327,MA,47,Mjoutat,
257328,MA,55,Ourika,
257329,MA,54,Driouch,
257330,MA,49,Aïn El Aouda,
257331,MA,49,Sidi Yahia,
257332,MA,52,Wazzan,
257333,MA,48,Mrirt,
257334,MA,56,Azrou,
257335,MA,48,Meknès Plaisance,
257336,MA,48,El Hajeb,
257337,MA,54,Ksar,
257338,MA,58,Tawnat,
257339,MA,48,Plaisance,
257340,MA,52,Sidi Slimane,
257341,MA,50,Sidi Rahal,
257342,MA,57,Martil,
257343,MA,46,Outat El Haj,
257344,MA,57,Beni Ansar,
257345,MA,56,Azilal,
257346,MA,54,Jerada,
257347,MA,52,Plage,
257348,MA,57,Taroudant,
257349,MA,49,Souissi,
257350,MA,49,Skhirat,
257351,MA,49,Skhirate,
257352,MA,49,Maaziz,
257353,MA,49,Rommani,
257354,MA,48,Midelt,
257355,MA,57,Ksar El Kebir,
257356,MA,55,Zagora,
257357,MA,50,Bouznika,
257358,MA,53,Tan-tan,
257359,MA,47,Asni,
257360,MA,54,Aklim,
257361,MA,56,Fkih Ben Salah,
257362,MA,45,Aïn Sebaa,
257363,MA,48,Er Rachidia,
257364,MA,46,Imouzzer Du Kandar,
257365,MA,55,Sidi Ifni,
257366,MA,49,Sidi Allal El Bahraoui,
257367,MA,53,Tata,
257368,MA,58,Sebt,
257369,MA,46,Fès Jdid,
257370,MA,48,Tinejdad,
257371,MA,55,Agadir A Tasguedelt,
257372,MA,45,Casa Branca,
257373,MA,46,Fès,
257374,MA,58,Taounate,
257375,MA,52,Khenifra,
257376,MA,52,Sidi Kacem,
257377,MA,51,Safi,
257378,MA,57,Tetuán,
257379,MA,55,Agadair,
