locId,country,region,city,postcode
257417,MD,,,
257418,MD,48,Ciorescu,
257419,MD,48,Chisinau,
257420,MD,48,Kishinëv,
257421,MD,49,Tiraspol,
257422,MD,55,Bendery,
257423,MD,49,Dnestrovsk,
257424,MD,48,Rybnitsa,
257425,MD,49,Dubasari,
257426,MD,49,Zapadnyy,
257427,MD,55,Tighina,
257428,MD,49,Slobozia,
257429,MD,55,Cimislia,
257430,MD,48,Mishovka,
257431,MD,48,Straseni,
257432,MD,50,Edinet,
257433,MD,54,Floresti,
257434,MD,46,Telenesti,
257435,MD,56,Calarasi,
257436,MD,54,Soroca,
257437,MD,53,Orhei,
257438,MD,46,Balti,
257439,MD,50,Criva,
257440,MD,55,Leova,
257441,MD,51,Comrat,
257442,MD,48,Costesti,
257443,MD,56,Ungheni,
257444,MD,52,Pojareni,
257445,MD,48,Anenii Noi,
257446,MD,46,Glodeni,
257447,MD,48,Budai,
257448,MD,52,Bardar,
257449,MD,48,Malayeshty,
257450,MD,48,Chirca,
257451,MD,50,Ocnita,
257452,MD,48,Ialoveni,
257453,MD,56,Nisporeni,
257454,MD,52,Gansk,
257455,MD,49,Dnestrovsc,
257456,MD,47,Cahul,
257457,MD,55,Ceadîr-lunga,
257458,MD,52,Ganchesty,
257459,MD,55,Baimaclia,
257460,MD,55,Basarabeasca,
257461,MD,49,Criuleni,
257462,MD,54,Drochia,
257463,MD,46,Briceni,
257464,MD,48,Maximovca,
257465,MD,46,Scumpia,
257466,MD,46,Banesti,
257467,MD,46,Sîngerei,
257468,MD,52,Hincesti,
257469,MD,46,Ion Creanga,
257470,MD,48,Soldanesti,
257471,MD,48,Rabnita,
257472,MD,48,Zâmbreni,
257473,MD,46,Falesti,
257474,MD,48,Durlesti,
257475,MD,50,Alexandreni,
257476,MD,48,Sîngera,
257477,MD,48,Vorniceni,
257478,MD,48,Rezina,
257479,MD,48,Magdacesti,
257480,MD,55,Causeni,
257481,MD,46,Rascani,
257482,MD,55,Palanca,
257483,MD,54,Cosernita,
257484,MD,55,Stefan-voda,
257485,MD,48,Vatra,
257486,MD,55,Cantemir,
257487,MD,48,Stauceni,
257488,MD,52,Mereni,
257489,MD,48,Milestii Mici,
257490,MD,52,Buteni,
257491,MD,55,Cainari,
257492,MD,55,Taraclia,
257493,MD,48,Cojusna,
