locId,country,region,city,postcode
257880,ME,,,
257881,ME,0,Berane,
257882,ME,0,Ulcinj,
257883,ME,0,Podgorica,
257884,ME,0,Budva,
257885,ME,0,Kotor,
257886,ME,0,Niksic,
257887,ME,0,Golubovci,
257888,ME,0,Igalo,
257889,ME,0,Rozaje,
257890,ME,0,Tolosi,
257891,ME,0,Zeljeznica,
257892,ME,0,Tivat,
257893,ME,0,Zabljak,
257894,ME,0,Bijela,
257895,ME,0,Bokovo,
257896,ME,0,Cetinje,
257897,ME,0,Podvrat,
257898,ME,0,Sabani,
257899,ME,0,Kamenica,
257900,ME,0,Gorica,
257901,ME,0,Obod,
257902,ME,0,Tuzi,
257903,ME,0,Zagoric,
257904,ME,0,Brdo,
257905,ME,0,Tvrdas,
257906,ME,0,Plav,
257907,ME,0,Kosijeri,
257908,ME,0,Bar,
257909,ME,0,Ulica,
257910,ME,0,Becici,
257911,ME,0,Crna Gora,
257912,ME,0,Zavala,
257913,ME,0,Pljevlja,
257914,ME,0,Petrovac,
257915,ME,0,Topolica,
257916,ME,0,Bijelo Polje,
257917,ME,0,Dugi Do,
257918,ME,0,Zagrada,
257919,ME,0,Herceg-novi,
257920,ME,0,Ivanova Korita,
257921,ME,0,Mala,
257922,ME,0,Andrijevica,
257923,ME,0,Zvinje,
257924,ME,0,Masline,
257925,ME,0,Farmaci,
257926,ME,0,Danilovgrad,
257927,ME,0,Luka,
257928,ME,0,Stegvasi,
257929,ME,0,Vladimir,
257930,ME,0,Prcanj,
257931,ME,0,Zlatica,
257932,ME,0,Sutomore,
257933,ME,0,Radanovici,
257934,ME,0,Zgrada,
257935,ME,0,Strp,
257936,ME,0,Gusinje,
257937,ME,0,Vranj,
257938,ME,0,Konik,
257939,ME,0,Zabjelo,
257940,ME,0,Lustica,
257941,ME,0,Obrov,
257942,ME,0,Daljam,
257943,ME,0,Kolasin,
257944,ME,0,Zelenika,
257945,ME,0,Meterizi,
257946,ME,0,Petrovac Na Moru,
257947,ME,0,Suplja Stijena,
257948,ME,0,Risan,
257949,ME,0,Guci,
257950,ME,0,Sveti Stefan,
257951,ME,0,Polje,
257952,ME,0,Barutana,
257953,ME,0,Poscenje,
257954,ME,0,Milocer,
257955,ME,0,Mala Rzista,
257956,ME,0,Kanjosi,
257957,ME,0,Donja Plavnica,
257958,ME,0,Midzorove Kuce,
257959,ME,0,Grab,
257960,ME,0,Milijevici,
257961,ME,0,Klikovace,
257962,ME,0,Velja Lazina,
257963,ME,0,Jovanovici,
257964,ME,0,Mokro,
257965,ME,0,Ploca,
257966,ME,0,Bogdasici,
257967,ME,0,Markov Do,
257968,ME,0,Poprat,
257969,ME,0,Markovica Laz,
257970,ME,0,Velji Brijeg,
257971,ME,0,Selista,
257972,ME,0,Misocelo,
257973,ME,0,Komosevina,
257974,ME,0,Gradac,
257975,ME,0,Vilac,
257976,ME,0,Jasikovi Do,
257977,ME,0,Somina,
257978,ME,0,Leta,
257979,ME,0,Donji Murici,
257980,ME,0,Bigovo,
257981,ME,0,Rustovo,
257982,ME,0,Vardista,
257983,ME,0,Grabe,
257984,ME,0,Budua,
257985,ME,0,Krstac,
257986,ME,0,Oblatno,
257987,ME,0,Stari Bar,
257988,ME,0,Ivovici,
257989,ME,0,Potocilo,
257990,ME,0,Prentin Do,
257991,ME,0,Jabukovac,
257992,ME,0,Ljeskov Do,
257993,ME,0,Topla,
257994,ME,0,Mojkovac,
257995,ME,0,Katun Potrk,
257996,ME,0,Plavë,
257997,ME,0,Podgor,
257998,ME,0,Donji Stoliv,
257999,ME,0,Zaljuce,
258000,ME,0,Sutomor,
258001,ME,0,Kurilo,
258002,ME,0,Kolozun,
258003,ME,0,Krusevac,
258004,ME,0,Spuz,
258005,ME,0,Pod,
258006,ME,0,Lapcici,
258007,ME,0,Blizikuce,
258008,ME,0,Gornji Susanj,
258009,ME,0,Borete,
258010,ME,0,Spaljevici,
258011,ME,0,Golubovici,
258012,ME,0,Pluzine,
258013,ME,0,Zukovica,
258014,ME,0,Priboj,
258015,ME,0,Lastva,
258016,ME,0,Gornji Morinj,
258017,ME,0,Rijeka Crnojevica,
258018,ME,0,Lesnje,
258019,ME,0,Skaljari,
258020,ME,0,Buljarica,
258021,ME,0,Jaicevici,
258022,ME,0,Poljana,
258023,ME,0,Rujista,
258024,ME,0,Baosici,
258025,ME,0,Zmijice,
258026,ME,0,Radovici,
258027,ME,0,Petrova Ljut,
258028,ME,0,Teodo,
258029,ME,0,Plevlja,
258030,ME,0,Stvara,
