locId,country,region,city,postcode
258035,MG,,,
258036,MG,5,Antananarivo,
258037,MG,5,Antaninandro,
258038,MG,5,Tanjombato,
258039,MG,4,Toamasina,
258040,MG,5,Andafiavaratra,
258041,MG,3,Mahajanga,
258042,MG,4,Tamatave,
258043,MG,5,Tananarive,
258044,MG,5,Antsirabe,
258045,MG,2,Antaninarenina,
258046,MG,5,Ankorahotra,
258047,MG,5,Ambohidahy,
258048,MG,5,Antanimena,
258049,MG,5,Anosy,
258050,MG,5,Ankasina,
258051,MG,5,Mahamasina,
258052,MG,5,Ankadimbahoaka,
258053,MG,5,Ambatolampy,
258054,MG,2,Nosy-be,
258055,MG,6,Toliary,
258056,MG,6,Taolanaro,
258057,MG,2,Fianarantsoa,
258058,MG,5,Ambohimanga,
258059,MG,3,Sainte-marie,
258060,MG,4,Moramanga,
258061,MG,1,Diègo Suarez,
258062,MG,5,Betongolo,
258063,MG,6,Morondava,
258064,MG,5,Mangarivotra,
258065,MG,5,Betafo,
258066,MG,5,Avaradoha,
258067,MG,1,Ambanja,
258068,MG,5,Ambohidratimo,
258069,MG,1,Ambilobe,
258070,MG,5,Ampaisokely,
258071,MG,5,Andoharanofotsy,
258072,MG,2,Antsiranana,
258073,MG,1,Sambava,
258074,MG,5,Ambohidratrimo,
258075,MG,6,Ranohira,
258076,MG,5,Ampandrana Est,
258077,MG,1,Diego,
258078,MG,5,Ivato,
258079,MG,5,Ankaraobato,
258080,MG,1,Diégo-suarez,
258081,MG,3,Antsohihy,
258082,MG,3,Boeny,
258083,MG,1,Diego Soarez,
258084,MG,1,Hell-ville,
258085,MG,5,Ankatso,
258086,MG,5,Ambohitrimanjaka,
258087,MG,6,Amboanato,
258088,MG,5,Ambanidia,
258089,MG,1,Antsirana,
258090,MG,1,Antsahampano,
258091,MG,5,Faravohitra,
258092,MG,5,Imerintsiatosika,
258093,MG,5,Ambohibao,
258094,MG,6,Toliara,
258095,MG,3,Majunga,
258096,MG,5,Itaosy,
