locId,country,region,city,postcode
258101,MK,,,
258102,MK,41,Skopje,
258103,MK,6,Bitola,
258104,MK,82,Prilep,
258105,MK,99,Struga,
258106,MK,74,Ohrid,
258107,MK,A6,Tetovo,
258108,MK,89,Kosovo,
258109,MK,A1,Strumica,
258110,MK,98,Stip,
258111,MK,33,Gevgelija,
258112,MK,84,Radovis,
258113,MK,96,Dojran,
258114,MK,62,Kamenica,
258115,MK,C6,Vinica,
258116,MK,B1,Veles,
258117,MK,86,Resen,
258118,MK,34,Gostivar,
258119,MK,69,Negotino,
258120,MK,42,Kavadarci,
258121,MK,8,Bogdanci,
258122,MK,57,Kumanovo,
258123,MK,43,Kicevo,
258124,MK,A2,Studenicani,
258125,MK,C3,Zelino,
258126,MK,15,Caska,
258127,MK,80,Plasnica,
258128,MK,9,Bogomila,
258129,MK,C2,Zelenikovo,
258130,MK,14,Capari,
258131,MK,B6,Vranestica,
258132,MK,A4,Sveti Nikole,
258133,MK,35,Gradsko,
258134,MK,42,Cesendre,
258135,MK,60,Lozovo,
258136,MK,92,Sopiste,
258137,MK,1,Aracinovo,
258138,MK,A8,Valandovo,
258139,MK,23,Delogozdi,
258140,MK,C4,Zitose,
258141,MK,38,Jegunovce,
258142,MK,39,Kamenjane,
258143,MK,10,Bogovinje,
258144,MK,46,Kocani,
258145,MK,B8,Vratnica,
258146,MK,83,Probistip,
258147,MK,87,Rosoman,
258148,MK,28,Dolneni,
258149,MK,89,Samokov,
258150,MK,70,Negotino-polosko,
258151,MK,75,Orasac,
258152,MK,79,Petrovec,
258153,MK,A7,Topolcani,
258154,MK,63,Brod,
258155,MK,30,Drugovo,
258156,MK,90,Saraj,
258157,MK,B3,Vevcani,
258158,MK,3,Belcista,
258159,MK,53,Krivogastani,
258160,MK,77,Oslomej,
258161,MK,49,Konopiste,
258162,MK,26,Dobrusevo,
258163,MK,47,Konce,
258164,MK,21,Debar,
258165,MK,58,Labunista,
258166,MK,22,Delcevo,
258167,MK,72,Novo Selo,
258168,MK,20,Cucer,
258169,MK,65,Meseista,
258170,MK,50,Kosel,
258171,MK,52,Kriva Palanka,
258172,MK,94,Srbinovo,
258173,MK,4,Berovo,
258174,MK,1,Madzari,
258175,MK,24,Demir Hisar,
258176,MK,76,Orizari,
258177,MK,54,Krusevo,
258178,MK,16,Cegrane,
258179,MK,C5,Zletovo,
258180,MK,59,Izvor,
258181,MK,96,Star Dojran,
258182,MK,64,Mavrovo,
258183,MK,88,Rostusa,
258184,MK,9,Teovo,
258185,MK,91,Vesala,
258186,MK,7,Trsino,
258187,MK,51,Kratovo,
258188,MK,25,Demir Kapija,
258189,MK,11,Bosilovo,
258190,MK,16,Forino,
258191,MK,96,Nov Dojran,
258192,MK,7,Peklani,
258193,MK,97,Zegljane,
258194,MK,48,Kondovo,
258195,MK,33,Stojakovo,
258196,MK,47,Skorusa,
258197,MK,82,Toplica,
258198,MK,9,Gornje Jabolciste,
258199,MK,9,Nezilovo,
258200,MK,63,Patec,
258201,MK,60,Ivankovac,
258202,MK,69,Dzidimirci,
258203,MK,25,Kosarka,
258204,MK,98,Hadzi Redzepli,
258205,MK,89,Sapatoec,
258206,MK,51,Sakulica,
258207,MK,C3,Bojana,
258208,MK,27,Dolna Banjica,
258209,MK,28,Kostinci,
258210,MK,C3,Lukovica,
258211,MK,92,Drzilovo,
258212,MK,98,Dolani,
258213,MK,98,Vrsakovo,
258214,MK,B5,Alsar,
258215,MK,81,KaluÄ‘erica,
258216,MK,89,Patishka Rekë,
258217,MK,89,Belica,
258218,MK,A4,Stanjevce,
258219,MK,A4,Orel,
258220,MK,60,Creska,
258221,MK,C1,Zajas,
258222,MK,98,Dragoevo,
258223,MK,A4,Stanjulovci,
258224,MK,46,Nivicani,
258225,MK,42,Mali Radobili,
258226,MK,75,Kolicko,
258227,MK,89,Dolna Belica,
258228,MK,79,Divlje,
258229,MK,79,Ciflik,
258230,MK,19,Cesinovo,
258231,MK,A2,Batinci,
258232,MK,A2,Kalderjac,
258233,MK,81,Dukatino,
258234,MK,82,Dulje,
258235,MK,55,Kuklis,
258236,MK,93,Brezovo,
258237,MK,3,Bresani,
258238,MK,C6,Vrteska,
258239,MK,66,Basali,
258240,MK,86,Leva Reka,
258241,MK,7,Laki,
258242,MK,70,Gradec,
258243,MK,B8,Nerashte,
258244,MK,82,Prilepac,
258245,MK,62,Manilci,
258246,MK,48,Gorno Svilare,
258247,MK,30,Kienovac,
258248,MK,B1,Rastani,
258249,MK,A4,Kadrifakovo,
258250,MK,45,Klecevce,
258251,MK,A5,Tearce,
258252,MK,4,Ratevo,
258253,MK,67,Mogila,
258254,MK,59,Llojan,
258255,MK,C6,Pripecane,
258256,MK,56,Sekirani,
258257,MK,59,Umin Dol,
258258,MK,51,Vaklinci,
258259,MK,85,Stracin,
258260,MK,49,Radnja,
258261,MK,A5,Dobroshtë,
258262,MK,37,Pomenovo,
258263,MK,94,An,
258264,MK,93,Sopotnica,
258265,MK,14,Kazani,
258266,MK,B6,Lisicani,
258267,MK,20,Pobozje,
258268,MK,41,Cair,
258269,MK,25,Koprisnica,
258270,MK,88,Prisojnica,
258271,MK,64,Mavrovi Anovi,
258272,MK,B9,Gorno Jelovce,
258273,MK,6,Trnovo,
258274,MK,98,Penus,
258275,MK,9,Stroja,
258276,MK,56,Kukurecani,
258277,MK,99,Radolista,
258278,MK,69,Tremnik,
258279,MK,9,Mokreni,
258280,MK,52,Maaka Kosarica,
258281,MK,C6,Zrnovci,
258282,MK,79,Idrizovo,
258283,MK,40,Karbinci,
258284,MK,10,Pirok,
258285,MK,78,Pehcevo,
258286,MK,79,Kadino,
258287,MK,20,Mirkovci,
258288,MK,15,Lisice,
258289,MK,36,Belimbegovo,
258290,MK,76,Pripor,
258291,MK,71,Novaci,
258292,MK,19,Pisica,
258293,MK,57,Kumanovë,
258294,MK,63,Makedonski Brod,
258295,MK,A6,Tetovë,
258296,MK,41,Skopeia,
258297,MK,41,Skopie,
258298,MK,6,Bitol,
258299,MK,B7,Vrapciste,
258300,MK,41,Skoplje,
258301,MK,85,Rankovce,
258302,MK,22,Grad,
258303,MK,41,Shkup,
