locId,country,region,city,postcode
258304,ML,,,
258305,ML,1,Bamako,
258306,ML,3,Kayes,
258307,ML,6,Koutiala,
258308,ML,7,Kati,
258309,ML,7,Koro,
258310,ML,6,Sikasso,
258311,ML,7,Koulikoro,
258312,ML,4,Mopti,
258313,ML,4,Bandiagara,
258314,ML,1,Bamako Koura,
258315,ML,4,Douentza,
258316,ML,5,San,
258317,ML,7,Débougou,
258318,ML,7,Niono,
258319,ML,4,Sévaré,
258320,ML,7,Koulouba,
258321,ML,1,Kalaban Koura,
258322,ML,10,Kidal,
258323,ML,7,Sélingué,
258324,ML,3,Kita,
258325,ML,0,Bama,
258326,ML,7,Torokorobougou,
258327,ML,5,Ségou,
258328,ML,8,Goundam,
258329,ML,7,Bamabougou,
258330,ML,3,Sadiola,
258331,ML,3,Loulo,
258332,ML,1,Niarela,
