locId,country,region,city,postcode,latitude,longitude,metro_code,area_code
258338,MN,,,,46,105,,
258339,MN,20,Ulaanbaatar,,47.9167,106.9167,,
258340,MN,25,Erdenet,,49.0333,104.0833,,
258341,MN,11,Darhan,,46.6167,109.4167,,
258342,MN,16,Sükhbaatar,,50.2314,106.2078,,
258343,MN,8,Mandalgovi,,45.75,106.2667,,
258344,MN,21,Unit,,49.1333,102.8167,,
258345,MN,24,Choïr,,46.1333,108.65,,
258346,MN,21,Bulgan,,48.8106,103.5317,,
258347,MN,6,Choibalsan,,48.0667,114.5,,
258348,MN,1,Muren,,48.2644,100.3742,,
258349,MN,21,Orkhon,,48.6311,103.5292,,
258350,MN,21,Orhon,,48.6311,103.5292,,
258351,MN,11,Khentiï,,48.0833,109.8167,,
258352,MN,7,Bayan,,46.25,110.1667,,
258353,MN,19,Ulaangom,,49.9667,92.0333,,
258354,MN,12,Khovd,,48.0167,91.6333,,
258355,MN,11,Öndörhaan,,47.3167,110.65,,
258356,MN,17,Baruun-urt,,46.7,113.2833,,
258357,MN,18,Dzuunmod,,47.7,106.95,,
258358,MN,16,Sühbaatar,,50.2314,106.2078,,
258359,MN,16,Zuunkharaa,,48.6333,106.7333,,
258360,MN,21,Bayangol,,49.5167,103.6667,,
258361,MN,3,Altaï,,48.3,89.5,,
258362,MN,11,Darkhan,,46.6167,109.4167,,
258363,MN,20,Ulaanbaator,,47.9167,106.9167,,
258364,MN,20,Ulan Bator,,47.9167,106.9167,,
258365,MN,20,Ulaan Baatar Hoto,,47.9167,106.9167,,
258366,MN,20,Nalaikha,,47.7667,107.2833,,
