locId,country,region,city,postcode
258502,MT,,,
258503,MT,0,Gzira,
258504,MT,0,San Gwann,
258505,MT,0,Attard,
258506,MT,0,Balzan,
258507,MT,0,Melita,
258508,MT,0,Valletta,
258509,MT,0,Msida,
258510,MT,0,Piet�,
258511,MT,0,Birkirkara,
258512,MT,0,Mosta,
258513,MT,0,Lija,
258514,MT,0,Sliema,
258515,MT,0,Dingli,
258516,MT,0,Kalkara,
258517,MT,0,Isla,
258518,MT,0,Cospicua,
258519,MT,0,Fgura,
258520,MT,0,Vittoriosa,
258521,MT,0,Safi,
258522,MT,0,Qrendi,
258523,MT,0,Mtarfa,
258524,MT,0,Mqabba,
258525,MT,0,Marsaxlokk,
258526,MT,0,Luqa,
258527,MT,0,Kirkop,
258528,MT,0,Gudja,
258529,MT,0,Floriana,
258530,MT,0,Santa Venera,
258531,MT,0,Tarxien,
258532,MT,0,Zabbar,
258533,MT,0,Zebbug,
258534,MT,0,Zejtun,
258535,MT,0,Mgarr,
258536,MT,0,Siggiewi,
258537,MT,0,Naxxar,
258538,MT,0,Kercem,
258539,MT,0,Nadur,
258540,MT,0,Qala,
258541,MT,0,San Lawrenz,
258542,MT,0,Sannat,
258543,MT,0,Victoria,
258544,MT,0,Xewkija,
258545,MT,0,Rabat,
258546,MT,0,Qormi,
258547,MT,0,Paola,
258548,MT,0,Zurrieq,
258549,MT,0,Curmi,
258550,MT,0,Birgu,
258551,MT,0,Valetta,
258552,MT,0,Bugibba,
258553,MT,0,Marsa,
258554,MT,0,San Giljan,
258555,MT,0,Mdina,
258556,MT,0,Bormla,
258557,MT,0,Munxar,
258558,MT,0,Birzebbugia,
258559,MT,0,Saint Paul's Bay,
258560,MT,0,Marsaskala,
258561,MT,0,Birzebbuga,
258562,MT,0,Santa Lucia,
258563,MT,0,Notabile,
258564,MT,0,Madliena,
258565,MT,0,B'bugia,
258566,MT,0,Manikata,
258567,MT,0,Marsalforn,
258568,MT,0,M'skala,
258569,MT,0,Zonqor,
258570,MT,0,Marsa Scala,
258571,MT,0,L-iklin,
258572,MT,0,Fleur De Lys,
258573,MT,0,Ta' L-ibrag,
258574,MT,0,San Pawl Tat-targa,
258575,MT,0,Ta' Xbiex,
258576,MT,0,B'buga,
258577,MT,0,Birzebuggia,
258578,MT,0,Ainsielem,
258579,MT,0,Imtarfa,
258580,MT,0,Gomerino,
258581,MT,0,Il-kortin Ta' Għajn Zejtuna,
258582,MT,0,Tal-blata,
258583,MT,0,Is-sellum,
258584,MT,0,Id-daħar,
258585,MT,0,Hamrija,
258586,MT,0,Ix-xagħra Ta' Barra,
258587,MT,0,L-imbordin,
258588,MT,0,Il-mellieħa,
258589,MT,0,Ta' Qali,
258590,MT,0,Bubaqra,
258591,MT,0,Għajn Zejtuna,
258592,MT,0,Il-kamp Tal-mellieħa,
258593,MT,0,Biskra,
258594,MT,0,Birzbbu,
258595,MT,0,Dwejra,
258596,MT,0,L-mgarr,
258597,MT,0,Ixaghra Il Hamra,
258598,MT,0,Il Manikata,
258599,MT,0,Ghajnsielem,
258600,MT,0,Xghajra,
258601,MT,0,Hamrun,
258602,MT,0,Ghaxaq,
258603,MT,0,Gharghur,
258604,MT,0,Mellieha,
258605,MT,0,Gharb,
258606,MT,0,Xaghra,
258607,MT,0,San Pawl Il-bahar,
258608,MT,0,Il-hamra,
258609,MT,0,Il Kortin Ta Ghain Zeituna,
258610,MT,0,Hal Balzan,
258611,MT,0,Zebbiegh,
258612,MT,0,Bahar Ic-caghaq,
258613,MT,0,Haz-zebbug,
258614,MT,0,B'kara,
258615,MT,0,Senglea,
258616,MT,0,Santa Lucija,
258617,MT,0,Paula,
258618,MT,0,Hal Luqa,
258619,MT,0,Saint Julian's,
258620,MT,0,Hal Lija,
258621,MT,0,Hal Qormi,
258622,MT,0,H'attard,
258623,MT,0,Tas-sliema,
258624,MT,0,Haz-zabbar,
258625,MT,0,Hal Ghaxaq,
258626,MT,0,L-imsida,
258627,MT,0,Saint Julian,
258628,MT,0,Hal Safi,
258629,MT,0,La Valette,
258630,MT,0,Is-swieqi,
258631,MT,0,Gudia,
258632,MT,0,Pawla,
258633,MT,0,Hal Tarxien,
258634,MT,0,Luca,
