locId,country,region,city,postcode
258635,MU,,,
258636,MU,15,Reduit,
258637,MU,18,Port Louis,
258638,MU,17,Curepipe,
258639,MU,17,Malherbes,
258640,MU,17,Ebène,
258641,MU,19,Goodlands,
258642,MU,16,Terre Rouge,
258643,MU,16,Triolet,
258644,MU,17,Beau Bassin,
258645,MU,19,Pereybèré,
258646,MU,15,Pailles,
258647,MU,17,Vacoas,
258648,MU,19,Piton,
258649,MU,12,Albion,
258650,MU,13,Flacq,
258651,MU,17,Rose Hill,
258652,MU,16,Baie Du Tombeau,
258653,MU,12,Pointe Aux Sables,
258654,MU,15,Dagotière,
258655,MU,17,Phoenix,
258656,MU,15,Moka,
258657,MU,17,Quatre Bornes,
258658,MU,16,Calebasses,
258659,MU,16,Long Mountain,
258660,MU,15,Melrose,
258661,MU,16,Arsenal,
258662,MU,15,Dubreuil,
258663,MU,16,Notre Dame,
258664,MU,15,Ripailles,
258665,MU,14,Mahébourg,
258666,MU,16,Congomah,
258667,MU,12,Bambous,
258668,MU,19,Mapou,
258669,MU,15,Providence,
258670,MU,15,Quartier Militaire,
258671,MU,15,Saint Pierre,
258672,MU,15,Verdun,
258673,MU,19,Grand Baie,
258674,MU,12,Gros Cailloux,
258675,MU,15,Camp Thorel,
258676,MU,15,Espérance,
258677,MU,12,Petite Rivière,
258678,MU,14,New Grove,
258679,MU,16,Pamplemousses,
258680,MU,14,Plaine Magnien,
258681,MU,16,Crève Coeur,
258682,MU,17,Floréal,
258683,MU,14,Rose Belle,
258684,MU,23,Port Mathurin,
258685,MU,12,Tamarin,
258686,MU,17,La Marie,
258687,MU,12,Cascavelle,
258688,MU,13,Lalmatie,
258689,MU,14,Nouvelle France,
258690,MU,17,Midlands,
258691,MU,15,Montagne Blanche,
258692,MU,20,Surinam,
258693,MU,13,Poste De Flacq,
258694,MU,13,Camp De Masque,
258695,MU,16,Le Hochet,
258696,MU,17,La Caverne,
258697,MU,13,Centre De Flacq,
258698,MU,13,Bon Accueil,
258699,MU,19,Petit Raffray,
258700,MU,19,Belle Vue Maurel,
258701,MU,15,Espérance,
258702,MU,17,Plaisance,
258703,MU,13,Sebastopol,
258704,MU,14,Old Grand Port,
258705,MU,12,Grande Rivière Noire,
258706,MU,19,Rivière Du Rempart,
258707,MU,17,Barkly,
258708,MU,20,Chemin Grenier,
258709,MU,17,Palma,
258710,MU,17,Roches Brunes,
258711,MU,20,Souillac,
258712,MU,12,Flic En Flac,
258713,MU,19,Grand Gaube,
258714,MU,18,Cité La Cure,
258715,MU,17,Réunion,
258716,MU,14,Beau Vallon,
258717,MU,13,Saint Julien,
258718,MU,13,Ecroignard,
258719,MU,17,Saint Paul,
258720,MU,19,Cap Malheureux,
258721,MU,16,Choisy,
258722,MU,19,Espérance,
258723,MU,13,Bel Air,
258724,MU,14,Vieux Grand Port,
258725,MU,13,Brisée Verdière,
258726,MU,13,Clémencia,
258727,MU,16,Fond Du Sac,
258728,MU,17,Belle Étoile,
258729,MU,19,Roches Noires,
258730,MU,16,Mont Choisy,
258731,MU,20,Rivière Des Anguilles,
258732,MU,20,Grand Bois,
258733,MU,12,Petit Verger,
258734,MU,13,Union Flacq,
258735,MU,20,Camp Diable,
258736,MU,14,Saint Hubert,
258737,MU,13,Mare La Chaux,
258738,MU,23,Oyster Bay,
258739,MU,12,Chamarel,
258740,MU,19,Cottage,
