locId,country,region,city,postcode
258897,MX,,,
258898,MX,9,Mexico,
258899,MX,2,Tijuana,
258900,MX,2,Ensenada,
258901,MX,19,Monterrey,
258902,MX,27,Colonia,
258903,MX,15,Juarez,
258904,MX,27,Jalisco,
258905,MX,21,Tlanepantla,
258906,MX,22,Querétaro,
258907,MX,31,Mérida,
258908,MX,30,Veracruz,
258909,MX,7,Piedras Negras,
258910,MX,23,Cancún,
258911,MX,11,Victoria,
258912,MX,22,San Nicolás,
258913,MX,6,Chihuahua,
258914,MX,14,Guadalajara,
258915,MX,21,Las Lomas,
258916,MX,19,Garza García,
258917,MX,32,San Miguel,
258918,MX,14,Ocotlán,
258919,MX,6,Cuauhtémoc,
258920,MX,5,Baja California,
258921,MX,28,Nuevo Laredo,
258922,MX,28,Coahuila,
258923,MX,2,Distrito Federal,
258924,MX,29,Colonia Del Valle,
258925,MX,21,Tepetlacalco,
258926,MX,7,San Pedro,
258927,MX,14,Magdalena,
258928,MX,7,Saltillo,
258929,MX,21,Xochimilco,
258930,MX,9,Iztacalco,
258931,MX,32,Madero,
258932,MX,9,Iztapalapa,
258933,MX,9,Tlalpan,
258934,MX,9,Milpa Alta,
258935,MX,20,Oaxaca,
258936,MX,21,Puebla,
258937,MX,5,Baja,
258938,MX,10,Durango,
258939,MX,27,Sonora,
258940,MX,4,Campeche,
258941,MX,16,Hidalgo,
258942,MX,27,Michoacán,
258943,MX,28,Guerrero,
258944,MX,29,Tlaxcala,
258945,MX,24,San Luis Potosí,
258946,MX,8,Colima,
258947,MX,32,Morelos,
258948,MX,11,León,
258949,MX,26,Coyoacan,
258950,MX,19,Mina,
258951,MX,5,Chiapas,
258952,MX,7,Monclova,
258953,MX,14,Mascota,
258954,MX,1,Aguascalientes,
258955,MX,32,Zacatecas,
258956,MX,18,Nayarit,
258957,MX,27,Miguel,
258958,MX,5,Venustiano Carranza,
258959,MX,9,Azcapotzalco,
258960,MX,12,San Jerónimo,
258961,MX,32,Tabasco,
258962,MX,25,Tamaulipas,
258963,MX,28,Laredo,
258964,MX,15,Cuautitlán Izcalli,
258965,MX,15,Naucalpan,
258966,MX,15,Chapultepec,
258967,MX,27,Quintana Roo,
258968,MX,14,Zapopan,
258969,MX,15,Tlalnepantla,
258970,MX,32,Santa Fe,
258971,MX,21,Texmelucan,
258972,MX,25,Lomas,
258973,MX,11,Guanajuato,
258974,MX,27,Cuajimalpa,
258975,MX,30,Roma,
258976,MX,10,Jardines,
258977,MX,3,Valle,
258978,MX,16,Olivos,
258979,MX,30,Tuxtla,
258980,MX,20,Teotitlan,
258981,MX,5,Ocosingo,
258982,MX,7,Yucatán,
258983,MX,25,Sinaloa,
258984,MX,7,La Partida,
258985,MX,28,Manuel,
258986,MX,30,Pueblo,
258987,MX,19,Allende,
258988,MX,20,Xoxocotlan,
258989,MX,20,Tuxtepec,
258990,MX,16,Morelia,
258991,MX,26,Bácum,
258992,MX,30,Córdoba,
258993,MX,23,Cozumel,
258994,MX,28,Graciano Sánchez,
258995,MX,14,Tlaquepaque,
258996,MX,19,Anáhuac,
258997,MX,11,San Ángel,
258998,MX,15,Huixquilucan,
258999,MX,26,Hermosillo,
259000,MX,3,San José Del Cabo,
259001,MX,28,Reynosa,
259002,MX,26,Providencia,
259003,MX,24,Verdes,
259004,MX,12,Acapulco,
259005,MX,21,Cholula,
259006,MX,11,Salamanca,
259007,MX,15,Toluca,
259008,MX,5,Tuxtla Gutiérrez,
259009,MX,27,Villahermosa,
259010,MX,20,Jalapa,
259011,MX,30,Coatzacoalcos,
259012,MX,17,Cuernavaca,
259013,MX,7,Torreón,
259014,MX,28,Matamoros,
259015,MX,3,La Paz,
259016,MX,11,Celaya,
259017,MX,25,Mazatlán,
259018,MX,25,Culiacán,
259019,MX,2,Mexicali,
259020,MX,5,Motozintla,
259021,MX,17,Jiutepec,
259022,MX,28,Tampico,
259023,MX,25,Topolobampo,
259024,MX,14,Tuxpan,
259025,MX,21,Rafael Lara Grajales,
259026,MX,19,Guadalupe,
259027,MX,14,Puerto Vallarta,
259028,MX,19,Potosi,
259029,MX,18,Tepic,
259030,MX,27,Jalpa,
259031,MX,19,Santiago,
259032,MX,19,Apodaca,
259033,MX,14,Poncitlán,
259034,MX,13,Zimapán,
259035,MX,7,Ramos Arizpe,
259036,MX,14,Chapala,
259037,MX,14,Tepatitlan,
259038,MX,14,Atotonilco El Alto,
259039,MX,30,Orizaba,
259040,MX,13,Pachuca,
259041,MX,11,Irapuato,
259042,MX,15,Cuautitlán,
259043,MX,14,Jocotepec,
259044,MX,15,Huehuetoca,
259045,MX,16,Zamora,
259046,MX,14,Ameca,
259047,MX,15,Atizapán,
259048,MX,30,Boca Del Río,
259049,MX,21,Tehuacán,
259050,MX,15,Metepec,
259051,MX,15,Ecatepec,
259052,MX,26,Obregon,
259053,MX,15,Chalco,
259054,MX,19,Santa Catarina,
259055,MX,10,Lerdo,
259056,MX,11,Bernardo,
259057,MX,16,Uruapan,
259058,MX,32,Campos,
259059,MX,17,Puente De Ixtla,
259060,MX,15,Zumpango,
259061,MX,21,Teziutlán,
259062,MX,11,Granjas,
259063,MX,14,Tlajomulco,
259064,MX,30,Naranjos,
259065,MX,11,Salvatierra,
259066,MX,15,Tultitlán,
259067,MX,25,Jacobo,
259068,MX,14,Arandas,
259069,MX,5,Gutierrez,
259070,MX,17,Zacatepec,
259071,MX,28,Tula,
259072,MX,4,Carmen,
259073,MX,19,Montemorelos,
259074,MX,26,Santa Ana,
259075,MX,15,Nezahualcóyotl,
259076,MX,15,Texcoco,
259077,MX,20,Chapingo,
259078,MX,21,Alfonso,
259079,MX,23,Insurgentes,
259080,MX,26,Álamos,
259081,MX,4,Reforma,
259082,MX,15,Ocoyoacac,
259083,MX,17,Cuautla,
259084,MX,2,San Luis,
259085,MX,11,San Cristóbal,
259086,MX,5,Tapachula,
259087,MX,23,Chetumal,
259088,MX,25,Los Mochis,
259089,MX,26,Nogales,
259090,MX,7,Sabinas,
259091,MX,11,Moroleón,
259092,MX,13,Huichapan,
259093,MX,30,Poza Rica,
259094,MX,30,Catemaco,
259095,MX,14,Ciudad Guzmán,
259096,MX,17,Jojutla,
259097,MX,12,Zihuatanejo,
259098,MX,31,Valladolid,
259099,MX,16,Zitácuaro,
259100,MX,27,Santa Apolonia,
259101,MX,2,Tecate,
259102,MX,28,Mier,
259103,MX,25,Las Americas,
259104,MX,13,Tulancingo,
259105,MX,18,Puente,
259106,MX,21,Tepeaca,
