locId,country,region,city,postcode
262401,MY,,,
262402,MY,11,Kuching,
262403,MY,14,Kuala Lumpur,
262404,MY,12,Shah Alam,
262405,MY,9,Penang,
262406,MY,14,Petaling Jaya,
262407,MY,13,Kuala Terengganu,
262408,MY,12,Selangor,
262409,MY,5,Petaling,
262410,MY,4,Malaka,
262411,MY,12,Sungai Buloh,
262412,MY,12,Puchong,
262413,MY,14,Damansara,
262414,MY,6,Pahang,
262415,MY,1,Ulu Tiram,
262416,MY,3,Kota Bahru,
262417,MY,11,Sibu,
262418,MY,7,Ipoh,
262419,MY,1,Senai,
262420,MY,1,Johor,
262421,MY,2,Sungai Petani,
262422,MY,7,Sabah,
262423,MY,5,Sungai Besi,
262424,MY,7,Pulau,
262425,MY,11,Pangkalan,
262426,MY,5,Seremban,
262427,MY,9,George Town,
262428,MY,4,Melaka,
262429,MY,6,Ampang,
262430,MY,11,Miri,
262431,MY,13,Dungun,
262432,MY,16,Kota Kinabalu,
262433,MY,9,Pinang,
262434,MY,11,Tanjong,
262435,MY,11,Pandan,
262436,MY,12,Meru,
262437,MY,7,Pulai,
262438,MY,12,Klang,
262439,MY,11,Genting,
262440,MY,9,Nibung Tebal,
262441,MY,5,Bangi,
262442,MY,1,Johor Bahru,
262443,MY,15,Labuan,
262444,MY,7,Kota Bharu,
262445,MY,4,Selandar,
262446,MY,5,Kajang,
262447,MY,5,Nilai,
262448,MY,7,Serdang,
262449,MY,9,Nibong Tebal,
262450,MY,7,Tasek,
262451,MY,1,Mersing,
262452,MY,7,Parit,
262453,MY,3,Pasir Putih,
262454,MY,16,Batu,
262455,MY,6,Pulau Pinang,
262456,MY,16,Kuala,
262457,MY,9,Penanti,
262458,MY,2,Kulim,
262459,MY,7,Kuala Kangsar,
262460,MY,13,Kemaman,
262461,MY,2,Langkawi,
262462,MY,2,Alor Star,
262463,MY,8,Kangar,
262464,MY,1,Tanjung Pelepas,
262465,MY,5,Pedas,
262466,MY,5,Kota,
262467,MY,2,Jitra,
262468,MY,8,Perlis,
262469,MY,13,Kertih,
262470,MY,14,Kepong,
262471,MY,5,Port Dickson,
262472,MY,1,Johore,
262473,MY,16,Tiong,
262474,MY,9,Penaga,
262475,MY,5,Pantai,
262476,MY,12,Bandar,
262477,MY,16,Brunei,
262478,MY,6,Tanjung,
262479,MY,2,Alor Setar,
262480,MY,6,Kuantan,
262481,MY,1,Pasir Gudang,
262482,MY,1,Kluang,
262483,MY,1,Batu Pahat,
262484,MY,16,Tawau,
262485,MY,7,Taiping,
262486,MY,7,Lumut,
262487,MY,5,Senawang,
262488,MY,1,Muar,
262489,MY,16,Tanjong Aru,
262490,MY,16,Kinabalu,
262491,MY,7,Teluk Intan,
262492,MY,16,Laut,
262493,MY,12,Langat,
262494,MY,7,Sungai Siput,
262495,MY,5,Jempol,
262496,MY,11,Melayu,
262497,MY,16,Penampang,
262498,MY,7,Pasir Salak,
262499,MY,7,Parit Buntar,
262500,MY,1,Johor Baharu,
262501,MY,6,Karak,
262502,MY,5,Sepang,
262503,MY,16,Lahad Datu,
262504,MY,16,Sandakan,
262505,MY,16,Kudat,
262506,MY,8,Permatang Pauh,
262507,MY,13,Kerteh,
262508,MY,16,Lion,
262509,MY,11,Bintulu,
262510,MY,2,Kuala Ketil,
262511,MY,12,Rawang,
262512,MY,1,Skudai,
262513,MY,6,Bintang,
262514,MY,1,Segamat,
262515,MY,1,Bukit Gambir,
262516,MY,9,Kepala Batas,
262517,MY,9,Bukit Tengah,
262518,MY,6,Gebeng,
262519,MY,2,Sintok,
262520,MY,7,Tronoh,
262521,MY,5,Semenyih,
262522,MY,12,Kelang,
262523,MY,9,Perai,
262524,MY,11,Baru,
262525,MY,6,Kuala Kubu,
262526,MY,5,Cheras,
262527,MY,14,Setapak,
262528,MY,2,Kuah,
262529,MY,7,Tinggi,
262530,MY,9,Butterworth,
262531,MY,7,Sabak,
262532,MY,5,Seri Kembangan,
262533,MY,12,Batang Berjuntai,
262534,MY,12,Pengkalan Kundang,
262535,MY,1,Kelapa Sawit,
262536,MY,4,Masjid Tanah,
262537,MY,1,Simpang Rengam,
262538,MY,5,Beranang,
262539,MY,7,Simpang Empat,
262540,MY,9,Kampung Si Nibong,
262541,MY,5,Kampong Sungai Merab,
262542,MY,12,Kuala Selangor,
262543,MY,6,Serendah,
262544,MY,12,Batu Arang,
262545,MY,5,Kampong Baharu Balakong,
262546,MY,12,Kuang,
262547,MY,16,Keningau,
262548,MY,1,Kulai,
262549,MY,1,Sekudai,
262550,MY,9,Bukit Mertajam,
262551,MY,7,Batu Gajah,
262552,MY,9,Ayer Itam,
262553,MY,9,Juru,
262554,MY,6,Jerantut,
262555,MY,13,Kampong Rantau Abang,
262556,MY,13,Paka,
262557,MY,7,Tapah,
262558,MY,13,Cukai,
262559,MY,7,Kampar,
262560,MY,9,Permatang Kuching,
262561,MY,9,Tanjong Tokong,
262562,MY,4,Kuala Sungai Baru,
262563,MY,1,Bandar Penggaram,
262564,MY,1,Tangkak,
262565,MY,12,Tanjong Karang,
262566,MY,6,Temerloh,
262567,MY,4,Sungai Udang,
262568,MY,1,Parit Raja,
262569,MY,3,Pasir Mas,
262570,MY,13,Jertih,
262571,MY,2,Gurun,
262572,MY,12,Banting,
262573,MY,12,Kampong Parit Fourteen,
262574,MY,4,Bemban,
262575,MY,7,Kampung Batu Lapan Lekir,
262576,MY,1,Bandar Maharani,
262577,MY,2,Kuala Kedah,
262578,MY,7,Chemor,
262579,MY,1,Pekan Nenas,
262580,MY,4,Pulau Sebang,
262581,MY,16,Papar,
262582,MY,16,Tuaran,
262583,MY,5,Kuala Pilah,
262584,MY,4,Alor Gajah,
262585,MY,6,Yong Peng,
262586,MY,6,Mentakab,
262587,MY,6,Pekan,
262588,MY,4,Ayer Keroh,
262589,MY,1,Bukit Bakri,
262590,MY,4,Ayer Molek,
