locId,country,region,city,postcode
263373,MZ,,,
263374,MZ,4,Maputo,
263375,MZ,6,Moçambique,
263376,MZ,8,Songo,
263377,MZ,8,Tete,
263378,MZ,9,Mocuba,
263379,MZ,5,Marromeu,
263380,MZ,9,Quelimane,
263381,MZ,10,Chimoio,
263382,MZ,6,Nacala,
263383,MZ,6,Nampula,
263384,MZ,5,Beira,
263385,MZ,4,Matola,
263386,MZ,5,Dondo,
263387,MZ,2,Xai-xai,
263388,MZ,10,Manica,
263389,MZ,3,Vilanculos,
263390,MZ,1,Pemba,
263391,MZ,3,Inhambane,
263392,MZ,7,Lichinga,
263393,MZ,3,Massinga,
263394,MZ,2,Chokwé,
263395,MZ,7,Niassa,
263396,MZ,3,Cala,
263397,MZ,3,Vilankulo,
263398,MZ,4,Massinga,
263399,MZ,7,Manhica,
263400,MZ,6,Castelo,
263401,MZ,3,Maxixe,
263402,MZ,4,Beluluane,
263403,MZ,10,Gondola,
263404,MZ,3,Inhassoro,
263405,MZ,3,Nova,
263406,MZ,9,Morrumbala,
263407,MZ,5,Gorongosa,
263408,MZ,5,Nhamizua,
263409,MZ,4,Namaacha,
263410,MZ,4,Vila Da Manhiça,
263411,MZ,2,Chibuto,
263412,MZ,4,Matola-rio,
