locId,country,region,city,postcode
263413,NA,,,
263414,NA,21,Windhoek,
263415,NA,29,Swakopmund,
263416,NA,29,Walvisbaai,
263417,NA,29,Walvis Bay,
263418,NA,37,Ondangwa,
263419,NA,31,Aroab,
263420,NA,37,Oshakati,
263421,NA,30,Rehoboth,
263422,NA,37,Ongwediva,
263423,NA,31,Grünau,
263424,NA,28,Kazi,
263425,NA,38,Tsumeb,
263426,NA,40,Samara,
263427,NA,29,Omaruru,
263428,NA,39,Otjiwarongo,
263429,NA,39,Okahandja,
263430,NA,32,Khorixas,
263431,NA,31,Lüderitz,
263432,NA,29,Karibib,
263433,NA,29,Henties Bay,
263434,NA,39,Grootfontein,
263435,NA,32,Outjo,
263436,NA,39,Okakarara,
263437,NA,34,Rundu,
263438,NA,31,Oranjemund,
263439,NA,30,Mariental,
263440,NA,35,Gobabis,
263441,NA,33,Oshikango,
263442,NA,31,Bethanien,
263443,NA,31,Keetmanshoop,
263444,NA,28,Katima Mulilo,
263445,NA,29,Arandis,
263446,NA,33,Eenhana,
263447,NA,39,Otavi,
263448,NA,40,Klein Windhoek,
263449,NA,32,Opuwo,
263450,NA,30,Stampriet,
263451,NA,29,Usakos,
263452,NA,40,Olympia,
263453,NA,33,Ohangwena,
263454,NA,30,Aub,
263455,NA,29,Rand Rifles,
263456,NA,37,Akweenyanga,
263457,NA,37,Omaalala,
263458,NA,40,Dordabis,
263459,NA,39,Dusternbrook,
263460,NA,33,Efululula,
263461,NA,33,Onamahoka,
263462,NA,39,Kombat,
263463,NA,35,Leonardville,
263464,NA,31,Noordoewer,
263465,NA,30,Aranos,
263466,NA,30,Kalkrand,
263467,NA,31,Karasburg,
263468,NA,31,Sendelingsdrif,
263469,NA,29,Vineta,
263470,NA,36,Oshikuku,
263471,NA,36,Onangombe,
263472,NA,32,Ruacana,
263473,NA,38,Omuthiya,
263474,NA,30,Gibeon,
