locId,country,region,city,postcode
263528,NG,,,
263529,NG,5,Lagos,
263530,NG,11,Abuja,
263531,NG,32,Saka,
263532,NG,26,Makurdi,
263533,NG,53,Ghana,
263534,NG,32,Ondo,
263535,NG,32,Kogi,
263536,NG,28,Owerri,
263537,NG,50,Port Harcourt,
263538,NG,23,Kaduna,
263539,NG,51,Tara,
263540,NG,5,Ikeja,
263541,NG,32,Ikoyi,
263542,NG,32,Adeogun,
263543,NG,10,Odua,
263544,NG,32,Base,
263545,NG,32,Ibadan,
263546,NG,47,Enugu,
263547,NG,30,Ilorin,
263548,NG,29,Kano,
263549,NG,18,Ogbomosho,
263550,NG,37,Bénin,
263551,NG,16,Abeokuta,
263552,NG,42,Oshogbo,
263553,NG,17,Iseoluwa,
263554,NG,32,Apapa,
263555,NG,47,Agbani,
263556,NG,48,Akure,
263557,NG,36,Asaba,
263558,NG,25,Awka,
263559,NG,46,Bauchi,
263560,NG,50,Bonny,
263561,NG,22,Calabar,
263562,NG,10,Effurun,
263563,NG,10,Eket,
263564,NG,32,Gbagi,
263565,NG,55,Gombe,
263566,NG,57,Gusau,
263567,NG,53,Ikom,
263568,NG,21,Ikot Abasi,
263569,NG,24,Katsina,
263570,NG,41,Lokoja,
263571,NG,27,Maiduguri,
263572,NG,31,Minna,
263573,NG,35,Mubi,
263574,NG,25,Nnewi,
263575,NG,36,Onitsha,
263576,NG,10,Amadi,
263577,NG,37,Sapele,
263578,NG,51,Sokoto,
263579,NG,37,Ugbowo,
263580,NG,45,Umuahia,
263581,NG,10,Warri,
263582,NG,35,Yola,
263583,NG,23,Zaria,
263584,NG,5,Lekki,
263585,NG,10,London,
263586,NG,10,Ikot Ekpene,
263587,NG,32,Offa,
263588,NG,5,Tinubu,
263589,NG,5,Ikorodu,
263590,NG,32,Babatunde,
263591,NG,32,Eruwa,
263592,NG,16,Ogere,
263593,NG,56,Anambra,
263594,NG,16,Ikenne,
263595,NG,32,Isoko,
263596,NG,5,Agun,
263597,NG,42,Osogbo,
263598,NG,11,Baba,
263599,NG,53,Abia,
263600,NG,56,Keffi,
263601,NG,37,Ikpoba,
263602,NG,39,Kwara,
263603,NG,5,Okokomaiko,
263604,NG,53,Abakaliki,
263605,NG,32,Idiroko,
263606,NG,10,Agbor,
263607,NG,25,Akwa,
263608,NG,32,Idi Iroko,
263609,NG,18,Fate,
