locId,country,region,city,postcode
264106,NI,,,
264107,NI,10,Managua,
264108,NI,15,Portugal,
264109,NI,1,San Lorenzo,
264110,NI,11,Ticuantepe,
264111,NI,8,El Sauce,
264112,NI,8,León,
264113,NI,15,Rivas,
264114,NI,8,Larreynaga,
264115,NI,11,La Concepción,
264116,NI,11,Masaya,
264117,NI,3,Chichigalpa,
264118,NI,11,Nindirí,
264119,NI,2,Jinotepe,
264120,NI,12,Sébaco,
264121,NI,10,Mateare,
264122,NI,3,Chinandega,
264123,NI,12,Ciudad Darío,
264124,NI,11,Niquinohomo,
264125,NI,8,La Paz Centro,
264126,NI,2,San Marcos,
264127,NI,5,Estelí,
264128,NI,12,Matagalpa,
264129,NI,1,Boaco,
264130,NI,10,La Trinidad,
264131,NI,6,Granada,
264132,NI,9,Somoto,
264133,NI,11,Masatepe,
264134,NI,13,Ocotal,
264135,NI,6,Nandaime,
264136,NI,11,Nandasmo,
264137,NI,10,Tipitapa,
264138,NI,2,Diriamba,
264139,NI,2,Dolores,
264140,NI,7,Jinotega,
264141,NI,8,Nagarote,
264142,NI,9,Totogalpa,
264143,NI,13,Jalapa,
264144,NI,15,San Juan Del Sur,
264145,NI,7,Sacalis,
264146,NI,5,Condega,
264147,NI,4,Juigalpa,
264148,NI,10,Ciudad Sandino,
264149,NI,18,Bluefields,
264150,NI,15,El Jícaro,
264151,NI,15,San José Del Sur,
264152,NI,11,San José,
264153,NI,3,El Realejo,
264154,NI,2,El Rosario,
264155,NI,11,El Crucero,
264156,NI,7,Yalí,
264157,NI,3,Corinto,
264158,NI,4,San Pedro De Lóvago,
264159,NI,17,Puerto Cabezas,
264160,NI,1,Camoapa,
264161,NI,8,El Rosario,
264162,NI,7,San Rafael Del Norte,
264163,NI,18,Nueva Guinea,
264164,NI,10,San Rafael Del Sur,
264165,NI,13,Mozonte,
264166,NI,11,Catarina,
264167,NI,13,Quilalí,
264168,NI,3,El Viejo,
264169,NI,12,Río Blanco,
264170,NI,18,Ciudad Rama,
264171,NI,1,Santa Lucía,
264172,NI,4,Acoyapa,
264173,NI,14,San Carlos,
264174,NI,15,Mancarrón,
264175,NI,18,Muelle De Los Bueyes,
264176,NI,8,Cuajiniquil,
264177,NI,8,Santa Marta,
264178,NI,12,Apalilí,
264179,NI,12,San Nicolás,
264180,NI,10,San Roque,
264181,NI,4,Villa Sandino,
264182,NI,12,Caserío Las Nubes,
264183,NI,7,Licoroy,
264184,NI,1,San Isidro,
264185,NI,10,Las Colinas,
264186,NI,6,El Edén,
264187,NI,6,Mecatepillo,
264188,NI,1,La Concha,
264189,NI,12,La Estrella,
264190,NI,10,América,
264191,NI,11,San Juan,
264192,NI,8,El Polvón,
264193,NI,14,Morrillo,
264194,NI,10,Oscotal,
264195,NI,10,Tamarindo,
264196,NI,8,El Trapichito,
264197,NI,12,Calpules,
264198,NI,15,Cebadilla,
264199,NI,17,Rosita,
264200,NI,4,Quimichapa,
264201,NI,10,California,
264202,NI,7,San Sebastián De Yalí,
264203,NI,6,La Palanca,
264204,NI,8,Jicaro,
264205,NI,12,Cunagua,
264206,NI,17,Siuna,
264207,NI,10,La Providencia,
264208,NI,6,Diriá,
264209,NI,3,Somotillo,
264210,NI,3,Lajas,
264211,NI,1,San Diego,
264212,NI,1,La Ceiba,
264213,NI,17,Bonanza,
264214,NI,10,Panamá,
264215,NI,8,Santiago,
264216,NI,18,El Bluff,
264217,NI,18,Rama,
264218,NI,8,Las Peñitas,
264219,NI,18,El Paraíso,
264220,NI,12,Dario,
264221,NI,8,San Clemente,
264222,NI,8,La Paz,
264223,NI,12,Matiguás,
264224,NI,4,Santo Tomás,
264225,NI,11,San Juan De La Concepción,
264226,NI,5,La Sirena,
264227,NI,8,El Tránsito,
264228,NI,10,San Antonio,
