locId,country,region,city,postcode
264229,NL,,,
264230,NL,15,Deventer,
264231,NL,7,Amsterdam,
264232,NL,7,Schiphol,
264233,NL,6,Bergen Op Zoom,
264234,NL,9,Maarssen,
264235,NL,11,Capelle,
264236,NL,4,Haren,
264237,NL,11,Rotterdam,
264238,NL,9,Utrecht,
264239,NL,11,Leiden,
264240,NL,6,Helmond,
264241,NL,6,Willemstad,
264242,NL,7,Nieuw-vennep,
264243,NL,11,Delfgauw,
264244,NL,7,Hoofddorp,
264245,NL,9,Amersfoort,
264246,NL,7,Weesp,
264247,NL,11,La Haye,
264248,NL,11,Vlaardingen,
264249,NL,7,Zaandam,
264250,NL,6,Tilburg,
264251,NL,15,Zwolle,
264252,NL,15,Holten,
264253,NL,11,Zoetermeer,
264254,NL,15,De Meer,
264255,NL,6,Bladel,
264256,NL,7,Amstelveen,
264257,NL,11,Den Haag,
264258,NL,3,Apeldoorn,
264259,NL,6,Valkenswaard,
264260,NL,5,Maastricht,
264261,NL,11,Wassenaar,
264262,NL,3,Barneveld,
264263,NL,11,Maassluis,
264264,NL,7,Haarlem,
264265,NL,11,Hardinxveld,
264266,NL,7,Naarden,
264267,NL,7,Egmond Aan Zee,
264268,NL,7,Heemstede,
264269,NL,16,Emmeloord,
264270,NL,5,Beek,
264271,NL,7,Grootebroek,
264272,NL,15,Enschede,
264273,NL,7,Bussum,
264274,NL,1,Assen,
264275,NL,6,Boxmeer,
264276,NL,7,Den Helder,
264277,NL,16,Almere,
264278,NL,7,Ijmuiden,
264279,NL,9,Odijk,
264280,NL,11,Giessendam,
264281,NL,7,Vijfhuizen,
264282,NL,6,Genderen,
264283,NL,3,Putten,
264284,NL,6,Den Bosch,
264285,NL,6,Zundert,
264286,NL,11,Braband,
264287,NL,4,Groningen,
264288,NL,9,Driebergen,
264289,NL,2,Franeker,
264290,NL,6,Riethoven,
264291,NL,2,Sneek,
264292,NL,6,Ekkersrijt,
264293,NL,7,Wormer,
264294,NL,9,Zeist,
264295,NL,9,Leusden,
264296,NL,11,Groep,
264297,NL,11,Spijkenisse,
264298,NL,11,Alphen,
