locId,country,region,city,postcode
268915,NO,,,
268916,NO,20,Horten,
268917,NO,1,Lysaker,
268918,NO,12,Oslo,
268919,NO,1,Lillestrøm,
268920,NO,7,Bergen,
268921,NO,1,Asker,
268922,NO,1,Drøbak,
268923,NO,13,Moss,
268924,NO,17,Rjukan,
268925,NO,20,Tjøme,
268926,NO,13,Fredrikstad,
268927,NO,13,Gressvik,
268928,NO,13,Halden,
268929,NO,14,Stavanger,
268930,NO,16,Trondheim,
268931,NO,19,Mandal,
268932,NO,18,Tromsø,
268933,NO,16,Skaun,
268934,NO,1,Stabekk,
268935,NO,18,Sandvika,
268936,NO,15,Florø,
268937,NO,1,Skedsmokorset,
268938,NO,10,Steinkjer,
268939,NO,16,Orkanger,
268940,NO,7,Odda,
268941,NO,16,Tiller,
268942,NO,10,Namsos,
268943,NO,10,Levanger,
268944,NO,16,Melhus,
268945,NO,19,Kristiansand,
268946,NO,9,Fjelldal,
268947,NO,9,Bodø,
268948,NO,14,Håland,
268949,NO,2,Grimstad,
268950,NO,7,Lier,
268951,NO,7,Heldal,
268952,NO,2,Arendal,
268953,NO,1,Fornebu,
268954,NO,14,Hommersåk,
268955,NO,19,Kvinesdal,
268956,NO,8,Molde,
268957,NO,6,Kongsvinger,
268958,NO,6,Hamar,
268959,NO,13,Borregaard,
268960,NO,1,Kolbotn,
268961,NO,20,Sandefjord,
268962,NO,8,Ørsta,
268963,NO,11,Haug,
268964,NO,1,Årnes,
268965,NO,1,Skytta,
268966,NO,20,Tønsberg,
268967,NO,4,Nersnes,
268968,NO,4,Kongsberg,
268969,NO,1,Strømmen,
268970,NO,9,Skog,
268971,NO,4,Drammen,
268972,NO,9,Sandnes,
268973,NO,11,Gjøvik,
268974,NO,1,Hemnes,
268975,NO,17,Porsgrunn,
268976,NO,17,Notodden,
268977,NO,14,Forus,
268978,NO,9,Melbu,
268979,NO,7,Mongstad,
268980,NO,1,Hvalstad,
268981,NO,1,Skaarer,
268982,NO,9,Nordnes,
268983,NO,20,Larvik,
268984,NO,5,Hammerfest,
268985,NO,5,Alta,
268986,NO,1,Langhus,
268987,NO,8,Ikornnes,
268988,NO,7,Isdalstø,
268989,NO,8,Ålesund,
268990,NO,8,Stranda,
268991,NO,8,Hjellnes,
268992,NO,8,Kristiansund,
268993,NO,7,Tyssedal,
268994,NO,8,Aalesund,
268995,NO,9,Narvik,
268996,NO,14,Tysvær,
268997,NO,17,Drangedal,
268998,NO,16,Klepp,
268999,NO,14,Tananger,
269000,NO,11,Fagernes,
269001,NO,14,Egersund,
269002,NO,7,Førde,
269003,NO,14,Sola,
269004,NO,14,Haugesund,
269005,NO,14,Sauda,
269006,NO,15,Selje,
269007,NO,7,Sagvåg,
269008,NO,9,Brønnøysund,
269009,NO,11,Bakken,
269010,NO,8,Løvik,
269011,NO,17,Bamble,
269012,NO,1,Høvik,
269013,NO,4,Hokksund,
269014,NO,14,Figgjo,
269015,NO,9,Fauske,
269016,NO,7,Fitjar,
269017,NO,4,Mjøndalen,
269018,NO,1,Skårer,
269019,NO,11,Gran,
269020,NO,11,Leira,
269021,NO,11,Lena,
269022,NO,4,Tofte,
269023,NO,4,Hønefoss,
269024,NO,15,Hermansverk,
269025,NO,1,Heggedal,
269026,NO,13,Sarpsborg,
269027,NO,5,Kirkenes,
269028,NO,17,Grini,
269029,NO,18,Finnsnes,
269030,NO,9,Sandnessjøen,
269031,NO,11,Lillehammer,
269032,NO,1,Gardermoen,
269033,NO,17,Bø I Telemark,
269034,NO,18,Harstad,
269035,NO,5,Vadsø,
269036,NO,8,Tingvoll,
269037,NO,5,Kautokeino,
269038,NO,20,Stavern,
269039,NO,13,Mørkved,
269040,NO,9,Sortland,
269041,NO,8,Åndalsnes,
269042,NO,14,Fosen,
269043,NO,9,Sandåker,
269044,NO,1,Nesbru,
269045,NO,7,Nygaard,
269046,NO,1,Oppegaard,
269047,NO,8,Farstad,
269048,NO,7,Laksevåg,
269049,NO,17,Rollag,
269050,NO,11,Holmen,
269051,NO,18,Tromsdalen,
269052,NO,9,Åker,
269053,NO,15,Lefdal,
269054,NO,13,Bergstrøm,
269055,NO,19,Lyngdal,
269056,NO,7,Gjerde,
269057,NO,12,Økern,
269058,NO,2,Lillesand,
269059,NO,13,Rygge,
269060,NO,7,Straumsgrend,
269061,NO,16,Ström,
269062,NO,12,Nydalen,
269063,NO,20,Sande,
269064,NO,4,Nærsnes,
269065,NO,4,Vikersund,
269066,NO,4,Prestfoss,
269067,NO,14,Gard,
269068,NO,7,Nesttun,
269069,NO,6,Nören,
269070,NO,7,Haukeland,
269071,NO,7,Ervik,
269072,NO,7,Minde,
269073,NO,20,Stokke,
269074,NO,17,Stathelle,
269075,NO,10,Meråker,
269076,NO,16,Brekstad,
269077,NO,7,Lerøy,
269078,NO,1,Hakadal,
269079,NO,8,Brattvåg,
269080,NO,10,Lyng,
269081,NO,6,Grønland,
269082,NO,19,Hunsfos,
269083,NO,17,Skien,
269084,NO,14,Obrestad,
269085,NO,8,Bjerke,
269086,NO,13,Askim,
269087,NO,7,Bønes,
269088,NO,15,Gulen,
269089,NO,15,Hærland,
269090,NO,18,Dåfjord,
269091,NO,18,Holm,
269092,NO,20,Halle,
269093,NO,4,Nesbyen,
269094,NO,7,Askøy,
269095,NO,10,Namsskogan,
269096,NO,8,Ulsteinvik,
269097,NO,11,Eina,
269098,NO,11,Bryn,
269099,NO,6,Skarnes,
269100,NO,18,Skibotn,
269101,NO,6,Våler,
269102,NO,9,Nyborg,
269103,NO,5,Loppa,
269104,NO,9,Mo I Rana,
269105,NO,6,Moelv,
269106,NO,15,Laerdal,
269107,NO,16,Hågån,
269108,NO,15,Stryn,
269109,NO,9,Berg,
269110,NO,7,Dale,
269111,NO,16,Gaustad,
269112,NO,17,Meldal,
269113,NO,2,Fevik,
269114,NO,2,Tvedestrand,
269115,NO,2,Brattekleiv,
269116,NO,7,Ølen,
269117,NO,4,Geilo,
269118,NO,8,Sollia,
269119,NO,18,Solbakken,
269120,NO,11,Kleven,
269121,NO,6,Gaupen,
269122,NO,1,Kjeller,
269123,NO,2,Eikeland,
269124,NO,10,Oppland,
269125,NO,9,Nordland,
269126,NO,19,Åseral,
269127,NO,8,Skipnes,
269128,NO,7,Haga,
269129,NO,7,Knarrevik,
269130,NO,14,Leidland,
269131,NO,8,Fosnavåg,
269132,NO,2,Hövaag,
269133,NO,1,Ryen,
269134,NO,6,Elverum,
269135,NO,17,Langesund,
269136,NO,1,Jessheim,
269137,NO,14,Randaberg,
269138,NO,17,Siljan,
269139,NO,7,Skeie,
269140,NO,17,Våle,
269141,NO,1,Aurskog,
269142,NO,11,Sogn,
269143,NO,20,Tanum,
269144,NO,9,Råna,
269145,NO,4,Land,
269146,NO,7,Ulvik,
269147,NO,11,Jevnaker,
269148,NO,7,Vika,
269149,NO,19,Vigeland,
269150,NO,9,Strand,
269151,NO,7,Blom,
269152,NO,6,Brumunddal,
269153,NO,6,Sand,
269154,NO,10,Kolvereid,
269155,NO,17,Haugen,
269156,NO,9,Nesna,
269157,NO,7,Leirvik,
269158,NO,12,Kristiania,
269159,NO,20,Holmestrand,
269160,NO,18,Kroken,
269161,NO,6,Rena,
269162,NO,9,Myre,
269163,NO,8,Skodje,
269164,NO,16,Oppdal,
269165,NO,9,Liland,
269166,NO,20,From,
269167,NO,1,Vestby,
269168,NO,19,Herad,
269169,NO,4,Nedre Eiker,
269170,NO,16,Malvik,
269171,NO,1,Frogner,
269172,NO,4,Aamot,
269173,NO,17,Åmot,
269174,NO,4,Hemsedal,
269175,NO,1,Lund,
269176,NO,7,Erstad,
269177,NO,16,Fossum,
269178,NO,8,Ödegaard,
269179,NO,8,Volda,
269180,NO,5,Storelva,
269181,NO,16,Hitra,
269182,NO,10,Stiklestad,
269183,NO,7,Vinje,
269184,NO,8,Eidsvåg,
269185,NO,19,Vennesla,
269186,NO,15,Lardal,
269187,NO,9,Bjørn,
269188,NO,17,Berge,
269189,NO,6,Ringsaker,
269190,NO,18,Fredheim,
269191,NO,9,Mølle,
269192,NO,13,Spydeberg,
269193,NO,16,Rennebu,
269194,NO,6,Sønsterud,
269195,NO,8,Holberg,
269196,NO,18,Vang,
269197,NO,7,Klyve,
269198,NO,7,Seim,
269199,NO,1,Oppegård,
269200,NO,15,Kvammen,
269201,NO,9,Lødingen,
269202,NO,16,Malnes,
269203,NO,14,Bryne,
269204,NO,14,Reime,
269205,NO,14,Time,
269206,NO,11,Jaren,
269207,NO,7,Solvang,
269208,NO,16,Berget,
269209,NO,19,Kjevik,
269210,NO,17,Kragerø,
269211,NO,19,Sirdal,
269212,NO,16,Løkken Verk,
269213,NO,7,Garden,
269214,NO,14,Kopervik,
269215,NO,18,Kåfjord,
269216,NO,1,Solberg,
269217,NO,10,Aarstad,
269218,NO,6,Skotterud,
269219,NO,6,Ringnes,
269220,NO,16,Kjerringvaag,
269221,NO,16,Heimdal,
269222,NO,20,Holtung,
269223,NO,8,Frei,
269224,NO,18,Viken,
269225,NO,9,Straume,
269226,NO,4,Veggli,
269227,NO,7,Kolbeinsvik,
269228,NO,7,Leknes,
269229,NO,19,Høye,
269230,NO,1,Sandvik,
269231,NO,7,Søvik,
269232,NO,15,Ringstad,
269233,NO,10,Rørvik,
269234,NO,15,Fonn,
269235,NO,5,Nesseby,
269236,NO,9,Lekang,
269237,NO,1,Nesoddtangen,
269238,NO,17,Eidanger,
269239,NO,9,Svolvær,
269240,NO,14,Apeland,
269241,NO,5,Klubben,
269242,NO,7,Vaage,
269243,NO,14,Vaaland,
269244,NO,16,Monstad,
269245,NO,1,Klofta,
269246,NO,13,Dilling,
269247,NO,11,Lunde,
269248,NO,7,Masfjorden,
269249,NO,20,Galleberg,
269250,NO,5,Båtsfjord,
269251,NO,15,Øvre Årdal,
269252,NO,9,Andenes,
269253,NO,11,Dokka,
269254,NO,6,Skaaret,
269255,NO,6,Tynset,
269256,NO,7,Bjørge,
269257,NO,17,Fyresdal,
269258,NO,9,Furnes,
269259,NO,19,Nodeland,
269260,NO,13,Sellebakk,
269261,NO,8,Sunndalsøra,
269262,NO,7,Innbjoa,
269263,NO,9,Moskenes,
269264,NO,18,Tomasjord,
269265,NO,12,Christiania,
269266,NO,2,Risør,
269267,NO,14,Bjerkreim,
269268,NO,16,Hagen,
269269,NO,5,Mefjorden,
269270,NO,6,Siggerud,
269271,NO,16,Øvre,
269272,NO,5,Lakselv,
269273,NO,6,Stange,
269274,NO,9,Dyrøy,
269275,NO,14,Hanasand,
269276,NO,15,Balestrand,
269277,NO,18,Skogen,
269278,NO,11,Randsfjord,
269279,NO,11,Vinstra,
269280,NO,10,Berre,
269281,NO,10,Östnes,
269282,NO,11,Hunndalen,
269283,NO,19,Øvrebø,
269284,NO,14,Eike,
269285,NO,14,Hagland,
269286,NO,6,Løten,
269287,NO,13,Borge,
269288,NO,8,Solem,
269289,NO,14,Bilstad,
269290,NO,16,Lines,
269291,NO,1,Aarnes,
269292,NO,16,Hommelvik,
269293,NO,16,Fremstad,
269294,NO,16,Moholt,
269295,NO,17,Setre,
269296,NO,10,Henning,
269297,NO,19,Strømme,
269298,NO,9,Sommernes,
269299,NO,13,Lervik,
269300,NO,10,Velde,
269301,NO,18,Bankenes,
269302,NO,16,Bjerkan,
269303,NO,4,Slemmestad,
269304,NO,14,Lyse,
269305,NO,4,Buskerud,
269306,NO,6,Jordet,
269307,NO,6,Skramstad,
269308,NO,11,Haugan,
269309,NO,7,Aase,
269310,NO,8,Haram,
269311,NO,9,Terråk,
269312,NO,7,Haukås,
269313,NO,4,Røyken,
269314,NO,18,Nordstrand,
269315,NO,18,Gamvik,
269316,NO,13,Mysen,
269317,NO,11,Knutstad,
269318,NO,18,Grønli,
269319,NO,7,Meland,
269320,NO,19,Aukland,
269321,NO,12,Lambertseter,
269322,NO,16,Holden,
269323,NO,17,Moland,
269324,NO,1,Feiring,
269325,NO,7,Skår,
269326,NO,7,Nordbø,
269327,NO,9,Hunstad,
269328,NO,1,Hammerstad,
269329,NO,16,Dyrvik,
269330,NO,15,Myklebust,
269331,NO,8,Valderhaug,
269332,NO,7,Tveito,
269333,NO,7,Kleppe,
269334,NO,17,Sannidal,
269335,NO,7,Nygård,
269336,NO,9,Engen,
269337,NO,1,Vaaler,
269338,NO,7,Økland,
269339,NO,8,Ødegård,
269340,NO,2,Birkeland,
269341,NO,7,Nøttveit,
269342,NO,18,Solli,
269343,NO,9,Hald,
269344,NO,7,Eidsvik,
269345,NO,18,Öystein,
269346,NO,15,Onstad,
269347,NO,15,Aardal,
