locId,country,region,city,postcode
272183,NP,,,
272184,NP,0,Kathmandu,
272185,NP,0,Bhaktapur,
272186,NP,0,Jawalakhel,
272187,NP,0,Pokhara,
272188,NP,0,Biratnagar,
272189,NP,0,Bhairawa,
272190,NP,0,Palpa,
272191,NP,0,Birgunj,
272192,NP,0,Janakpur,
272193,NP,0,Bhadrapur,
272194,NP,0,Lalitpur,
272195,NP,0,Kandrang Garhi,
272196,NP,0,Butwal,
272197,NP,0,Beni,
272198,NP,0,Hetauda,
272199,NP,0,Siddharthanagar,
272200,NP,0,Waling,
272201,NP,0,Baglung,
272202,NP,0,Bharatpur,
272203,NP,0,Belani,
272204,NP,0,Birganj,
272205,NP,0,Dhading,
272206,NP,0,Jhapa,
272207,NP,0,Parasi,
272208,NP,0,Banepa,
272209,NP,0,Dharan,
272210,NP,0,Bhairahawa,
272211,NP,0,Bathala,
272212,NP,0,Dhulikhel,
272213,NP,0,Lahan,
272214,NP,0,Gulariya,
272215,NP,0,Dhangadhi,
272216,NP,0,Itahari,
272217,NP,0,Narayangarh,
272218,NP,0,Baneswar,
272219,NP,0,Nepalganj,
272220,NP,0,Simara,
272221,NP,0,Tansen,
272222,NP,0,Siraha,
272223,NP,0,Tikapur,
272224,NP,0,Gorkha,
272225,NP,0,Kunchha,
272226,NP,0,Syangja,
272227,NP,0,Sindhuli Gadhi,
272228,NP,0,Birkot,
272229,NP,0,Nuwakot,
272230,NP,0,Kirtipur,
272231,NP,0,Daman,
272232,NP,0,Sankhu,
272233,NP,0,Tamghas,
272234,NP,0,Kalaiya,
272235,NP,0,Phidim,
272236,NP,0,Bandipur,
272237,NP,0,Sisaghat Bazar,
272238,NP,0,Charikot,
272239,NP,0,Palung,
272240,NP,0,Balaju,
272241,NP,0,Patharkot,
272242,NP,0,Chilha,
272243,NP,0,Baijnathpurwa,
272244,NP,0,Katmandu,
272245,NP,0,Patan,
272246,NP,0,Hetauda Bazar,
272247,NP,0,Kailali,
