locId,country,region,city,postcode
273337,OM,,,
273338,OM,6,Muscat,
273339,OM,6,Ruwi,
273340,OM,8,Salalah,
273341,OM,2,Sohar,
273342,OM,6,Sheria,
273343,OM,2,Nizwá,
273344,OM,5,Buraimi,
273345,OM,4,Sur,
273346,OM,6,Misfah Al `ali,
273347,OM,2,Ghayl Shabul,
273348,OM,2,Sur Al Bu Rashid,
273349,OM,2,Izki,
273350,OM,4,Ibra,
273351,OM,6,Mudayrah,
273352,OM,2,Murayjat,
273353,OM,2,Saham,
273354,OM,2,Al Khuwayrah,
273355,OM,2,Al `afifah,
273356,OM,2,Sihah,
273357,OM,5,As Sumayni,
273358,OM,2,Rustaq,
273359,OM,2,Aiyuun,
273360,OM,6,Al Bi'r,
273361,OM,6,Bidbid,
273362,OM,2,Birkat Al Mauz,
273363,OM,6,Sumail,
273364,OM,6,Mutrah,
273365,OM,6,Azaiba,
273366,OM,2,Manah,
273367,OM,5,Hamasa,
273368,OM,6,Muttrah,
273369,OM,6,Matrah,
273370,OM,6,Rusayl,
273371,OM,2,Shinas,
273372,OM,6,Fanja,
273373,OM,8,Mirbat,
273374,OM,6,Qurm,
273375,OM,6,Hamriyah,
273376,OM,2,Wudam,
273377,OM,4,Firq,
273378,OM,6,Wadi Kabir,
273379,OM,4,Adam,
273380,OM,6,Sharik,
273381,OM,6,Al Bustan,
273382,OM,8,Salala,
273383,OM,4,Al Kamil,
273384,OM,5,Falaj,
273385,OM,7,Khasab,
273386,OM,8,Taqah,
273387,OM,2,Falaj,
273388,OM,6,Ghubrah,
273389,OM,6,Khodh,
273390,OM,6,Sedab,
273391,OM,2,Hamra,
273392,OM,6,Al Amarat,
273393,OM,6,Abu Nukhayl,
273394,OM,5,Mahdah,
273395,OM,5,Mudabbah,
273396,OM,6,Matruh,
273397,OM,4,Mudaybi,
273398,OM,6,Barka',
273399,OM,5,Sa'ara,
273400,OM,6,Bait Al Falaj,
273401,OM,6,Ruwi Gharbi,
273402,OM,6,Darsait,
273403,OM,2,Sham,
273404,OM,2,Al-khabourah,
273405,OM,4,Masqab,
273406,OM,2,Al Sohar,
273407,OM,5,`ibri,
273408,OM,6,Wutayyah,
273409,OM,6,Ghallah,
273410,OM,2,Hail,
273411,OM,6,Qantab,
273412,OM,6,Mascat,
273413,OM,2,Al `uwaynat,
273414,OM,2,Suhar,
273415,OM,6,Masqat,
