locId,country,region,city,postcode
273416,PA,,,
273417,PA,8,Juan Franco,
273418,PA,7,Bella Vista,
273419,PA,2,Chiriquí,
273420,PA,8,Panama City,
273421,PA,4,Colón,
273422,PA,2,Muerto,
273423,PA,10,San Francisco,
273424,PA,8,Paitilla,
273425,PA,8,Tocumen,
273426,PA,5,Torre,
273427,PA,8,El Cangrejo,
273428,PA,8,El Dorado,
273429,PA,2,Pueblo Nuevo,
273430,PA,10,Plaza,
273431,PA,7,Río Abajo,
273432,PA,6,Santa María,
273433,PA,8,Cerro Viento,
273434,PA,7,Los Cedros,
273435,PA,8,Balboa,
273436,PA,2,David,
273437,PA,10,Santiago,
273438,PA,10,Bolívar,
273439,PA,8,Chorrera,
273440,PA,8,Arosemena,
273441,PA,3,Vista Hermosa,
273442,PA,8,Ancón,
273443,PA,1,Camilo,
273444,PA,3,Las Sabanas,
273445,PA,8,Calidonia,
273446,PA,7,Corozal,
273447,PA,7,Santa Ana,
273448,PA,8,Curundú,
273449,PA,8,San Miguelito,
273450,PA,1,Elena,
273451,PA,8,Albrook,
273452,PA,7,Santa Isabel,
273453,PA,9,Cuba,
273454,PA,5,La Plaza,
273455,PA,8,El Carmen,
273456,PA,7,Campo Alegre,
273457,PA,7,San Agustín,
273458,PA,3,San Cristóbal,
273459,PA,3,Santa Elena,
273460,PA,8,Perú,
273461,PA,1,Victoria,
273462,PA,2,Caimito,
273463,PA,8,Chilibre,
273464,PA,3,Capellanía,
273465,PA,8,Coloncito,
273466,PA,2,Volcán,
273467,PA,4,El Giral,
273468,PA,8,Las Cumbres,
273469,PA,3,Aguadulce,
273470,PA,2,Chichica,
273471,PA,8,Lídice,
273472,PA,8,Veracruz,
273473,PA,10,Concepción,
273474,PA,3,Juan Díaz,
273475,PA,3,Penonomé,
273476,PA,2,Canoa,
273477,PA,6,Chitré,
273478,PA,1,Bocas Del Toro,
273479,PA,1,Almirante,
273480,PA,2,Boquete,
273481,PA,3,Antón,
273482,PA,8,Cerro Cama,
273483,PA,3,Río Hato,
273484,PA,8,La Chorrera,
273485,PA,8,Sajalices,
273486,PA,4,Río Rita,
273487,PA,1,Chiriquí Grande,
273488,PA,8,El Nancito,
273489,PA,8,Las Colinas,
273490,PA,4,Gatun,
273491,PA,8,Santa Clara,
273492,PA,4,Nuevo San Juan,
273493,PA,8,Nuevo Emperador,
273494,PA,8,Chapala,
273495,PA,8,Arraiján,
273496,PA,8,Paraíso,
273497,PA,2,Cerro Punta,
273498,PA,3,Chiguirí Arriba,
273499,PA,3,El Cortezo,
273500,PA,7,Los Santos,
273501,PA,2,Las Lomas,
273502,PA,7,Las Tablas,
273503,PA,1,Changuinola,
273504,PA,2,Dolega,
273505,PA,2,Los Anastacios,
273506,PA,2,Los Algarrobos,
273507,PA,6,El Rincón,
273508,PA,8,Potrero Grande,
273509,PA,2,Puerto Armuelles,
273510,PA,3,Alto De La Estancia,
273511,PA,3,Coclé,
273512,PA,3,Natá,
273513,PA,8,Villa Rosario,
273514,PA,4,Puerto Escondido,
273515,PA,2,Potrerillos Abajo,
273516,PA,10,La Raya De Santa María,
273517,PA,2,San Félix,
273518,PA,8,San Vicente De Bique,
273519,PA,8,San Carlos,
273520,PA,10,Los Boquerones,
273521,PA,2,Potrerillos Arriba,
273522,PA,3,La Candelaria,
273523,PA,8,Santa Rita,
273524,PA,4,Escobal,
273525,PA,8,La Mitra,
273526,PA,8,Nuevo Arraiján,
273527,PA,10,La Mata,
273528,PA,3,El Cristo,
273529,PA,4,Palmas Bellas,
273530,PA,8,Cermeño,
273531,PA,2,La Concepción,
273532,PA,2,Bugaba,
273533,PA,8,Bejuco,
273534,PA,2,Palmira,
273535,PA,8,Nuevo Guararé,
273536,PA,10,Las Palmas,
273537,PA,3,Olá,
273538,PA,10,Calobre,
273539,PA,2,Bágala,
273540,PA,8,San Pedro,
273541,PA,8,Vacamonte,
273542,PA,4,Salamanca,
273543,PA,8,Loma Alegre,
273544,PA,6,Boca De Parita,
273545,PA,2,La Primavera,
273546,PA,7,Los Ángeles,
273547,PA,3,Pocrí,
273548,PA,10,Veraguas,
273549,PA,4,Puerto Pilón,
273550,PA,2,Alanje,
273551,PA,2,Bocalatún,
273552,PA,8,Sorá,
273553,PA,8,Nueva Gorgona,
273554,PA,8,Chepo,
273555,PA,7,Guararé,
273556,PA,7,Pedasí,
273557,PA,10,Los Algarrobos,
273558,PA,6,Pesé,
273559,PA,8,Vista Alegre,
273560,PA,8,Los Ríos,
273561,PA,8,Ciudad De Panamá,
273562,PA,2,Sortová,
273563,PA,8,Capira,
273564,PA,10,Soná,
273565,PA,4,Buena Vista,
273566,PA,2,Horconcitos,
273567,PA,8,Parque Lefevre,
273568,PA,6,Colorado,
273569,PA,7,El Limón,
273570,PA,4,Coco Solo,
273571,PA,6,Ocú,
273572,PA,2,Guarumal,
273573,PA,2,Alto Boquete,
273574,PA,2,Gualaca,
