locId,country,region,city,postcode
273645,PE,,,
273646,PE,15,Lima,
273647,PE,25,San Isidro,
273648,PE,4,Arequipa,
273649,PE,1,La Libertad,
273650,PE,7,Callao,
273651,PE,4,Surco,
273652,PE,10,Inca,
273653,PE,18,Loreto,
273654,PE,12,Junín,
273655,PE,11,San Martín,
273656,PE,2,Chimbote,
273657,PE,20,Sullana,
273658,PE,2,Huaraz,
273659,PE,13,Trujillo,
273660,PE,6,Cajamarca,
273661,PE,20,Piura,
273662,PE,21,Puno,
273663,PE,23,Tacna,
273664,PE,25,Pucallpa,
273665,PE,21,Progreso,
273666,PE,10,Huánuco,
273667,PE,9,Pasco,
273668,PE,16,Iquitos,
273669,PE,22,Cuzco,
273670,PE,5,Ayacucho,
273671,PE,8,Cusco,
273672,PE,20,Calle,
273673,PE,21,Juliaca,
273674,PE,9,Huancavelica,
273675,PE,12,Huancayo,
273676,PE,14,Chiclayo,
273677,PE,4,La Legua,
273678,PE,20,Ayabaca,
273679,PE,1,Bolívar,
273680,PE,15,Huacho,
273681,PE,18,Chincha,
273682,PE,14,Lambayeque,
273683,PE,11,Pisco,
273684,PE,13,Salaverry,
273685,PE,18,Moquegua,
273686,PE,22,Bellavista,
273687,PE,22,Ventanilla,
273688,PE,19,Cerro De Pasco,
273689,PE,22,Rioja,
273690,PE,15,Imperial,
273691,PE,10,Tingo María,
273692,PE,22,Tarapoto,
273693,PE,15,Huaral,
273694,PE,24,Tumbes,
273695,PE,20,Talara,
273696,PE,4,Camaná,
273697,PE,3,Andahuaylas,
273698,PE,22,Moyobamba,
273699,PE,1,Chachapoyas,
273700,PE,11,Marcona,
273701,PE,1,Bagua Chica,
273702,PE,2,Caraz,
273703,PE,12,La Oroya,
273704,PE,15,Agua,
273705,PE,25,Escuela,
273706,PE,10,Ambo,
273707,PE,12,Tarma,
273708,PE,13,Virú,
273709,PE,20,La Huaca,
273710,PE,20,Tamarindo,
273711,PE,2,Carhuaz,
273712,PE,15,Santa Maria,
273713,PE,6,Bellavista,
273714,PE,2,Yungay,
273715,PE,23,Berlín,
273716,PE,22,San José De Sisa,
273717,PE,20,La Brea,
273718,PE,22,Saposoa,
273719,PE,20,Tambo Grande,
273720,PE,12,Satipo,
273721,PE,22,Juanjuí,
273722,PE,2,Santa,
273723,PE,8,Anta,
273724,PE,21,Azángaro,
273725,PE,11,Ica,
273726,PE,15,Ventanilla,
273727,PE,13,Chocope,
273728,PE,12,Orcotuna,
273729,PE,2,Lupahuari Hacienda,
273730,PE,15,Pancha Paula,
273731,PE,10,La Unión,
273732,PE,11,San Jacinto,
273733,PE,15,Chicla,
273734,PE,11,Santa Isabel,
273735,PE,15,Chancay,
273736,PE,19,Huananpachay,
273737,PE,12,San Ramón,
273738,PE,22,Picota,
273739,PE,23,Ilabaya,
273740,PE,12,Jauja,
273741,PE,10,San Miguel De Cauri,
273742,PE,2,Casma,
273743,PE,6,Bambamarca,
273744,PE,6,Celendín,
273745,PE,22,Lamas,
273746,PE,22,Tabalosos,
273747,PE,6,Chota,
273748,PE,19,Oxapampa,
273749,PE,19,Villa Rica,
273750,PE,12,Carhuamayo,
273751,PE,9,Lircay,
273752,PE,11,Hacienda Rio Seco,
273753,PE,8,Sicuani,
273754,PE,6,Cascas,
273755,PE,11,Miraflores,
273756,PE,8,Pibil,
273757,PE,3,Abancay,
273758,PE,18,Ilo,
273759,PE,21,Santa Lucía,
273760,PE,15,Chosica,
