locId,country,region,city,postcode
274056,PG,,,
274057,PG,3,Waigani,
274058,PG,20,Boroko,
274059,PG,20,Port Moresby,
274060,PG,14,Lae,
274061,PG,10,Kokopo,
274062,PG,18,Vanimo,
274063,PG,12,Madang,
274064,PG,9,Goroka,
274065,PG,16,Mount Hagen,
274066,PG,10,Rabaul,
274067,PG,15,Kavieng,
274068,PG,3,Alotau,
274069,PG,8,Kundiawa,
274070,PG,3,Buka,
274071,PG,11,Wewak,
274072,PG,20,Hohola,
274073,PG,14,Bulolo,
274074,PG,6,Kiunga,
274075,PG,5,Mendi,
274076,PG,4,Popondetta,
274077,PG,19,Wabag,
274078,PG,16,Hagen,
