locId,country,region,city,postcode
274079,PH,,,
274080,PH,53,Makati,
274081,PH,47,Quezon,
274082,PH,D9,Manila,
274083,PH,53,Mandaluyong,
274084,PH,50,Pasig,
274085,PH,D5,Legaspi,
274086,PH,C9,Iloilo,
274087,PH,53,Las Piñas,
274088,PH,B6,Cavite,
274089,PH,B7,Laguna,
274090,PH,E9,Pasay City,
274091,PH,A1,Angeles,
274092,PH,B7,Cebu,
274093,PH,26,Luzon,
274094,PH,53,Parañaque,
274095,PH,9,Subic,
274096,PH,40,Libis,
274097,PH,66,Del Monte,
274098,PH,33,Binãn,
274099,PH,C8,Iligan,
274100,PH,10,Philippine,
274101,PH,51,Dagupan,
274102,PH,C3,Pampanga,
274103,PH,41,Salcedo,
274104,PH,47,Rizal,
274105,PH,33,College,
274106,PH,24,Pag-asa,
274107,PH,H3,Asia,
274108,PH,7,Mariveles,
274109,PH,20,Kanluran,
274110,PH,28,Monte,
274111,PH,C3,Davao,
274112,PH,G7,Ayala,
274113,PH,39,Interior,
274114,PH,29,Cervantes,
274115,PH,63,Cafe,
274116,PH,D9,Malate,
274117,PH,33,Banco,
274118,PH,A4,Baguio,
274119,PH,21,Union,
274120,PH,21,Lepanto,
274121,PH,21,Centro,
274122,PH,B7,Lahug,
274123,PH,21,General,
274124,PH,16,Lourdes,
274125,PH,53,Muntinlupa City,
274126,PH,67,Allen,
274127,PH,31,Jones,
274128,PH,18,Consolacion,
274129,PH,25,Bulacan,
274130,PH,50,Santo Tomas,
274131,PH,13,Baliuag,
274132,PH,9,Caysasay,
274133,PH,53,Antipolo,
274134,PH,60,Pangasinan,
274135,PH,21,Media,
274136,PH,63,Salle,
274137,PH,B2,Cagayan De Oro,
274138,PH,20,Bacoor,
274139,PH,H3,Vito,
274140,PH,H2,Aurora,
274141,PH,53,Marikina,
274142,PH,1,Toon,
274143,PH,23,Taft,
274144,PH,29,Mission,
274145,PH,14,Santos,
274146,PH,9,Laurel,
274147,PH,25,Central,
274148,PH,9,San Juan,
274149,PH,F3,Roxas,
274150,PH,33,Calamba,
274151,PH,30,Domingo,
274152,PH,31,Santiago,
274153,PH,53,Taguig,
274154,PH,30,San Dionisio,
274155,PH,G7,Zamboanga,
274156,PH,F2,Fort Bonifacio,
274157,PH,13,San Miguel,
274158,PH,A7,Batangas,
274159,PH,53,Taytay,
274160,PH,B8,Cotabato,
274161,PH,D3,Laoag,
274162,PH,46,Pamplona,
274163,PH,20,Dasmariñas,
274164,PH,53,Muntinlupa,
274165,PH,50,Del Pilar,
274166,PH,66,Pinas,
274167,PH,11,Trinidad,
274168,PH,21,Guadalupe,
274169,PH,36,Biday,
274170,PH,D9,Port Area,
274171,PH,60,Intramuros,
274172,PH,42,Bonifacio,
274173,PH,D1,Iriga,
274174,PH,D8,Mandaue,
274175,PH,13,Diliman,
274176,PH,53,Rodriguez,
274177,PH,47,San Antonio,
274178,PH,33,San Pedro,
274179,PH,46,Tambo,
274180,PH,30,Nino,
274181,PH,53,Bicutan,
274182,PH,E3,Olongapo,
274183,PH,50,Zapote,
274184,PH,18,Talon,
274185,PH,F2,Caloocan,
274186,PH,1,West,
274187,PH,C5,Dumaguete,
274188,PH,31,Muñoz,
274189,PH,33,Pulong,
274190,PH,53,Cainta,
274191,PH,53,Alabang,
274192,PH,3,Libertad,
274193,PH,71,Villamor,
274194,PH,64,Princess,
274195,PH,16,Miguel,
274196,PH,63,Vargas,
274197,PH,14,Portugal,
274198,PH,5,Herrera,
274199,PH,4,Aquino,
274200,PH,11,Agustin,
274201,PH,67,Bagong,
274202,PH,F2,Pasong Tamo,
274203,PH,62,Loyola,
274204,PH,51,Urdaneta,
274205,PH,14,Plaza,
274206,PH,20,Boni,
274207,PH,45,Luna,
274208,PH,D4,Lapu-lapu,
274209,PH,27,Gate,
274210,PH,11,Garcia,
274211,PH,47,San Isidro,
274212,PH,G5,Toledo,
274213,PH,64,San Marcelino,
274214,PH,53,Sampaloc,
274215,PH,53,Cardona,
274216,PH,66,Commonwealth,
274217,PH,D5,Legazpi,
274218,PH,F2,Cubao,
274219,PH,33,Kalayaan,
274220,PH,53,Valenzuela,
274221,PH,C3,Lacson,
274222,PH,50,Cruz,
274223,PH,F2,Capitol,
274224,PH,49,Osmeña,
274225,PH,66,Katipunan,
274226,PH,66,Mabuhay,
274227,PH,33,Victoria,
274228,PH,31,Planan,
274229,PH,58,Esteban,
274230,PH,D9,Binondo,
274231,PH,33,Poblacion,
274232,PH,64,San Lorenzo,
274233,PH,14,Mesa,
274234,PH,53,Tejeros,
274235,PH,53,Palanan,
274236,PH,71,Basak,
274237,PH,4,Feliciano,
274238,PH,67,San Roque,
274239,PH,16,Ocampo,
274240,PH,21,Mindanao,
274241,PH,E9,Forbes Park,
274242,PH,33,Santa Rosa,
274243,PH,45,A Bonifacio,
274244,PH,30,Summit,
274245,PH,50,San Fernando,
274246,PH,H3,Ilog,
274247,PH,33,Cabuyao,
274248,PH,70,Panay,
274249,PH,14,Tagao,
274250,PH,F2,Kamuning,
274251,PH,63,Tarlac,
274252,PH,16,Pili,
274253,PH,33,Don Jose,
274254,PH,10,Ambuklao,
274255,PH,47,Mabini,
274256,PH,36,Naguilian,
274257,PH,D7,Lucena,
274258,PH,7,Pilar,
274259,PH,47,San Jose,
274260,PH,63,San Vicente,
274261,PH,7,Balanga,
274262,PH,59,Aguinaldo,
274263,PH,13,Meycauayan,
274264,PH,63,Comillas,
274265,PH,E9,Pasay,
274266,PH,D6,Lipa,
274267,PH,67,Mckinley,
274268,PH,14,Tuguegarao,
274269,PH,9,Balibago,
274270,PH,3,Bataan,
274271,PH,5,Locsin,
274272,PH,47,Burgos,
274273,PH,A2,Bacolod,
274274,PH,F8,Silay,
274275,PH,16,Bato,
274276,PH,F1,Puerto Princesa,
274277,PH,53,Ugong,
274278,PH,31,Ramon,
274279,PH,70,Koronadal,
274280,PH,56,Sultan Kudarat,
274281,PH,21,Palawan,
274282,PH,D4,Pusok,
274283,PH,63,Concepcion,
274284,PH,20,Manggahan,
274285,PH,53,Caniogan,
274286,PH,30,Ermita,
274287,PH,E9,Malibay,
274288,PH,5,Bagumbayan,
274289,PH,H2,Fernando,
274290,PH,13,Pulo,
274291,PH,36,Carlatan,
274292,PH,51,Rosario,
274293,PH,23,Dolores,
274294,PH,13,Malolos,
274295,PH,41,Evangelista,
274296,PH,61,Lakandula,
274297,PH,B4,Tanza,
274298,PH,53,Teresa,
274299,PH,13,Hagonoy,
274300,PH,F7,San Pablo,
274301,PH,33,Los Baños,
274302,PH,21,Clara,
274303,PH,H2,Bagong Silang,
274304,PH,34,Princesa,
274305,PH,F1,Puerto Princesa City,
274306,PH,70,Ilaya,
274307,PH,C7,Mariano,
274308,PH,A9,Cabanatuan,
274309,PH,55,Villareal,
274310,PH,66,Molave,
274311,PH,53,Kapasigan,
274312,PH,53,Navotas,
274313,PH,33,Sampaguita,
274314,PH,67,Villa,
274315,PH,13,Guiguinto,
274316,PH,40,Harrison,
274317,PH,22,Isabela,
274318,PH,33,Calauan,
274319,PH,G2,Tagaytay,
274320,PH,5,San Rafael,
274321,PH,50,Guagua,
274322,PH,29,Tamag,
274323,PH,62,Lucia,
274324,PH,47,San Francisco,
274325,PH,25,Digos,
274326,PH,H3,Lopez Jaena,
274327,PH,43,Villanueva,
274328,PH,B3,Peña,
274329,PH,53,Binangonan,
274330,PH,58,Aguada,
274331,PH,46,Tanjay,
274332,PH,46,Bayawan,
274333,PH,H2,Tagumpay,
274334,PH,12,Malaybalay,
274335,PH,28,Batac,
274336,PH,53,Santolan,
274337,PH,H3,Plaridel,
274338,PH,13,Dalandanan,
274339,PH,39,Malinta,
274340,PH,A8,Butuan,
274341,PH,14,Punta,
274342,PH,H2,Tala,
274343,PH,61,Alegria,
274344,PH,42,Misamis,
274345,PH,28,Marcos,
274346,PH,53,Wack Wack,
274347,PH,30,Leon,
274348,PH,53,Pateros,
274349,PH,C4,Dipolog,
274350,PH,F2,Murphy,
274351,PH,47,Doña Josefa,
274352,PH,6,Malacañang,
274353,PH,2,Magallanes,
274354,PH,41,Gamboa,
274355,PH,31,Quirino,
274356,PH,D9,Quiapo,
274357,PH,47,Estrella,
274358,PH,47,Mangga,
274359,PH,59,Kamagong,
274360,PH,A9,Miller,
274361,PH,25,Jose Abad Santos,
274362,PH,29,Vigan,
274363,PH,15,Mercedes,
274364,PH,33,San Gregorio,
274365,PH,E2,Carolina,
274366,PH,F4,Lopez,
274367,PH,53,Ugong Norte,
274368,PH,60,Bangkal,
274369,PH,51,Lucero,
274370,PH,50,Batasang,
274371,PH,33,Canlubang,
274372,PH,63,Estrada,
274373,PH,47,Soledad,
274374,PH,51,Don Pedro,
274375,PH,38,Silangan,
274376,PH,67,Washington,
274377,PH,21,Lupa,
274378,PH,53,Almanza,
274379,PH,39,Benguet,
274380,PH,47,Maligaya,
274381,PH,43,San Martin,
274382,PH,43,Jasaan,
274383,PH,9,Malvar,
274384,PH,41,Malamig,
274385,PH,24,Saranggani,
274386,PH,20,Bulihan,
274387,PH,51,Diaz,
274388,PH,53,Angono,
274389,PH,66,Sumulong,
274390,PH,34,Cagayan,
274391,PH,24,Paradise,
274392,PH,37,La Paz,
274393,PH,66,Norte,
274394,PH,47,Gabaldon,
274395,PH,B5,Canlaon,
274396,PH,61,Wilson,
274397,PH,53,Pineda,
274398,PH,H3,Kabankalan,
274399,PH,B3,Calbayog,
274400,PH,E6,Ozamiz,
274401,PH,54,Looc,
274402,PH,9,Palanca,
274403,PH,51,Bautista,
274404,PH,50,Remedios,
274405,PH,53,Putatan,
274406,PH,51,Natividad,
274407,PH,60,Andres,
274408,PH,62,Soriano,
274409,PH,70,Cinco,
274410,PH,9,Emmanuel,
274411,PH,29,Santa,
274412,PH,37,Liberty,
274413,PH,13,Bagong Barrio,
274414,PH,F2,Pinaglabanan,
274415,PH,A3,Bago,
274416,PH,30,Alman,
274417,PH,33,Perlas,
274418,PH,C3,Manuel,
274419,PH,46,Villegas,
274420,PH,45,Gomez,
274421,PH,21,Cubacub,
274422,PH,56,Bong,
274423,PH,62,Alba,
274424,PH,E2,Naga,
274425,PH,29,Orense,
274426,PH,6,Martinez,
274427,PH,29,Orence,
274428,PH,51,Paul,
274429,PH,63,Inez,
274430,PH,6,Salazar,
274431,PH,21,Sili,
274432,PH,54,Odiongan,
274433,PH,63,Carbonel,
274434,PH,G1,Tacloban,
274435,PH,40,San Agustin,
274436,PH,E6,Ozamis City,
274437,PH,53,Buting,
274438,PH,B2,Bugo,
274439,PH,50,Sindalan,
274440,PH,13,Pulilan,
274441,PH,33,Tagapo,
274442,PH,24,Florida,
274443,PH,38,Lupac,
274444,PH,H3,Binalbagan,
274445,PH,64,Malabon,
274446,PH,39,Masbate,
274447,PH,36,Pagdalagan Norte,
274448,PH,66,Ipil,
274449,PH,47,Valle,
274450,PH,42,Jimenez,
274451,PH,E6,Ozamis,
274452,PH,21,Pajo,
274453,PH,50,Valdez,
274454,PH,C6,Dadiangas,
274455,PH,50,Quebiauan,
274456,PH,39,Mactan,
274457,PH,41,Gloria,
274458,PH,B7,Talamban,
274459,PH,50,Lanang,
274460,PH,53,Tuktukan,
274461,PH,29,Bantay,
274462,PH,53,Maybuñga,
274463,PH,H2,Addition Hills,
274464,PH,C6,Tambler,
274465,PH,26,La Union,
274466,PH,51,San Carlos,
274467,PH,70,Kalibo,
274468,PH,64,Mindoro,
274469,PH,H3,Sagay,
274470,PH,20,Tabora,
274471,PH,21,Carmen,
274472,PH,56,Parang,
274473,PH,B3,Occidental,
274474,PH,33,San Andres,
274475,PH,33,Forestry,
274476,PH,33,Diezmo,
274477,PH,21,Bohol,
274478,PH,D2,La Carlota,
274479,PH,13,Balagtas,
274480,PH,59,Zamora,
274481,PH,45,Talubangi,
274482,PH,53,Loñgos,
274483,PH,F9,Surigao,
274484,PH,13,Paombong,
274485,PH,59,Ibarra,
274486,PH,C1,Danao,
274487,PH,37,Capiz,
274488,PH,47,Conversion,
274489,PH,67,Polangui,
274490,PH,7,Daan,
274491,PH,C6,General Santos,
274492,PH,51,Sanchez,
274493,PH,B7,Mabolo,
274494,PH,66,Fatima,
274495,PH,15,Daet,
274496,PH,16,Tara,
274497,PH,E4,Ormoc,
274498,PH,H3,Bukidnon,
274499,PH,21,Paknaan,
274500,PH,50,Clark,
274501,PH,33,Santa Cruz,
274502,PH,48,Salinas,
274503,PH,43,Mapua,
274504,PH,39,Roosevelt,
274505,PH,53,Pinagbuhatan,
274506,PH,16,San Lucas,
274507,PH,18,Damayan,
274508,PH,21,Minglanilla,
274509,PH,60,Kalookan,
274510,PH,37,Javier,
274511,PH,28,San Nicolas,
274512,PH,G1,Cutting,
274513,PH,19,Virac,
274514,PH,9,San Diego,
274515,PH,67,Paco,
274516,PH,30,Bayan,
274517,PH,30,Concordia,
274518,PH,33,Kaingin,
274519,PH,63,Guevara,
274520,PH,13,Calumpit,
274521,PH,59,Maria Clara,
274522,PH,61,Victory,
274523,PH,30,Sara,
274524,PH,53,Sucat,
274525,PH,46,Davin,
274526,PH,30,Dionisio,
274527,PH,10,Bayabas,
274528,PH,7,Marilao,
274529,PH,57,Kidapawan,
274530,PH,57,Kabacan,
274531,PH,F2,Lagro,
274532,PH,44,Villarosa,
274533,PH,61,Socorro,
274534,PH,A4,Tuba,
274535,PH,31,Australia,
274536,PH,63,Moncada,
274537,PH,51,Sison,
274538,PH,4,Rivera,
274539,PH,59,Amparo,
274540,PH,49,Coral,
274541,PH,51,Bogtong,
274542,PH,47,Baloy,
274543,PH,63,Ramos,
274544,PH,61,Arellano,
274545,PH,14,Divisoria,
274546,PH,4,Morales,
274547,PH,36,Gonzales,
274548,PH,48,Panao,
274549,PH,11,Faraon,
274550,PH,16,Castillo,
274551,PH,28,Pinili,
274552,PH,42,Villaflor,
274553,PH,30,Pangilinan,
274554,PH,24,Tagum,
274555,PH,30,Ravina,
274556,PH,51,Torres,
274557,PH,21,Hernandez,
274558,PH,14,Marco,
