locId,country,region,city,postcode
276543,PK,,,
276544,PK,4,Lahore,
276545,PK,8,Islamabad,
276546,PK,5,Karachi,
276547,PK,4,Multan,
276548,PK,4,Rawalpindi,
276549,PK,2,Azad,
276550,PK,3,Swabi,
276551,PK,5,Khan,
276552,PK,4,Kabirwala,
276553,PK,4,Muzaffargarh,
276554,PK,3,Mills,
276555,PK,3,Main,
276556,PK,5,Hyderabad,
276557,PK,4,Gujranwala,
276558,PK,3,Haripur,
276559,PK,2,Agha Khan,
276560,PK,3,Peshawar,
276561,PK,4,Chakwal,
276562,PK,6,Pindi,
276563,PK,6,Rawlakot,
276564,PK,5,Qasim,
276565,PK,2,Quetta,
276566,PK,5,Clifton,
276567,PK,5,Jamali,
276568,PK,3,Abbottabad,
276569,PK,1,Hazara,
276570,PK,3,Kohat,
276571,PK,3,Nowshera,
276572,PK,4,Faisalabad,
276573,PK,4,Jahania,
276574,PK,4,Okara,
276575,PK,5,Sukkur,
276576,PK,5,Larkana,
276577,PK,4,Sargodha,
276578,PK,3,Havelian,
276579,PK,4,Warburton,
276580,PK,5,Mirpur,
276581,PK,6,Judhal,
276582,PK,4,Kahuta,
276583,PK,4,Sialkot,
276584,PK,4,Narang,
276585,PK,4,Wah,
276586,PK,6,Muzaffarabad,
276587,PK,4,Kamoke,
276588,PK,4,Gujrat,
276589,PK,4,Koot Hathial,
276590,PK,4,Gojra,
276591,PK,5,Tando Jam,
276592,PK,3,Mansehra,
276593,PK,5,Bandhi,
276594,PK,4,Muridke,
276595,PK,4,Gujar Khan,
276596,PK,3,Hangu,
276597,PK,4,Kharian,
276598,PK,4,Vihari,
276599,PK,4,Sahiwal,
276600,PK,5,Nawabshah,
276601,PK,4,Daska,
276602,PK,4,Mandi Bahauddin,
276603,PK,3,Mardan,
276604,PK,4,Chak Seventeen-eight L,
276605,PK,3,Cherat,
276606,PK,4,Khanewal,
276607,PK,4,Pasrur,
276608,PK,4,Rabwah,
276609,PK,4,Mochi Mohra,
276610,PK,4,Chatta Bakhtawar,
276611,PK,4,Attock,
276612,PK,4,Sanjwal,
276613,PK,4,Chak Bera Singh,
276614,PK,4,Sambrial,
276615,PK,6,Bhimber,
276616,PK,4,Sharqpur,
276617,PK,3,Burjida Bando,
276618,PK,4,Shekhupura,
276619,PK,4,Burewala,
276620,PK,3,Utmanzai,
276621,PK,2,Loralai,
276622,PK,6,Fatehpur,
276623,PK,4,Mianwali,
276624,PK,4,Tandlianwala,
276625,PK,4,Baghati,
276626,PK,4,Dera Ghazi Khan,
276627,PK,3,Banda Batang,
276628,PK,4,Sadiqabad,
276629,PK,6,Mirpur,
276630,PK,4,Bahawal,
276631,PK,4,Jaranwala,
276632,PK,4,Toba Tek Singh,
276633,PK,4,Ahmadpur East,
276634,PK,4,Bahawalnagar,
276635,PK,5,Sanghar,
276636,PK,4,Bahawalpur,
276637,PK,4,Phalia,
276638,PK,4,Shakrial,
276639,PK,4,Jhelum,
276640,PK,3,Swat,
276641,PK,3,Mingaora,
276642,PK,4,Islamabad,
276643,PK,5,Khairpur,
276644,PK,4,Kamra,
276645,PK,4,Pir Mahal,
276646,PK,4,Wazirabad,
276647,PK,3,Charsadda,
276648,PK,7,Gilgit,
276649,PK,4,Mian Channun,
276650,PK,4,Kot Addu,
276651,PK,5,Rustam,
276652,PK,3,Kalam,
276653,PK,3,Dera Ismail Khan,
276654,PK,6,Palandri,
276655,PK,4,Kalaswala,
276656,PK,4,Rahim,
276657,PK,5,Tando Muhammad Khan,
276658,PK,4,Murree,
276659,PK,5,Dina,
276660,PK,4,Yazman,
276661,PK,4,Jhang Sadar,
276662,PK,4,Attock City,
276663,PK,1,Lahor,
276664,PK,4,Kasur,
276665,PK,4,Chiniot,
276666,PK,4,Narowal,
276667,PK,4,Khushab,
276668,PK,3,Shabqadar,
276669,PK,2,Sibi,
276670,PK,5,Nawab,
276671,PK,5,Dadu,
276672,PK,4,Kundian,
276673,PK,4,Hasilpur,
276674,PK,4,Kamalia,
276675,PK,4,Sarai Alamgir,
276676,PK,5,Badin,
276677,PK,3,Risalpur,
276678,PK,5,Digri,
276679,PK,4,Gulberg,
276680,PK,5,Talpur,
276681,PK,4,Jhawarian,
276682,PK,3,Kashmir,
276683,PK,4,Arifwala,
276684,PK,6,Jhang,
276685,PK,5,Nazimabad,
276686,PK,4,Khaur,
276687,PK,4,Pakpattan,
276688,PK,4,Sanda,
276689,PK,4,Chichawatni,
276690,PK,2,Khanozai,
276691,PK,5,Kotri,
276692,PK,4,Baddomalhi,
276693,PK,4,Chunian,
276694,PK,5,Matli,
276695,PK,4,Kahror Pakka,
276696,PK,4,Rahimyar Khan,
276697,PK,4,Gagan Thal,
276698,PK,3,Shinkiari,
276699,PK,4,Alipur,
276700,PK,2,Khuzdar,
276701,PK,4,Jauharabad,
276702,PK,4,Nankana,
276703,PK,5,Shikarpur,
276704,PK,3,Bannu,
276705,PK,3,Kotli,
276706,PK,4,Chawinda,
276707,PK,4,Fort Abbas,
276708,PK,4,Pindi Gheb,
276709,PK,5,Jacobabad,
276710,PK,5,Kunri,
276711,PK,4,Yazman Mandi,
276712,PK,2,Cantt,
276713,PK,5,Mirpur Mathelo,
276714,PK,2,Gwadar,
276715,PK,5,Tando Allahyar,
276716,PK,5,Ghotki,
276717,PK,4,Lodhran,
276718,PK,3,Topi,
276719,PK,4,Hafizabad,
276720,PK,4,Basti Bappran,
276721,PK,2,Kot Malik,
276722,PK,3,Mardan Cantonment,
276723,PK,3,Ghulam Khel,
276724,PK,5,Tando Adam,
276725,PK,5,Ratodero,
276726,PK,4,Lahore Cantonment,
276727,PK,4,Muzaffar,
