locId,country,region,city,postcode
277005,PL,,,
277006,PL,32,Santok,
277007,PL,67,Pruszków,
277008,PL,67,Warsaw,
277009,PL,86,Poznan,
277010,PL,82,Gdansk,
277011,PL,59,Grabice,
277012,PL,80,Rzeszów,
277013,PL,46,Gorlice,
277014,PL,35,Rybnik,
277015,PL,25,Ustron,
277016,PL,25,Wieprz,
277017,PL,25,Bielsko-biala,
277018,PL,66,Klodzko,
277019,PL,67,Zalesie Górne,
277020,PL,67,Blonie,
277021,PL,77,Kraków,
277022,PL,64,Tarnów,
277023,PL,42,Leszno,
277024,PL,65,Torun,
277025,PL,30,Elblag,
277026,PL,69,Piotrków,
277027,PL,74,Lodz,
277028,PL,72,Wroclaw,
277029,PL,83,Katowice,
277030,PL,46,Dzial,
277031,PL,32,Gorzów Wielkopolski,
277032,PL,39,Proszowice,
277033,PL,25,Gorzów,
277034,PL,63,Sokolniki,
277035,PL,53,Miastkowo,
277036,PL,44,Rutki,
277037,PL,44,Kolno,
277038,PL,75,Lublin,
277039,PL,49,Przasnysz,
277040,PL,35,Gliwice,
277041,PL,39,Wegrzce Wielkie,
277042,PL,57,Stoczek Lukowski,
277043,PL,23,Janów Podlaski,
277044,PL,41,Legnica,
277045,PL,39,Krzeszowice,
277046,PL,64,Marek,
277047,PL,47,Szczytno,
277048,PL,87,Koszalin,
277049,PL,36,Skarbka,
277050,PL,84,Kielce,
277051,PL,87,Szczecinska,
277052,PL,73,Bydgoszcz,
277053,PL,68,Polska,
277054,PL,31,Gdynia,
277055,PL,85,Olsztyn,
277056,PL,52,Plock,
277057,PL,63,Ostroleka,
277058,PL,79,Opole,
277059,PL,87,Szczecin,
277060,PL,67,Annopol,
277061,PL,81,Bialystok,
277062,PL,37,Konin,
277063,PL,34,Ostrów Wielkopolski,
277064,PL,34,Kalisz,
277065,PL,61,Olecko,
277066,PL,35,Laziska Gorne,
277067,PL,29,Czestochowa,
277068,PL,30,Kwidzyn,
277069,PL,35,Czechowice-dziedzice,
277070,PL,60,Bielsko,
277071,PL,67,Lomianki,
277072,PL,35,Kazimierz,
277073,PL,56,Plac,
277074,PL,63,Stalowa Wola,
277075,PL,25,Nowy Swiat,
277076,PL,29,Praszka,
277077,PL,67,Wolomin,
277078,PL,87,Kedzierzyn,
277079,PL,59,Oddzial,
277080,PL,39,Myslenice,
277081,PL,60,Slupsk,
277082,PL,71,Zary,
277083,PL,35,Zabrze,
277084,PL,46,Zakopane,
277085,PL,72,Jelenia Góra,
277086,PL,68,Hotel,
277087,PL,64,Bochnia,
277088,PL,69,Bielany Wroclawskie,
277089,PL,56,Lancut,
277090,PL,59,Lowicz,
277091,PL,50,Wronki,
277092,PL,39,Wieliczka,
277093,PL,31,Sopot,
277094,PL,67,Ostrów,
277095,PL,56,Gniewczyna,
277096,PL,45,Belzyce,
277097,PL,40,Jaslo,
277098,PL,53,Gniezno,
277099,PL,70,Zamosc,
277100,PL,55,Radom,
277101,PL,61,Suwalki,
277102,PL,46,Nowy Sacz,
277103,PL,23,Biala Podlaska,
277104,PL,40,Krosno,
277105,PL,39,Zabierzów,
277106,PL,35,Dabrowa Gornicza,
277107,PL,76,Zielona Góra,
277108,PL,33,Boleslawiec,
277109,PL,35,Lukow,
277110,PL,35,Borki,
277111,PL,69,Wilkowice,
277112,PL,35,Mikolow,
277113,PL,25,Andrychów,
277114,PL,28,Szczawno,
277115,PL,57,Siedlce,
277116,PL,56,Mielec,
277117,PL,87,Kolobrzeg,
277118,PL,65,Wabrzezno,
277119,PL,25,Skoczów,
277120,PL,35,Bytom,
277121,PL,42,Pudliszki,
277122,PL,35,Tychy,
277123,PL,28,Ciechanów,
277124,PL,32,Ostrowiec,
277125,PL,60,Bytów,
277126,PL,35,Chelm,
277127,PL,35,Olkusz,
277128,PL,44,Lomza,
277129,PL,42,Góra,
277130,PL,25,Wadowice,
277131,PL,24,Narew,
277132,PL,45,Swidnik,
277133,PL,58,Sieradz,
277134,PL,34,Krotoszyn,
277135,PL,66,Walbrzych,
277136,PL,64,Brzesko,
277137,PL,35,Jastrzebie Zdroj,
277138,PL,25,Oswiecim,
277139,PL,66,Dzierzoniow,
277140,PL,51,Piotrków Trybunalski,
277141,PL,39,Skawina,
277142,PL,43,Pabianice,
277143,PL,31,Starogard Gdanski,
277144,PL,40,Jedlicze,
277145,PL,37,Unia,
277146,PL,47,Stare Kiejkuty,
277147,PL,25,Cieszyn,
277148,PL,46,Rabka,
277149,PL,25,Kety,
277150,PL,50,Pila,
277151,PL,63,Tarnobrzeg,
277152,PL,87,Stargard,
277153,PL,46,Nowy Targ,
277154,PL,25,Zywiec,
277155,PL,25,Sucha Beskidzka,
277156,PL,35,Knurów,
277157,PL,35,Sosnowiec,
277158,PL,41,Jaroslaw,
277159,PL,34,Polskie,
277160,PL,31,Tczew,
277161,PL,87,Bialogard,
277162,PL,32,Sulecin,
277163,PL,28,Baboszewo,
277164,PL,68,Wloclawek,
277165,PL,87,Swinoujscie,
277166,PL,35,Miasteczko Slaskie,
277167,PL,53,Przemysl,
277168,PL,67,Radzymin,
277169,PL,35,Chorzów,
277170,PL,35,Ruda Slaska,
277171,PL,49,Ostrów Mazowiecka,
277172,PL,40,Sanok,
277173,PL,65,Grudziadz,
277174,PL,35,Brzeszcze,
277175,PL,45,Ryki,
277176,PL,35,Racibórz,
277177,PL,39,Alwernia,
277178,PL,67,Legionowo,
277179,PL,23,Malaszewicze,
277180,PL,59,Szymanów,
277181,PL,87,Chociwel,
277182,PL,47,Biskupiec,
277183,PL,35,Bedzin,
277184,PL,66,Swidnica,
277185,PL,47,Skarbiec,
277186,PL,57,Towarzystwo,
277187,PL,35,Maria,
277188,PL,26,Inowroclaw,
277189,PL,29,Olesno,
277190,PL,35,Ruda,
277191,PL,34,Pleszew,
277192,PL,31,Pelplin,
277193,PL,77,Cracow,
277194,PL,28,Rynek,
277195,PL,41,Lubin,
277196,PL,59,Mszczonów,
277197,PL,51,Belchatow,
277198,PL,66,Przygórze,
277199,PL,48,Ilawa,
277200,PL,35,Myslowice,
277201,PL,34,Wieruszów,
277202,PL,33,Bogatynia,
277203,PL,35,Zory,
277204,PL,44,Grajewo,
277205,PL,45,Felin,
277206,PL,30,Pieniezno,
277207,PL,52,Wojszyce,
277208,PL,31,Chwaszczyno,
277209,PL,70,Bilgoraj,
277210,PL,87,Szczecinek,
277211,PL,46,Stary Sacz,
277212,PL,87,Gryfino,
277213,PL,67,Falenty,
277214,PL,87,Zegrze,
277215,PL,27,Stawki,
277216,PL,23,Mostów,
277217,PL,52,Gostynin,
277218,PL,35,Psary,
277219,PL,69,Fabryczna,
277220,PL,67,Tomaszów,
277221,PL,48,Paczków,
277222,PL,41,Polkowice,
277223,PL,87,Przemyslaw,
277224,PL,42,Gostyn,
277225,PL,52,Leczyca,
277226,PL,60,Ustka,
277227,PL,87,Starogard,
277228,PL,36,Busko,
277229,PL,67,Komorów,
277230,PL,60,Kobylnica,
277231,PL,61,Gizycko,
277232,PL,49,Brok,
277233,PL,87,Police,
277234,PL,59,Skierniewice,
277235,PL,63,Sandomierz,
277236,PL,69,Wolow,
277237,PL,66,Gorna,
277238,PL,69,Srodmiescie,
277239,PL,26,Szpital,
277240,PL,34,Mazury,
277241,PL,36,Sitkówka,
277242,PL,35,Pyskowice,
277243,PL,69,Olawa,
277244,PL,36,Starachowice,
277245,PL,26,Swiecie,
277246,PL,63,Polaniec,
277247,PL,59,Sochaczew,
277248,PL,51,Radomsko,
277249,PL,35,Laka,
277250,PL,67,Kolo,
277251,PL,61,Augustów,
