locId,country,region,city,postcode
300358,PR,,,
300359,PR,0,Carolina,985
300360,PR,0,San Juan,907
300361,PR,0,Guaynabo,965
300362,PR,0,Dorado,646
300363,PR,0,Catano,962
300364,PR,0,San Juan,902
300365,PR,0,Carolina,983
300366,PR,0,Gurabo,778
300367,PR,0,Guayama,785
300368,PR,0,Caguas,725
300369,PR,0,San Juan,918
300370,PR,0,Carolina,979
300371,PR,0,San Juan,940
300372,PR,0,San Juan,927
300373,PR,0,Vega Baja,693
300374,PR,0,Las Piedras,771
300375,PR,0,Bayamon,959
300376,PR,0,Mercedita,715
300377,PR,0,Guaynabo,968
300378,PR,0,Guaynabo,969
300379,PR,0,Toa Alta,953
300380,PR,0,Carolina,987
300381,PR,0,San Juan,936
300382,PR,0,Naguabo,718
300383,PR,0,San Juan,917
300384,PR,0,San Juan,909
300385,PR,0,San Juan,910
300386,PR,0,Ponce,716
300387,PR,0,San Juan,926
300388,PR,0,Bayamon,960
300389,PR,0,San Lorenzo,754
300390,PR,0,Guaynabo,
300391,PR,0,Fort Buchanan,
300392,PR,0,Fort Buchanan,934
300393,PR,0,Caguas,726
300394,PR,0,San Juan,919
300395,PR,0,Cidra,739
300396,PR,0,Ceiba,735
300397,PR,0,Hatillo,659
300398,PR,0,San Juan,928
300399,PR,0,San Juan,901
300400,PR,0,San Juan,922
300401,PR,0,San Juan,923
300402,PR,0,San Juan,920
300403,PR,0,Fajardo,738
300404,PR,0,San Juan,908
300405,PR,0,Corozal,783
300406,PR,0,Bayamon,957
300407,PR,0,San Juan,929
300408,PR,0,Arecibo,612
300409,PR,0,Mayaguez,680
300410,PR,0,Cayey,737
300411,PR,0,Toa Baja,949
300412,PR,0,Bayamon,958
300413,PR,0,San Juan,921
300414,PR,0,Mayaguez,682
300415,PR,0,Rio Grande,745
300416,PR,0,Guayama,784
300417,PR,0,Catano,963
300418,PR,0,San Juan,906
300419,PR,0,San Juan,925
300420,PR,0,Guaynabo,971
300421,PR,0,Adjuntas,601
300422,PR,0,Barranquitas,794
300423,PR,0,Carolina,982
300424,PR,0,Orocovis,720
300425,PR,0,San Juan,924
300426,PR,0,Ponce,731
300427,PR,0,Florida,
300428,PR,0,Angeles,
300429,PR,0,Carolina,
300430,PR,0,Moca,676
300431,PR,0,San Juan,
300432,PR,0,Canovanas,
300433,PR,0,Caguas,
300434,PR,0,Vieques,
300435,PR,0,Toa Alta,
300436,PR,0,Trujillo Alto,
300437,PR,0,Aguas Buenas,
300438,PR,0,Bayamon,
300439,PR,0,Juncos,
300440,PR,0,Vega Baja,
300441,PR,0,Isabela,
300442,PR,0,Manati,
300443,PR,0,Lares,
300444,PR,0,Arecibo,
300445,PR,0,Fajardo,
300446,PR,0,Humacao,
300447,PR,0,Palmer,
300448,PR,0,Adjuntas,
300449,PR,0,Cayey,
300450,PR,0,Rio Grande,
300451,PR,0,San Sebastian,685
300452,PR,0,Utuado,641
300453,PR,0,Utuado,
