locId,country,region,city,postcode
300724,PS,,,
300725,PS,0,Ramallah,
300726,PS,0,Beit Hanina,
300727,PS,0,Nablus,
300728,PS,0,Hebron,
300729,PS,0,Gaza,
300730,PS,0,Rafah,
300731,PS,0,Beit Jala,
300732,PS,0,Jenin,
300733,PS,0,Jericho,
300734,PS,0,Arabeh,
300735,PS,0,Bethlehem,
300736,PS,0,Balata,
300737,PS,0,Tulkarm,
300738,PS,0,Tubas,
300739,PS,0,Huwarah,
300740,PS,0,Jaurat Esh Sham`a,
300741,PS,0,Ramin,
300742,PS,0,Al Atrun,
300743,PS,0,`ayn Siniya,
300744,PS,0,Hanut Yona,
300745,PS,0,Bayt Duqqu,
300746,PS,0,Burqa,
300747,PS,0,Al Burayj,
300748,PS,0,Khan Yunis,
300749,PS,0,Revava,
300750,PS,0,Bayt Lid,
300751,PS,0,`enav,
300752,PS,0,Lubban Ash Sharqiyah,
300753,PS,0,Jiljilia,
300754,PS,0,Rekhes Shu`afat,
300755,PS,0,Al Judayrah,
300756,PS,0,Daribat Ash Shaykh Hammuda,
300757,PS,0,Bayt Safafa,
300758,PS,0,Bayt `ur At Tahta,
300759,PS,0,Yasid,
300760,PS,0,Ram,
300761,PS,0,Birah,
300762,PS,0,Jinin,
300763,PS,0,Siris,
300764,PS,0,Sarta,
300765,PS,0,Dura,
300766,PS,0,Al Haram,
300767,PS,0,Ash Shumaysani,
300768,PS,0,Halhul,
300769,PS,0,Rafa,
300770,PS,0,Silwad,
300771,PS,0,Salfit,
300772,PS,0,Deir Dibwan,
300773,PS,0,Biddya,
300774,PS,0,Abasan,
300775,PS,0,Ram Allah,
300776,PS,0,Rafat,
300777,PS,0,Yatta,
300778,PS,0,Qabatiya,
300779,PS,0,Nabulus,
300780,PS,0,Al Birah,
300781,PS,0,Rahm Alla,
300782,PS,0,Har Gillo,
300783,PS,0,Bayt Fajjar,
300784,PS,0,Khirbat Um Et Tala`,
300785,PS,0,Abu Qash,
300786,PS,0,Ramot Allon,
300787,PS,0,Khirbat Kufin,
300788,PS,0,Rachelim,
300789,PS,0,Bir Zeit,
300790,PS,0,Qalqilyah,
300791,PS,0,Kafr Rumman,
300792,PS,0,Khirbat Ad Dayr,
300793,PS,0,An Nabi Salih,
300794,PS,0,Ma`ale Levona,
300795,PS,0,Mazor Atiqa,
300796,PS,0,Nuseirat,
300797,PS,0,Bil`in,
300798,PS,0,Dayr Nizam,
300799,PS,0,Ain `atara,
300800,PS,0,Rama,
300801,PS,0,Baytuniya,
300802,PS,0,Yefe Nof,
300803,PS,0,Burin,
300804,PS,0,Qabatye,
300805,PS,0,Idnah,
300806,PS,0,Burj El Baiyara,
300807,PS,0,`aynabus,
300808,PS,0,Ar Ram,
300809,PS,0,Idna,
300810,PS,0,Kear Darom,
300811,PS,0,Bethléem,
300812,PS,0,Ma`ale Mikhmas,
300813,PS,0,Bayt Iksa,
300814,PS,0,Keram,
300815,PS,0,Kafr Ra`i,
300816,PS,0,Khirbat Safah,
300817,PS,0,Maysalun,
300818,PS,0,Bayt Jala,
300819,PS,0,Biddiya,
300820,PS,0,Bayt Lahm,
300821,PS,0,Jabaliya,
300822,PS,0,`azza,
300823,PS,0,Burbam,
300824,PS,0,Al Khalil,
300825,PS,0,Tammun,
300826,PS,0,Ma`alot Dafna,
300827,PS,0,`atarot,
300828,PS,0,Ma`ale Adumin,
300829,PS,0,Salem,
300830,PS,GZ,Gaza,
300831,PS,0,Hizma,
300832,PS,0,Ir David,
