locId,country,region,city,postcode
300833,PT,,,
300834,PT,14,Lisboa,
300835,PT,14,Lisbon,
300836,PT,17,Maia,
300837,PT,14,Carnaxide,
300838,PT,17,Porto,
300839,PT,14,Amadora,
300840,PT,14,Pontinha,
300841,PT,18,Constância,
300842,PT,19,Almada,
300843,PT,4,Braga,
300844,PT,17,Gaia,
300845,PT,5,Bragança,
300846,PT,18,Abrantes,
300847,PT,8,Avenida,
300848,PT,2,Águeda,
300849,PT,7,Coimbra,
300850,PT,8,Évora,
300851,PT,14,Oeiras,
300852,PT,17,Matosinhos,
300853,PT,14,Queluz,
300854,PT,21,Pereira,
300855,PT,23,Horta,
300856,PT,21,Trofa,
300857,PT,21,Vila Nova,
300858,PT,17,Oporto,
300859,PT,14,Torres Vedras,
300860,PT,13,Leiria,
300861,PT,17,Campo,
300862,PT,14,Cascais,
300863,PT,17,Valadares,
300864,PT,14,Banco,
300865,PT,14,Cacém,
300866,PT,2,Aveiro,
300867,PT,14,Bucelas,
300868,PT,9,Faro,
300869,PT,16,Portalegre,
300870,PT,9,Loulé,
300871,PT,14,Mem Martins,
300872,PT,4,Vale,
300873,PT,14,Sintra,
300874,PT,8,Alqueva,
300875,PT,14,Idanha,
300876,PT,14,Linda-a-velha,
300877,PT,7,Espírito Santo,
300878,PT,23,Ponta Delgada,
300879,PT,7,Vasco,
300880,PT,9,Rocha,
300881,PT,4,Casa,
300882,PT,14,Alcântara,
300883,PT,17,Vila Do Conde,
300884,PT,14,Parede,
300885,PT,4,Agro,
300886,PT,23,Norte,
300887,PT,14,Alfragide,
300888,PT,14,Sacavém,
300889,PT,6,Madeirã,
300890,PT,22,Viseu,
300891,PT,17,Ferreira,
300892,PT,17,Penafiel,
300893,PT,22,Caramulo,
300894,PT,4,Vizela,
300895,PT,19,Caparica,
300896,PT,9,Quarteira,
300897,PT,20,Viana Do Castelo,
300898,PT,17,Pedroso,
300899,PT,2,Gafanha Da Nazaré,
300900,PT,2,Cortegaça,
300901,PT,14,Algés,
300902,PT,21,Quintã,
300903,PT,7,Alentejo,
300904,PT,6,Alvaro,
300905,PT,10,Funchal,
300906,PT,6,Carvalhos,
300907,PT,7,Ordem,
300908,PT,19,Setúbal,
300909,PT,18,Tramagal,
300910,PT,14,Loures,
300911,PT,11,Açores,
300912,PT,4,Fafe,
300913,PT,17,Senhora Da Hora,
300914,PT,2,Vouga,
300915,PT,22,Forca,
300916,PT,14,Vila Franca De Xira,
300917,PT,21,Portela,
300918,PT,20,Aguiã,
300919,PT,22,Peneda,
300920,PT,14,Ericeira,
300921,PT,21,Póvoa,
300922,PT,3,Bens,
300923,PT,7,Costa,
300924,PT,18,Filhós,
300925,PT,14,Camarate,
300926,PT,2,Arcos,
300927,PT,14,Estoril,
300928,PT,17,Rio Tinto,
300929,PT,2,Sangalhos,
300930,PT,22,Vinhós,
300931,PT,9,Portimão,
300932,PT,22,Córdova,
300933,PT,17,Canidelo,
300934,PT,4,Oliveira,
300935,PT,17,Vila Nova De Gaia,
300936,PT,19,Sines,
300937,PT,17,Leça,
300938,PT,21,São Domingos,
300939,PT,14,Albarraque,
300940,PT,18,Madeiras,
300941,PT,2,Ílhavo,
300942,PT,23,Beira,
300943,PT,7,Carvalho,
300944,PT,22,Couto,
300945,PT,2,Rio Meão,
300946,PT,14,Linda-a-pastora,
300947,PT,14,Carregado,
300948,PT,19,Quinta Do Anjo,
300949,PT,14,Rana,
300950,PT,14,Rio De Mouro,
300951,PT,19,Aldeia De Paio Pires,
300952,PT,14,Terrugem,
300953,PT,4,Basto,
300954,PT,7,Figueira Da Foz,
300955,PT,17,Lordelo,
300956,PT,18,Rio Maior,
300957,PT,11,Torre,
300958,PT,11,Guarda,
300959,PT,5,Mirandela,
300960,PT,22,Ribeiro,
300961,PT,19,Barreiro,
300962,PT,13,Marinha Grande,
300963,PT,4,Guimarães,
300964,PT,6,Covilhã,
300965,PT,2,Ovar,
300966,PT,3,Beja,
300967,PT,19,Palmela,
300968,PT,19,Azoia,
300969,PT,4,Ribeirão,
300970,PT,3,Odemira,
300971,PT,13,Pombal,
300972,PT,6,Rolã,
300973,PT,22,Loureiro,
300974,PT,7,Teixeira,
300975,PT,9,Tavira,
300976,PT,14,São Domingos De Rana,
300977,PT,3,Mesquita,
300978,PT,11,Famalicão,
300979,PT,17,Perafita,
300980,PT,2,Oliveira Do Bairro,
300981,PT,14,Silveira,
300982,PT,2,Escapães,
300983,PT,13,Infesta,
300984,PT,22,Mangualde,
300985,PT,17,Valongo,
300986,PT,17,Vila Nova Da Telha,
300987,PT,4,Conde,
300988,PT,14,Paço De Arcos,
300989,PT,17,Leça Da Palmeira,
300990,PT,22,Felgueiras,
300991,PT,9,Guiné,
300992,PT,11,Seia,
300993,PT,14,Azambuja,
300994,PT,22,Montes,
300995,PT,22,Moldes,
300996,PT,9,Estradas,
300997,PT,14,Montelavar,
300998,PT,7,Bonitos,
300999,PT,18,Santarém,
301000,PT,3,Castro Verde,
301001,PT,2,Avanca,
301002,PT,14,Bobadela,
301003,PT,2,Esmoriz,
301004,PT,2,Fiães,
301005,PT,17,Fajozes,
301006,PT,14,Alenquer,
301007,PT,17,Vermoim,
301008,PT,6,Castelo Branco,
301009,PT,2,São João Da Madeira,
301010,PT,20,Agros,
301011,PT,14,São João Da Talha,
301012,PT,13,Garcia,
301013,PT,4,Brito,
301014,PT,17,Gonçalves,
301015,PT,17,Argivai,
301016,PT,7,Caneiro,
301017,PT,20,Portos,
301018,PT,17,Fontainhas,
301019,PT,3,Neves,
301020,PT,2,Espinho,
301021,PT,17,Nogueira,
301022,PT,7,Carregosa,
301023,PT,19,Paio Pires,
301024,PT,14,Venda Do Pinheiro,
301025,PT,22,Nelas,
301026,PT,14,Famões,
301027,PT,14,Alverca,
301028,PT,17,São Mamede,
301029,PT,7,Avelar,
301030,PT,14,Vialonga,
301031,PT,18,Marta,
301032,PT,14,Ramada,
301033,PT,22,Corvo,
301034,PT,13,Alcobaça,
301035,PT,18,Tomar,
301036,PT,5,Meireles,
301037,PT,9,Mealha,
301038,PT,21,Vila Real,
301039,PT,4,Real,
301040,PT,13,Reguengo Do Fetal,
301041,PT,14,Queijas,
301042,PT,17,Gandra,
301043,PT,19,Macau,
301044,PT,18,Estação,
301045,PT,9,Albufeira,
301046,PT,20,Valença,
301047,PT,14,Trajouce,
301048,PT,17,Marco De Canavezes,
301049,PT,11,São Gabriel,
301050,PT,4,Pevidem,
301051,PT,14,Carcavelos,
301052,PT,4,Mota,
301053,PT,21,Barqueiros,
301054,PT,9,Concelho,
301055,PT,14,Barcarena,
301056,PT,11,Castanheira,
301057,PT,11,Cubo,
301058,PT,14,Abuxarda,
301059,PT,17,Santo Tirso,
301060,PT,5,Saldanha,
301061,PT,7,Bom Sucesso,
301062,PT,2,São João,
301063,PT,23,Angra,
301064,PT,21,Cortinhas,
301065,PT,2,Anadia,
301066,PT,17,Azevedo,
301067,PT,9,Castro Marim,
301068,PT,18,Entroncamento,
301069,PT,7,Cantanhede,
301070,PT,13,Peniche,
301071,PT,17,Avintes,
301072,PT,16,Alter Do Chão,
301073,PT,17,Valbom,
301074,PT,19,Alcochete,
301075,PT,3,Santa Iria,
301076,PT,17,Póvoa De Varzim,
301077,PT,14,Alcabideche,
301078,PT,9,Almancil,
301079,PT,20,Mozelos,
301080,PT,23,Belém,
301081,PT,18,Benfica,
301082,PT,17,Guifões,
301083,PT,2,Oliveira De Azemeis,
301084,PT,2,Arrifana,
301085,PT,2,Vila Chã,
301086,PT,2,Feira,
301087,PT,14,Milharado,
301088,PT,18,Fátima,
301089,PT,23,Praça,
301090,PT,2,Branca,
301091,PT,6,Ferro,
301092,PT,19,Corroios,
301093,PT,7,Atouguia,
301094,PT,8,Arraiolos,
301095,PT,2,Estarreja,
301096,PT,19,Moita,
301097,PT,7,Cavaleiros,
301098,PT,18,Cabo,
301099,PT,13,Caldas Da Rainha,
301100,PT,11,Almeida,
301101,PT,6,Belmonte,
301102,PT,19,Torre Da Marinha,
301103,PT,4,Marinhas,
301104,PT,17,Baguim Do Monte,
301105,PT,17,Paços De Ferreira,
301106,PT,14,Mafra,
301107,PT,19,Seixal,
301108,PT,13,Batalha,
301109,PT,17,Coronado,
301110,PT,14,Alcoitão,
301111,PT,7,Poiares,
301112,PT,22,Carregal Do Sal,
301113,PT,13,Marinha,
301114,PT,22,Prime,
301115,PT,9,Sagres,
301116,PT,22,Pinho,
301117,PT,4,Caldas,
301118,PT,7,Lousã,
301119,PT,13,Mendes,
301120,PT,4,Ponte,
301121,PT,2,Cacia,
301122,PT,22,Torredeita,
301123,PT,14,Odivelas,
301124,PT,17,Araújo,
301125,PT,17,Barros,
301126,PT,9,Olhão,
301127,PT,17,Grijó,
301128,PT,23,Lagoa,
301129,PT,13,Maceira,
301130,PT,2,Verdemilho,
301131,PT,9,Silves,
301132,PT,2,Costa Do Valado,
301133,PT,17,Boavista,
301134,PT,4,Joane,
301135,PT,4,Caldas De Vizela,
301136,PT,2,Albergaria-a-velha,
301137,PT,18,Coruche,
301138,PT,4,Calendário,
301139,PT,7,Sampaio,
301140,PT,19,Montijo,
301141,PT,4,Seide,
301142,PT,23,Portal,
301143,PT,17,Santa Cruz Do Bispo,
301144,PT,4,Barcelos,
301145,PT,8,Gato,
301146,PT,20,Melgaço,
301147,PT,13,Marques,
301148,PT,8,Estremoz,
301149,PT,4,Esposende,
301150,PT,6,Vila Velha De Ródão,
301151,PT,17,Marco De Canaveses,
301152,PT,4,Santa Maria,
301153,PT,2,Castelo De Paiva,
301154,PT,17,Moreira,
301155,PT,19,Alvalade,
301156,PT,22,Tondela,
301157,PT,9,Lagos,
301158,PT,22,Mortágua,
301159,PT,7,Abrunheira,
301160,PT,6,Boidobra,
301161,PT,22,Oleiros,
301162,PT,3,Ourique,
301163,PT,7,Montemor-o-velho,
301164,PT,9,Guia,
301165,PT,14,Engenheiro,
301166,PT,22,Santa Comba Dão,
301167,PT,18,Santos,
301168,PT,17,Carneiro,
301169,PT,7,Estrada,
301170,PT,7,Capelo,
301171,PT,18,Samora Correia,
301172,PT,8,Falcão,
301173,PT,13,Castanheira De Pêra,
301174,PT,16,Elvas,
301175,PT,3,Moura,
301176,PT,8,Montemor-o-novo,
301177,PT,4,Tamel,
301178,PT,22,Penalva Do Castelo,
301179,PT,2,Mealhada,
301180,PT,18,Salvador,
301181,PT,17,Telões,
301182,PT,17,Regilde,
301183,PT,19,Coina,
301184,PT,18,Besteiros,
301185,PT,11,Celorico Da Beira,
301186,PT,4,Pardieiro,
301187,PT,23,Anjos,
301188,PT,2,São Roque,
301189,PT,21,Paredes,
301190,PT,22,Pousada,
301191,PT,3,Estrela,
301192,PT,2,Alféloas,
301193,PT,18,Alcanena,
301194,PT,22,Santo Adrião,
301195,PT,17,Fânzeres,
301196,PT,17,Madalena,
301197,PT,7,Casal Da Areia,
301198,PT,14,Abóbada,
301199,PT,20,Lanhelas,
301200,PT,6,Sertã,
301201,PT,22,Coimbrões,
301202,PT,17,Arcozelo,
301203,PT,6,Alcoutim,
301204,PT,8,Redondo,
301205,PT,16,Camões,
301206,PT,22,Cimo De Vila,
301207,PT,17,Formiga,
301208,PT,17,Amorim,
301209,PT,11,Melo,
301210,PT,22,Espinhosa,
301211,PT,22,Lamas,
301212,PT,7,Alvares,
301213,PT,17,Carvalhosa,
301214,PT,14,Linhó,
301215,PT,18,Torres Novas,
301216,PT,14,Aboboda,
301217,PT,11,Sabugal,
301218,PT,18,Gondemaria,
301219,PT,7,Penacova,
301220,PT,22,Santiago,
301221,PT,2,Oliveirinha,
301222,PT,17,Bela Vista,
301223,PT,16,Monte Da Quinta,
301224,PT,2,Algar,
301225,PT,22,Lapa,
301226,PT,8,Amendoeira,
301227,PT,18,Parreira,
301228,PT,20,Pedrosa,
301229,PT,4,Apúlia,
301230,PT,11,Aldeia Nova,
301231,PT,13,Douro,
301232,PT,22,Casal,
301233,PT,17,Pedrouços,
301234,PT,23,Areeiro,
301235,PT,20,Ramo,
301236,PT,5,Morais,
301237,PT,21,Ermida,
301238,PT,7,Marinha Das Ondas,
301239,PT,17,Vilar Do Pinheiro,
301240,PT,7,Góis,
301241,PT,13,Carris,
301242,PT,14,Pero Pinheiro,
301243,PT,14,Barata,
301244,PT,4,Rego,
301245,PT,17,Canelas,
301246,PT,7,Pedrulha,
301247,PT,11,Vila Cortês,
301248,PT,18,Óbidos,
301249,PT,17,Penha Longa,
301250,PT,7,Murtede,
301251,PT,17,Gemunde,
301252,PT,21,Outeiro,
301253,PT,17,Vilar Do Paraíso,
301254,PT,6,Monfortinho,
301255,PT,7,Alqueidão,
301256,PT,11,Freixo,
301257,PT,14,Machado,
301258,PT,17,Gulpilhares,
301259,PT,14,Baleia,
301260,PT,22,Mundão,
301261,PT,2,Pampilhosa,
301262,PT,8,Portel,
301263,PT,14,Carnide,
301264,PT,16,Aires,
301265,PT,3,Mértola,
301266,PT,23,Brasil,
301267,PT,17,Árvore,
301268,PT,17,São Félix Da Marinha,
301269,PT,18,Santa Catarina,
301270,PT,8,Monte Alegre,
301271,PT,13,Vieira,
301272,PT,22,Vila,
301273,PT,14,Moscavide,
301274,PT,19,Barra Cheia,
301275,PT,16,Areia,
301276,PT,14,Santa Iria De Azoia,
301277,PT,6,Fundão,
301278,PT,7,Marco,
301279,PT,18,Alferrarede,
301280,PT,4,Vasconcelos,
301281,PT,23,Ponta,
301282,PT,14,Arranhó,
301283,PT,9,São Marcos,
301284,PT,8,Vendas Novas,
301285,PT,11,Castelo,
301286,PT,13,Martingança,
301287,PT,4,Neiva,
301288,PT,22,Felgueira,
301289,PT,22,Igreja,
301290,PT,14,Massamá,
301291,PT,2,Aguada De Cima,
301292,PT,10,Câmara De Lobos,
301293,PT,17,Mindelo,
301294,PT,10,Quinta Grande,
301295,PT,14,Sobral,
301296,PT,17,Senhora,
301297,PT,18,Almonda,
301298,PT,21,Paço,
301299,PT,4,Lago,
301300,PT,14,Aveiras De Cima,
301301,PT,9,São Brás De Alportel,
301302,PT,4,Areias De Vilar,
301303,PT,21,Vilar,
301304,PT,5,França,
301305,PT,6,Segura,
301306,PT,22,Resende,
301307,PT,17,Gondomar,
301308,PT,17,Penamaior,
301309,PT,7,Venda Nova,
301310,PT,17,Fonseca,
301311,PT,22,Lazarim,
301312,PT,18,Azinhaga,
301313,PT,2,Luso,
301314,PT,23,Facho,
301315,PT,3,Guerreiro,
301316,PT,22,Silvã,
301317,PT,6,Águas,
301318,PT,4,Guardizela,
301319,PT,21,Quintão,
301320,PT,18,Fonte Santa,
301321,PT,7,Cortiça,
301322,PT,7,Armazéns,
301323,PT,21,Frutuoso,
301324,PT,22,Amoreiras,
301325,PT,9,Colégio,
301326,PT,20,Cãis,
301327,PT,14,Lourinhã,
301328,PT,8,Forte,
301329,PT,20,Junto,
301330,PT,7,Lagoas,
301331,PT,8,Barbosa,
301332,PT,17,Portelinha,
301333,PT,14,Sete Rios,
301334,PT,23,Cruzeiro,
301335,PT,4,Padim Da Graça,
301336,PT,3,Panóias,
301337,PT,16,Dom Pedro,
301338,PT,11,Amoreira,
301339,PT,23,Praia Da Vitória,
301340,PT,14,Póvoa De Santa Iria,
301341,PT,9,Canada,
301342,PT,8,Defesa,
301343,PT,17,Alfena,
301344,PT,13,Benedita,
301345,PT,4,Lugar,
301346,PT,17,Athayde,
301347,PT,22,Tojal,
301348,PT,23,Ribeira Grande,
301349,PT,7,Cova,
301350,PT,17,Lousada,
301351,PT,17,Barca,
301352,PT,14,Ranholas,
301353,PT,17,Vilarinho,
301354,PT,8,Aguiar,
301355,PT,14,Montemor,
301356,PT,4,Este,
301357,PT,13,Colmeias,
301358,PT,13,Barosa,
301359,PT,7,Taveiro,
301360,PT,13,Bombarral,
301361,PT,11,Trinta,
301362,PT,7,Chamusca,
301363,PT,11,Pinheiro,
301364,PT,4,Mogege,
301365,PT,17,São Pedro Da Cova,
301366,PT,4,Grimancelos,
301367,PT,18,Carregueira,
301368,PT,14,Turcifal,
301369,PT,5,Guide,
301370,PT,14,Cabo Ruivo,
301371,PT,14,Belas,
301372,PT,13,Reis,
301373,PT,9,Budens,
301374,PT,2,Casal Comba,
301375,PT,17,Recarei,
301376,PT,21,Chaves,
301377,PT,7,Arroteia,
301378,PT,11,Prado,
301379,PT,17,Águas Santas,
301380,PT,14,Frielas,
301381,PT,4,Palme,
301382,PT,7,Tábua,
301383,PT,7,Mira,
301384,PT,23,Boa Hora,
301385,PT,11,Torres,
301386,PT,17,Devesas,
301387,PT,17,Carvalhido,
301388,PT,2,Metal,
301389,PT,22,Cunha,
301390,PT,21,Vilela,
301391,PT,11,Meios,
301392,PT,14,Vermelha,
301393,PT,13,Regueira De Pontes,
301394,PT,22,Cruz,
301395,PT,11,Vendas,
301396,PT,18,Cardigos,
301397,PT,23,São Francisco,
301398,PT,18,Benavente,
301399,PT,4,Caldas Das Taipas,
301400,PT,7,Casal Novo,
301401,PT,14,Cabra Figa,
301402,PT,14,Cruz Quebrada,
301403,PT,17,São Pedro Fins,
301404,PT,22,Vouzela,
301405,PT,18,Barrocas,
301406,PT,17,Amarante,
301407,PT,20,Caminha,
301408,PT,18,Ourém,
301409,PT,17,Cavaco,
301410,PT,22,Tarouca,
301411,PT,5,Castro,
301412,PT,5,Nunes,
301413,PT,8,Sousa,
301414,PT,14,Bairro Alto,
301415,PT,10,Caniço,
301416,PT,2,Bustos,
301417,PT,11,Figueiredo,
301418,PT,3,Serpa,
301419,PT,18,Golegã,
301420,PT,17,Anta,
301421,PT,2,Lourosa,
301422,PT,14,Póvoa De Santo Adrião,
301423,PT,14,Alcoentre,
301424,PT,14,Unhos,
