locId,country,region,city,postcode
304343,PY,,,
304344,PY,6,Asunción,
304345,PY,6,Fernando De La Mora,
304346,PY,11,Obligado,
304347,PY,11,Encarnación,
304348,PY,6,San Lorenzo,
304349,PY,1,Ciudad Del Este,
304350,PY,24,Loma Plata,
304351,PY,1,Hernandarias,
304352,PY,6,Luque,
304353,PY,11,Capitán Miranda,
304354,PY,13,Pilar,
304355,PY,1,Presidente Franco,
304356,PY,1,Santa Rita,
304357,PY,1,Los Cedrales,
304358,PY,6,Lambaré,
304359,PY,11,Hohenau,
304360,PY,6,Capiatá,
304361,PY,4,Caaguazú,
304362,PY,8,Eusebio Ayala,
304363,PY,8,Piribebuy,
304364,PY,8,Nueva Colombia,
304365,PY,10,Villarrica,
304366,PY,4,Coronel Oviedo,
304367,PY,6,Villa Elisa,
304368,PY,6,San Antonio,
304369,PY,5,Caazapá,
304370,PY,2,Bella Vista,
304371,PY,6,Nemby,
304372,PY,8,Caacupé,
304373,PY,7,Concepción,
304374,PY,6,Limpio,
304375,PY,6,Itá,
304376,PY,6,Ypane,
304377,PY,6,Mariano Roque Alonso,
304378,PY,19,Salto Del Guairá,
304379,PY,2,Pedro Juan Caballero,
304380,PY,16,Villa Hayes,
304381,PY,13,Alberdi,
304382,PY,6,Areguá,
304383,PY,1,Naranjal,
304384,PY,15,Quiindy,
304385,PY,11,Carmen Del Paraná,
304386,PY,6,Ypacarai,
304387,PY,11,Edelira,
304388,PY,11,Coronel Bogado,
304389,PY,24,Filadelfia,
304390,PY,8,Altos,
304391,PY,16,Puerto Elsa,
304392,PY,17,San Estanislao,
304393,PY,6,Villeta,
304394,PY,11,Assetadero,
304395,PY,11,Fram,
304396,PY,11,Cambyretá,
304397,PY,11,Capitán Meza,
304398,PY,8,San Bernardino,
304399,PY,15,Paraguarí,
304400,PY,6,Itauguá,
304401,PY,8,Tobatí,
304402,PY,6,Guarambaré,
304403,PY,15,Carapeguá,
304404,PY,11,La Paz,
304405,PY,5,Yataity,
304406,PY,12,Santa Rosa,
304407,PY,4,San José De Los Arroyos,
304408,PY,10,Independencia,
304409,PY,1,San Alberto,
304410,PY,11,Pirapo,
304411,PY,16,Benjamín Aceval,
304412,PY,15,Acahay,
304413,PY,17,Rosario,
304414,PY,5,Yuty,
304415,PY,11,Natalio,
304416,PY,8,Loma Grande,
304417,PY,10,Villa Rica,
304418,PY,8,Emboscada,
