locId,country,region,city,postcode
304419,QA,,,
304420,QA,1,Doha,
304421,QA,5,Wakra,
304422,QA,1,Al Wajba,
304423,QA,4,Lusail,
304424,QA,4,Khor,
304425,QA,3,An Nasraniyah,
304426,QA,1,Al Muntazah,
304427,QA,5,Wakrah,
304428,QA,5,Al Wukair,
304429,QA,3,Dukhan,
304430,QA,5,Al Wakrah,
304431,QA,1,Al Rayyan,
304432,QA,3,Umm Bab,
304433,QA,1,Rawdat Rashid,
304434,QA,1,Umm Ash Shubrum,
304435,QA,8,Ruwais,
304436,QA,1,Naeejeh,
304437,QA,3,Bi'r Al Husayn,
304438,QA,1,Al Markhiyah,
304439,QA,9,Al Khurayb,
304440,QA,1,Al Hilal Al Gharbiyah,
304441,QA,1,Ar Rayyan,
304442,QA,4,Sumaisma,
304443,QA,3,Qahahil,
304444,QA,4,Al Wasait,
304445,QA,1,Abu Hamur,
304446,QA,1,Raiyan,
304447,QA,10,Wakra,
304448,QA,6,Al Wajba,
304449,QA,13,Lusail,
304450,QA,13,Sumaisma,
304451,QA,6,Dukhan,
304452,QA,6,Ar Rayyan,
304453,QA,6,Al Rayyan,
304454,QA,10,Wakrah,
304455,QA,1,Ad Doha,
