locId,country,region,city,postcode
304456,RE,,,
304457,RE,0,Le Port,
304458,RE,0,Chaudron,
304459,RE,0,Cilaos,
304460,RE,0,Saint-joseph,
304461,RE,0,Salazie,
304462,RE,0,La Possession,
304463,RE,0,Saint-louis,
304464,RE,0,Saint-denis,
304465,RE,0,Saint-paul,
304466,RE,0,Les Trois-bassins,
304467,RE,0,Saint-leu,
304468,RE,0,Le Tampon,
304469,RE,0,Entre-deux,
304470,RE,0,Saint-pierre,
304471,RE,0,Sainte-marie,
304472,RE,0,Saline,
304473,RE,0,Saint Gilles,
304474,RE,0,Bras-panon,
304475,RE,0,Sainte-suzanne,
304476,RE,0,Saint-andré,
304477,RE,0,Sainte-clotilde,
304478,RE,0,Saint-benoît,
304479,RE,0,Le Guillaume,
304480,RE,0,La Rivière,
304481,RE,0,Bois De Nèfles,
304482,RE,0,Aurère,
304483,RE,0,La Montagne,
304484,RE,0,Saint-bernard,
304485,RE,0,Étang-salé,
304486,RE,0,Les Avirons,
304487,RE,0,La Plaine Des Cafres,
304488,RE,0,Piton,
304489,RE,0,La Saline,
304490,RE,0,Plate,
304491,RE,0,Avirons,
304492,RE,0,Bebour,
304493,RE,0,Sainte-anne,
304494,RE,0,La Plaine,
304495,RE,0,Ravine Des Cabris,
304496,RE,0,Etang,
304497,RE,0,Petite Île,
304498,RE,0,Sainte-rose,
304499,RE,0,Filaos,
304500,RE,0,La Bretagne,
304501,RE,0,La Plaine Des Palmistes,
304502,RE,0,Bellemène,
304503,RE,0,Bagatelle,
304504,RE,0,Pierrefonds,
304505,RE,0,Sainte-thérèse,
304506,RE,0,Saint-philippe,
304507,RE,0,L'Étang-salé,
304508,RE,0,Les Lianes,
304509,RE,0,Rivière,
304510,RE,0,Plaine Des Palmistes,
304511,RE,0,Bain,
304512,RE,0,Hermitage,
304513,RE,0,Fleurimont,
304514,RE,0,Éperon,
304515,RE,0,Cap Noir,
304516,RE,0,La Nouvelle,
304517,RE,0,Ravine à Malheur,
304518,RE,0,Îlet à Déjeuner,
304519,RE,0,Le Cap-les Hauts,
304520,RE,0,Maison Henou,
304521,RE,0,Makes,
304522,RE,0,Grand Bois,
304523,RE,0,Le Brûlé,
304524,RE,0,Camp De Pierrot,
304525,RE,0,Grande Chaloupe,
304526,RE,0,Le Bélier,
304527,RE,0,Grand Îlet,
304528,RE,0,Maison De L'enfance,
304529,RE,0,Îlet Bois-rouge,
304530,RE,0,Boucan Canot,
304531,RE,0,Grand Fond,
304532,RE,0,Îlet Des Lataniers,
304533,RE,0,Dos D'Âne,
304534,RE,0,Îlet Flamand,
304535,RE,0,Le Bras Creux,
304536,RE,0,Maison Moullan,
304537,RE,0,Îlet à Guillaume,
304538,RE,0,Bras Des Calumets,
304539,RE,0,Anse-les Bas,
304540,RE,0,Le Tévelave,
304541,RE,0,Mafatte,
304542,RE,0,Îlet Denise,
304543,RE,0,Ravine Du Pont,
304544,RE,0,Jean Petit,
304545,RE,0,Anse-les Hauts,
304546,RE,0,Union,
304547,RE,0,Stella,
304548,RE,0,Village Sainte Anne,
304549,RE,0,Bellevue,
304550,RE,0,La Chaloupe Saint-leu,
304551,RE,0,Saint-gilles-les Bains,
304552,RE,0,Montagne,
304553,RE,0,Bois-rouge,
304554,RE,0,Tampon,
304555,RE,0,Port,
304556,RE,0,Trois Bassins,
304557,RE,0,Possession,
304558,RE,0,Rivière Du Mât,
