locId,country,region,city,postcode
304559,RO,,,
304560,RO,38,Bucharest,
304561,RO,12,Turnu,
304562,RO,10,Bukarest,
304563,RO,23,Iasi,
304564,RO,10,Bucharest,
304565,RO,25,Baia Mare,
304566,RO,32,Satu Mare,
304567,RO,33,Sibiu,
304568,RO,13,Cluj,
304569,RO,13,Cluj-napoca,
304570,RO,36,Timisoara,
304571,RO,17,Craiova,
304572,RO,14,Constanta,
304573,RO,21,Hunedoara,
304574,RO,12,Resita,
304575,RO,42,Colibasi,
304576,RO,38,Dimitrie Cantemir,
304577,RO,9,Brasov,
304578,RO,4,Bacau,
304579,RO,8,Braila,
304580,RO,37,Tulcea,
304581,RO,1,Vîlcea,
304582,RO,2,Arad,
304583,RO,39,Valcea,
304584,RO,18,Galati,
304585,RO,30,Ploiesti,
304586,RO,7,Botosani,
304587,RO,3,Pitesti,
304588,RO,7,Alba,
304589,RO,1,Alba Iulia,
304590,RO,31,Zalau,
304591,RO,28,Piatra Neamt,
304592,RO,38,Roman,
304593,RO,32,Coca,
304594,RO,15,Catalina,
304595,RO,1,Beta,
304596,RO,41,Calarasi,
304597,RO,33,Victoria,
304598,RO,21,Deva,
304599,RO,6,Bistrita,
304600,RO,13,Kolozsvár,
304601,RO,30,Berceni,
304602,RO,29,Româna,
304603,RO,4,Traian,
304604,RO,5,Oradea,
304605,RO,5,Marghita,
304606,RO,16,Moreni,
304607,RO,34,Suceava,
304608,RO,27,Prod,
304609,RO,27,Targu-mures,
304610,RO,7,Iorga,
304611,RO,26,Turnu Severin,
304612,RO,11,Buzau,
304613,RO,2,Vladimirescu,
304614,RO,37,Sfântu Gheorghe,
304615,RO,8,Spiru Haret,
304616,RO,36,Buzias,
304617,RO,13,Mihai Viteazu,
304618,RO,32,Carei,
304619,RO,13,Turda,
304620,RO,39,Râmnicu Vâlcea,
304621,RO,40,Focsani,
304622,RO,16,Targoviste,
304623,RO,14,Cernavoda,
304624,RO,36,Pâncota,
304625,RO,27,Reghin,
304626,RO,4,Nicolae Balcescu,
304627,RO,15,Covasna,
304628,RO,41,Panduri,
304629,RO,38,Vaslui,
304630,RO,6,Matei,
304631,RO,36,Tirgoviste,
