locId,country,region,city,postcode
308778,RS,,,
308779,RS,2,Belgrade,
308780,RS,2,Subotica,
308781,RS,2,Beograd,
308782,RS,2,Novi Sad,
308783,RS,2,Becej,
308784,RS,2,Sremska Kamenica,
308785,RS,0,Beograd,
308786,RS,2,Zrenjanin,
308787,RS,2,Vrsac,
308788,RS,1,Niksic,
308789,RS,2,Kragujevac,
308790,RS,2,Kosovo,
308791,RS,0,Belgrade,
308792,RS,1,Podgorica,
308793,RS,2,Pristina,
308794,RS,2,Prishtinë,
308795,RS,2,Novi Beograd,
308796,RS,2,Smederevo,
308797,RS,2,Kula,
308798,RS,2,Pancevo,
308799,RS,2,Sremska Mitrovica,
308800,RS,2,Vrnjacka Banja,
308801,RS,2,Sombor,
308802,RS,2,Cacak,
308803,RS,2,Sabac,
308804,RS,2,Kanjiza,
308805,RS,2,Dardania,
308806,RS,2,Backa Palanka,
308807,RS,2,Ljutice,
308808,RS,2,Popovica,
308809,RS,2,Smederevska Palanka,
308810,RS,2,Vrbas,
308811,RS,2,Vranje,
308812,RS,2,Uzice,
308813,RS,2,Kikinda,
308814,RS,2,Pogled,
308815,RS,2,Senta,
308816,RS,2,Kosovska Mitrovica,
308817,RS,2,Prokuplje,
308818,RS,2,Ferizaj,
308819,RS,2,Gjakovë,
308820,RS,2,Backa Topola,
308821,RS,2,Leskovac,
308822,RS,2,Arilje,
308823,RS,2,Kraljevo,
308824,RS,2,Zajecar,
308825,RS,2,Popovac,
308826,RS,2,Krusevac,
308827,RS,2,Kursumlija,
308828,RS,2,Apatin,
308829,RS,2,Markovica,
308830,RS,2,Presevo,
308831,RS,2,Zvecan,
308832,RS,2,Vlasotince,
308833,RS,2,Pirot,
308834,RS,2,Celarevo,
308835,RS,2,Albanija,
308836,RS,2,Dushi,
308837,RS,2,Obrenovac,
308838,RS,2,Zemun,
308839,RS,2,Mionica,
308840,RS,2,Indjija,
308841,RS,2,Krnjevo,
308842,RS,2,Pozarevac,
308843,RS,2,Sevojno,
308844,RS,1,Mramor,
308845,RS,2,Valjevo,
308846,RS,2,Brus,
308847,RS,2,Petrovac,
308848,RS,2,Milanovac,
308849,RS,2,Gradska,
308850,RS,2,Loznica,
308851,RS,2,Cukarica,
308852,RS,2,Karadjordjevo,
308853,RS,2,Bela Palanka,
308854,RS,2,Cuprija,
308855,RS,2,Markovic,
308856,RS,2,Pozega,
308857,RS,2,Grocka,
308858,RS,2,Priboj,
308859,RS,2,Topola,
308860,RS,2,Prizren,
308861,RS,2,Simanovci,
308862,RS,1,Petrovic,
308863,RS,2,Backi Jarak,
308864,RS,2,Tosin Bunar,
308865,RS,2,Zeleznik,
308866,RS,2,Kucevo,
308867,RS,2,Kovin,
308868,RS,2,Kostolac,
308869,RS,2,Krnjesevci,
308870,RS,1,Rakovac,
308871,RS,2,Vojska,
308872,RS,2,Guca,
308873,RS,2,Crveni,
308874,RS,2,Barajevo,
308875,RS,2,Vrcin,
308876,RS,2,Nova Pazova,
308877,RS,2,Cesta,
308878,RS,2,Lazarevac,
308879,RS,2,Negotin,
308880,RS,2,Berisha,
308881,RS,2,Raca,
308882,RS,2,Idjos,
308883,RS,2,Milentija,
308884,RS,2,Dolovo,
308885,RS,2,Ruma,
308886,RS,2,Zatriq,
308887,RS,2,Zabari,
308888,RS,2,Vucje,
308889,RS,2,Paracin,
308890,RS,2,Kladovo,
308891,RS,2,Novi Pazar,
308892,RS,2,Bujanovac,
308893,RS,2,Gjilan,
308894,RS,2,Mitrovica,
308895,RS,2,Istog,
308896,RS,2,Pejë,
308897,RS,2,Music,
308898,RS,2,Gornji Milanovac,
308899,RS,2,Mladenovac,
308900,RS,2,Vreoci,
308901,RS,0,Pancevo,
308902,RS,0,Mitrovic,
308903,RS,0,Subotica,
308904,RS,2,Stara Pazova,
308905,RS,2,Besianë,
308906,RS,0,Obrenovac,
308907,RS,2,Sonta,
308908,RS,2,Soko Banja,
308909,RS,0,Novi Beograd,
308910,RS,1,Petnica,
308911,RS,2,Mataruska Banja,
308912,RS,2,Odzaci,
308913,RS,0,Novi Sad,
308914,RS,1,Kolonija,
308915,RS,2,Bela Crkva,
308916,RS,2,Beska,
308917,RS,2,Lebane,
308918,RS,2,Kovilj,
308919,RS,0,Jelen Do,
308920,RS,0,Nova Pazova,
308921,RS,2,Jagodina,
308922,RS,0,Vrbas,
308923,RS,2,Kovilovo,
308924,RS,0,Sonta,
308925,RS,0,Sremski Karlovci,
308926,RS,0,Simanovci,
308927,RS,0,Kikinda,
308928,RS,2,Bajina Basta,
308929,RS,2,Aleksinac,
308930,RS,2,Kosjeric,
308931,RS,0,Zemun,
308932,RS,0,Odzaci,
308933,RS,0,Ferizaj,
308934,RS,0,Viti,
308935,RS,2,Veternik,
308936,RS,0,Ljutice,
308937,RS,2,Mesarci,
308938,RS,2,Plandiste,
308939,RS,0,Cacak,
308940,RS,0,Ivanjica,
308941,RS,2,Temerin,
308942,RS,0,Stara Pazova,
308943,RS,0,Kula,
