locId,country,region,city,postcode
309834,RU,,,
309835,RU,54,Omsk,
309836,RU,59,Vladivostok,
309837,RU,48,Moscow,
309838,RU,69,Smolensk,
309839,RU,84,Korolëv,
309840,RU,67,Saratov,
309841,RU,48,Moscou,
309842,RU,39,Narva,
309843,RU,23,Kaliningrad,
309844,RU,66,Saint Petersburg,
309845,RU,88,Rostov,
309846,RU,66,Zelenogorsk,
309847,RU,13,Chelyabinsk,
309848,RU,59,Novgorod,
309849,RU,86,Voronezh,
309850,RU,57,Penza,
309851,RU,59,Kiev,
309852,RU,66,Sankt Petersburg,
309853,RU,25,Lva Tolstogo,
309854,RU,84,Volgograd,
309855,RU,81,Ulyanovsk,
309856,RU,30,Vyazemskaya,
309857,RU,53,Novosibirsk,
309858,RU,58,Almaz,
309859,RU,48,Moskau,
309860,RU,47,Domodedovo,
309861,RU,67,Moskva,
309862,RU,32,Surgut,
309863,RU,58,Perm,
309864,RU,70,Svobody,
309865,RU,35,Kudymkar,
309866,RU,85,Vologda,
309867,RU,39,Krasnoyarsk,
309868,RU,25,Ozersk,
309869,RU,88,Yaroslavl,
309870,RU,73,Kazan,
309871,RU,78,Tyumen,
309872,RU,23,Tushino,
309873,RU,47,Serpukhov,
309874,RU,47,Dubna,
309875,RU,30,Khabarovsk,
309876,RU,4,Barnaul,
309877,RU,53,Leningrad,
309878,RU,71,Yekaterinburg,
309879,RU,89,Birobijan,
309880,RU,84,Karpov,
309881,RU,21,Nogina,
309882,RU,85,Nova,
309883,RU,39,Minsk,
309884,RU,25,Spas,
309885,RU,72,Michurinsk,
309886,RU,72,Tambov,
309887,RU,63,Yakutsk,
309888,RU,25,Kaluga,
309889,RU,59,Pionerskaya,
309890,RU,39,Ural,
309891,RU,38,Sovetskaya,
309892,RU,72,Alfa,
309893,RU,65,Togliatti,
309894,RU,20,Irkutsk,
309895,RU,29,Kemerovo,
309896,RU,38,Sochi,
309897,RU,39,Norilsk,
309898,RU,47,Krasnogorsk,
309899,RU,42,Kommunar,
309900,RU,56,Step,
309901,RU,70,Kislovodskaya,
309902,RU,66,Petrograd,
309903,RU,61,Volgodonsk,
309904,RU,51,Nizhni Novgorod,
309905,RU,64,Pravda,
309906,RU,44,Magadan,
309907,RU,61,Voloshin,
309908,RU,46,Saransk,
309909,RU,58,Lysva,
309910,RU,38,Krasnodar,
309911,RU,76,Tula,
309912,RU,6,Arkhangelsk,
309913,RU,34,Syktyvkar,
309914,RU,49,Murmansk,
309915,RU,85,Cherepovets,
309916,RU,43,Lipetsk,
309917,RU,77,Tver,
309918,RU,30,Auri,
309919,RU,52,Vyatka,
309920,RU,83,Vladimir,
309921,RU,71,Pervouralsk,
309922,RU,86,Novovoronezh,
309923,RU,35,Piter,
309924,RU,75,Tomsk,
309925,RU,58,Bolshakova,
309926,RU,81,Sakhalin,
309927,RU,64,Yuzhno-sakhalinsk,
309928,RU,16,Cheboksary,
309929,RU,71,Sverdlovsk,
309930,RU,80,Izhevsk,
309931,RU,58,Korsakova,
309932,RU,67,Engels,
309933,RU,66,Pushkin,
309934,RU,38,Krasnoarmeyskaya,
309935,RU,68,Vladikavkaz,
309936,RU,32,Korp,
309937,RU,20,Ust-ilimsk,
309938,RU,38,Rossiyskiy,
309939,RU,82,Buryat,
309940,RU,69,Korolëva,
309941,RU,8,Sterlitamak,
309942,RU,11,Ulan-ude,
309943,RU,71,Pyshma,
309944,RU,63,Nikolay,
309945,RU,61,Kostikov,
309946,RU,55,Orsk,
309947,RU,40,Kurgan,
309948,RU,70,Stavropol,
309949,RU,38,Leningradskaya,
309950,RU,42,Pulkovo,
309951,RU,55,Orenburg,
309952,RU,13,Magnitogorsk,
309953,RU,38,Gogolya,
309954,RU,27,Cherkessk,
309955,RU,66,Sankt-peterburg,
309956,RU,61,Torgovyy,
309957,RU,64,Sani,
309958,RU,60,Pskov,
309959,RU,64,Alba,
309960,RU,25,Amur,
309961,RU,27,Arkhyz,
309962,RU,59,Svetloe,
309963,RU,81,Simbirsk,
309964,RU,10,Bryansk,
309965,RU,71,Serov,
309966,RU,84,Lebedev,
309967,RU,38,Mira,
309968,RU,59,Avangard,
309969,RU,47,Moskovskiy,
309970,RU,14,Chita,
309971,RU,73,Tagil,
309972,RU,38,Lenina,
309973,RU,84,Kamyshin,
309974,RU,29,Novokuznetsk,
309975,RU,62,Ryazan,
309976,RU,13,Miass,
309977,RU,29,Mezhdurechensk,
309978,RU,37,Kostroma,
309979,RU,1,Maykop,
309980,RU,47,Fryazino,
309981,RU,47,Lobnya,
309982,RU,45,Yoshkar-ola,
309983,RU,71,Sredneuralsk,
309984,RU,4,Altaisk,
309985,RU,76,Gorod,
309986,RU,38,Mirny,
309987,RU,28,Petrozavodsk,
309988,RU,84,Kirova,
309989,RU,38,Kaluzhskaya,
309990,RU,42,Kirishi,
309991,RU,47,Dolgoprudnyy,
309992,RU,84,Morskoy,
309993,RU,84,Petropavlovsk,
309994,RU,13,Kyshtym,
309995,RU,80,Sarapul,
309996,RU,80,Votkinsk,
309997,RU,72,Polkovaya,
309998,RU,35,Nekrasova,
309999,RU,86,Maslovka,
310000,RU,75,Gagarina,
310001,RU,39,Achinsk,
310002,RU,38,Lenin,
310003,RU,77,Ramenki,
310004,RU,59,Nakhodka,
310005,RU,50,Severnaya,
310006,RU,59,Kirovskiy,
310007,RU,5,Belogorsk,
310008,RU,87,Urengoy,
310009,RU,42,Vyborg,
310010,RU,61,Tsvetnoy,
310011,RU,53,Tolmachëvo,
310012,RU,17,Makhachkala,
310013,RU,61,Taganrog,
310014,RU,25,Svet,
310015,RU,71,Salda,
310016,RU,31,Abakan,
310017,RU,38,Frunze,
310018,RU,61,Semikarakorsk,
310019,RU,51,Tëplyy Stan,
310020,RU,53,Saturn,
310021,RU,30,Start,
310022,RU,42,Gatchina,
310023,RU,72,Kotovsk,
310024,RU,6,Archangelsk,
310025,RU,69,Sukhanova,
310026,RU,56,Orël,
310027,RU,25,Sheremetyevo,
310028,RU,71,Tyumenskaya,
310029,RU,84,Kraft,
310030,RU,41,Katerina,
310031,RU,69,Potash,
310032,RU,25,Polyanka,
310033,RU,44,Yana,
310034,RU,30,Tatarstan,
310035,RU,39,Tiny,
310036,RU,67,Marks,
310037,RU,20,Bratsk,
310038,RU,71,Malysheva,
310039,RU,84,Budennogo,
310040,RU,21,Ivanovo,
310041,RU,53,Sputnik,
310042,RU,38,Smolenskaya,
310043,RU,29,Saga,
310044,RU,84,Baranov,
310045,RU,79,Most,
310046,RU,16,Inel,
310047,RU,65,Chapaevsk,
310048,RU,39,Minusinsk,
310049,RU,38,Lunacharskogo,
310050,RU,38,Novorossisk,
310051,RU,58,Vavilova,
310052,RU,47,Solnechnogorsk,
310053,RU,79,Kyzyl,
310054,RU,41,Kursk,
310055,RU,42,Luga,
310056,RU,68,Nort,
310057,RU,6,Severodvinsk,
310058,RU,6,Archangel,
310059,RU,41,Zheleznogorsk,
310060,RU,38,Kavkaz,
310061,RU,85,Chaika,
310062,RU,25,Obninsk,
310063,RU,21,Komsomolsk,
310064,RU,4,Biysk,
310065,RU,11,Kamensk,
310066,RU,34,Pechora,
310067,RU,47,Chernogolovka,
310068,RU,38,Vestnik,
310069,RU,55,Krasnoyarskiy,
310070,RU,59,Primorskiy,
310071,RU,42,Vybor,
310072,RU,38,Vorontsovskaya,
310073,RU,13,Troitsk,
310074,RU,14,Tupik,
310075,RU,33,Moskovskaya,
310076,RU,4,Slavgorod,
310077,RU,42,Volkhov,
310078,RU,69,Dmitrovskoye,
310079,RU,62,Novomichurinsk,
310080,RU,64,Pilenga,
310081,RU,10,Star,
310082,RU,52,Polya,
310083,RU,33,Svoboda,
310084,RU,38,Tverskaya,
310085,RU,60,Velikie Luki,
310086,RU,65,Sakharov,
310087,RU,70,Pyatigorsk,
310088,RU,38,Primorye,
310089,RU,53,Musy,
310090,RU,84,Makarenko,
310091,RU,68,Orjonikidze,
310092,RU,67,Fisher,
310093,RU,67,Dubovaya,
310094,RU,75,Pisareva,
310095,RU,34,Koptyuga,
310096,RU,59,Vostok,
310097,RU,51,Dzerzhinsk,
310098,RU,64,Aton,
310099,RU,10,Petrovskogo,
310100,RU,60,Kubok,
310101,RU,60,Reshetnikova,
310102,RU,38,Dolgopolov,
310103,RU,38,Novy,
310104,RU,38,Koloss,
310105,RU,73,Veneta,
310106,RU,77,Luzhniki,
310107,RU,67,Mayak,
310108,RU,29,Promyshlennaya,
310109,RU,77,Runa,
310110,RU,67,Zolotoy,
310111,RU,5,Progress,
310112,RU,76,Sokolniki,
310113,RU,71,Zoloto,
310114,RU,47,Klin,
310115,RU,39,Kulakova,
310116,RU,47,Podolsk,
310117,RU,38,Tverskoy,
310118,RU,67,Nauka,
310119,RU,38,Kuban,
310120,RU,9,Belgorod,
310121,RU,73,Almetyevsk,
310122,RU,51,Ostankino,
310123,RU,35,Sibir,
310124,RU,53,Berdsk,
310125,RU,42,Mega,
310126,RU,83,Lisitsina,
310127,RU,42,More,
310128,RU,1,Melekhov,
310129,RU,80,Keldysh,
310130,RU,36,Korf,
310131,RU,63,Setun,
310132,RU,70,Limansky,
310133,RU,CI,Pervomayskaya,
310134,RU,24,Sidorenko,
310135,RU,29,Spassk,
310136,RU,39,Kamchatka,
310137,RU,5,Ukraina,
310138,RU,25,Krasny,
310139,RU,64,Trudovaya,
310140,RU,63,Kamenskaya,
310141,RU,4,Rubtsovsk,
310142,RU,3,Gorno-altaysk,
310143,RU,41,Kurchatov,
310144,RU,87,Salekhard,
310145,RU,22,Kabardino,
310146,RU,71,Sarana,
310147,RU,34,Ukhta,
310148,RU,33,Kirov,
310149,RU,52,Bereg,
310150,RU,70,Kniga,
310151,RU,25,Marina,
310152,RU,74,Zvereva,
310153,RU,87,Nadym,
310154,RU,33,Zarya,
310155,RU,84,Bolshoy,
310156,RU,73,Nizhnekamsk,
310157,RU,85,Novator,
310158,RU,80,Glazov,
310159,RU,47,Mozhaysk,
310160,RU,25,Koptevo,
310161,RU,48,Zelenograd,
310162,RU,7,Astrakhan,
310163,RU,52,Vinogradovo,
310164,RU,85,Yamskaya,
310165,RU,67,Shevchenko,
310166,RU,61,Krasnoyarskaya,
310167,RU,53,Plotnikova,
310168,RU,64,Prostornaya,
310169,RU,25,Semenovskaya,
310170,RU,51,Kstovo,
310171,RU,47,Rusa,
310172,RU,15,Avan,
310173,RU,32,Yugorsk,
310174,RU,27,Storozhevaya,
310175,RU,64,Uspenskoe,
310176,RU,75,Seversk,
310177,RU,62,Malaya Dmitrovka,
