locId,country,region,city,postcode
317192,SA,,,
317193,SA,10,Riyadh,
317194,SA,6,Jubail,
317195,SA,14,Jeddah,
317196,SA,14,Taif,
317197,SA,6,Khobar,
317198,SA,6,Al Khobar,
317199,SA,6,Dhahran,
317200,SA,6,Dammam,
317201,SA,6,Ras Tanura,
317202,SA,20,Tabouk,
317203,SA,14,Makkah,
317204,SA,6,Hofuf,
317205,SA,17,Abha,
317206,SA,17,Jazirah,
317207,SA,5,Yanbu Al Sinaiyah,
317208,SA,10,Riyad,
317209,SA,5,Hamra,
317210,SA,17,Jazira,
317211,SA,20,Tabuk,
317212,SA,10,Al Jazirah,
317213,SA,2,Salam,
317214,SA,10,Jarir,
317215,SA,6,Damman,
317216,SA,17,Rayyan,
317217,SA,14,Jiddah,
317218,SA,15,Lîne,
317219,SA,6,Zahran,
317220,SA,10,Yamamah,
317221,SA,14,Rabigh,
317222,SA,10,Yamama,
317223,SA,14,Khurmah,
317224,SA,14,Bisha,
317225,SA,5,Hasa,
317226,SA,14,Ruwais,
317227,SA,14,Doka,
317228,SA,6,Ar Rakah,
317229,SA,6,Tarut,
317230,SA,8,Buraydah,
317231,SA,14,Mecca,
317232,SA,6,Buqayq,
317233,SA,14,Ad Dahya',
317234,SA,6,Al-jubail,
317235,SA,14,Hadda',
317236,SA,6,Sayhat,
317237,SA,14,Al Lasafah,
317238,SA,6,Ad Dammam,
317239,SA,6,Nadinah,
317240,SA,6,Ghunan,
317241,SA,6,Ghizlan,
317242,SA,6,Safwah,
317243,SA,14,Az Zinan,
317244,SA,6,Al Faysaliyah,
317245,SA,14,Game,
317246,SA,6,Qatif,
317247,SA,6,Al Hufuf,
317248,SA,14,Al Balad,
317249,SA,6,AzÌ§ ZÌ§ahran,
317250,SA,17,Najran,
317251,SA,17,Samba,
317252,SA,6,Radwa,
317253,SA,10,Ruwaydah,
317254,SA,17,Khamis Mushayt,
317255,SA,6,Khafji,
317256,SA,17,Khamis Mushait,
317257,SA,10,Jalajil,
317258,SA,6,Al Qatif,
317259,SA,10,Ayn Ibn Fuhayd,
317260,SA,8,Rass,
317261,SA,5,Al Madina,
317262,SA,5,Medina,
317263,SA,17,Jazan,
317264,SA,6,Qarah,
317265,SA,10,Al Kharj,
317266,SA,10,Dilam,
317267,SA,20,Sakakah,
317268,SA,17,Jizan,
317269,SA,5,Al Madinah,
317270,SA,14,Khulais,
317271,SA,6,Thuqba,
317272,SA,17,Samta,
317273,SA,10,Al Yamama,
317274,SA,14,Rahman,
317275,SA,14,Mena,
317276,SA,6,Al Khubar,
317277,SA,6,Al `aziziyah,
317278,SA,5,Yanbu Industrial City,
317279,SA,10,Al Mubarraz,
317280,SA,17,Haqu,
317281,SA,10,Al Yamamah,
317282,SA,10,Al Madinah,
317283,SA,17,Shuqaiq,
317284,SA,6,Rahimah,
317285,SA,14,Aqiq,
317286,SA,17,Bahr,
317287,SA,6,Hufuf,
317288,SA,14,Makka,
317289,SA,8,Al Wadi,
317290,SA,8,Buraidah,
317291,SA,6,Hafar,
317292,SA,6,Saihat,
317293,SA,10,Al-rawda,
317294,SA,14,Tayif,
317295,SA,10,Samnan,
317296,SA,6,Udhailiyah,
317297,SA,17,Sabya,
317298,SA,10,Al Jubaila,
317299,SA,10,Qusur Al Muqbil,
317300,SA,10,Jabailah,
317301,SA,10,Ar Rabwah,
317302,SA,10,Bawdah,
317303,SA,17,Al Adh'dhah,
317304,SA,14,Asfan,
317305,SA,17,Darb,
317306,SA,10,Malqá,
317307,SA,6,Al Agrabiyak,
317308,SA,17,Sanad,
317309,SA,14,Salah,
317310,SA,17,Sulaiman,
317311,SA,6,Al Thaqbah,
317312,SA,13,Hafar,
317313,SA,6,Hafar Al Batin,
317314,SA,10,Al Faysaliyah,
317315,SA,6,Ibn Khaldun,
317316,SA,5,Madinat Yanbu` As Sina`iyah,
317317,SA,8,Khobara,
317318,SA,14,Abhur Al Janubiyah,
317319,SA,17,Khatib,
317320,SA,17,Raka,
317321,SA,13,Ash Sharqiyah,
317322,SA,6,Dahahron,
317323,SA,6,Al `awamiyah,
317324,SA,10,Jubaila,
317325,SA,10,Al Rawdah,
317326,SA,6,Al Jubayl,
317327,SA,6,Jubayl Al Bahri,
317328,SA,10,Shagra,
317329,SA,19,Duba,
317330,SA,6,Ash Shu`aybah,
317331,SA,10,Al `ammaj,
317332,SA,6,Ras At Tannura,
317333,SA,6,Jubayl,
317334,SA,13,Thuwal,
317335,SA,14,Ru'ays,
317336,SA,6,Al `aba,
317337,SA,10,Qasr,
317338,SA,17,Ramada,
317339,SA,20,Skâka,
317340,SA,6,Jubail Al Bahri,
317341,SA,13,Ha'il,
317342,SA,10,Marwan,
317343,SA,6,Qudaih,
317344,SA,17,Khaybar,
317345,SA,17,Gamra,
317346,SA,10,Tuwayq,
317347,SA,6,El Aba,
317348,SA,17,Dammari,
317349,SA,10,Al Malaz,
317350,SA,6,Manifa,
317351,SA,14,Ar Rihab,
317352,SA,6,El Ajam,
317353,SA,17,As Sabarin,
317354,SA,10,Jaddalah,
317355,SA,14,Baharah,
317356,SA,6,Ras Tannura,
317357,SA,14,At Ta'if,
317358,SA,14,As Sadar,
317359,SA,14,Jadat Al Bab,
317360,SA,17,Abalah,
317361,SA,5,Ar Rabad,
317362,SA,6,Tobi,
317363,SA,10,Aba Al Kibash,
317364,SA,14,Al Abar,
317365,SA,14,Mudiq,
317366,SA,17,Farasan,
317367,SA,17,Gran,
317368,SA,6,Safwa,
317369,SA,13,Hayat,
317370,SA,2,Maham,
317371,SA,10,Siyah,
317372,SA,6,Ainain,
317373,SA,10,Al Faruq,
317374,SA,19,Tabuk,
317375,SA,10,Al `uyaynah,
317376,SA,8,Thuwal,
317377,SA,11,Gran,
317378,SA,10,Sajir,
317379,SA,19,Tabouk,
317380,SA,8,Salam,
317381,SA,11,Sulaiman,
317382,SA,14,Raka,
317383,SA,8,Maham,
317384,SA,10,Deraya,
317385,SA,6,Bani Ma`n,
317386,SA,14,Shams,
317387,SA,6,Rufai`a,
317388,SA,11,Darb,
317389,SA,8,Rawdah,
317390,SA,6,Najmah,
317391,SA,10,Az Zahra',
317392,SA,14,Baljurashi,
317393,SA,5,Sultanah,
317394,SA,17,Damad,
317395,SA,10,Banban,
317396,SA,15,Ara`ar,
317397,SA,10,Huraymala,
317398,SA,6,Safaniya,
317399,SA,6,Abqaiq,
317400,SA,14,Jedda,
317401,SA,14,Jidda,
317402,SA,14,Jaddah,
317403,SA,10,Riad,
317404,SA,20,Sakaka,
317405,SA,14,Makkah Al Mukarramah,
317406,SA,10,Ar Riyad,
317407,SA,10,Ar Riyadh,
317408,SA,14,Gedda,
317409,SA,14,Makkah Al Mukarraman,
317410,SA,17,Gizán,
317411,SA,14,Mekka,
317412,SA,6,Sanabis,
317413,SA,14,Juddah,
317414,SA,6,Sihat,
317415,SA,10,Qasab,
317416,SA,6,Jish,
317417,SA,14,Al Bahah,
317418,SA,14,As Sabahani,
317419,SA,6,Al Khafji,
317420,SA,8,Buraida,
