locId,country,region,city,postcode
317434,SD,,,
317435,SD,29,Khartoum,
317436,SD,35,Malakal,
317437,SD,44,Juba,
317438,SD,27,Omdurman,
317439,SD,36,Port Sudan,
317440,SD,34,Abyei,
317441,SD,40,Bentiu,
317442,SD,27,Kurmuk,
317443,SD,45,Yambio,
317444,SD,29,Khartoum North,
317445,SD,37,Rumbek,
317446,SD,28,Torit,
317447,SD,54,Aweil,
317448,SD,27,Kab El Gidad,
317449,SD,52,Kassala,
317450,SD,27,Baqayr Al Warrani,
317451,SD,32,Raja,
317452,SD,26,Mabil,
317453,SD,33,Thabit,
317454,SD,27,Sudayrah Al Warraniyah,
317455,SD,29,Sheikh Habibullah,
317456,SD,29,Khartoun,
