locId,country,region,city,postcode
317457,SE,,,
317458,SE,26,Stockholm,
317459,SE,16,Norrköping,
317460,SE,27,Eslöv,
317461,SE,24,Nacka,
317462,SE,27,Malmö,
317463,SE,24,Väja,
317464,SE,26,Danderyd,
317465,SE,16,Mjölby,
317466,SE,26,Sollentuna,
317467,SE,18,Eskilstuna,
317468,SE,28,Askim,
317469,SE,23,Skellefteå,
317470,SE,27,Höganäs,
317471,SE,27,Helsingborg,
317472,SE,16,Haninge,
317473,SE,26,Tumba,
317474,SE,27,Perstorp,
317475,SE,18,Nyköping,
317476,SE,26,Solna,
317477,SE,10,Orsa,
317478,SE,28,Gothenburg,
317479,SE,26,Farsta,
317480,SE,3,Söderhamn,
317481,SE,28,Lidköping,
317482,SE,23,Umeå,
317483,SE,21,Uppsala,
317484,SE,2,Mörrum,
317485,SE,28,Mölndal,
317486,SE,27,Lomma,
317487,SE,26,Sköndal,
317488,SE,26,Tyresö,
317489,SE,28,Lane,
317490,SE,8,Jönköping,
317491,SE,3,Sandviken,
317492,SE,26,Sundbyberg,
317493,SE,12,Växjö,
317494,SE,26,Södertälje,
317495,SE,26,Täby,
317496,SE,21,Nydala,
317497,SE,27,Tofta,
317498,SE,22,Karlstad,
317499,SE,28,Göteborg,
317500,SE,3,Bollnäs,
317501,SE,5,Visby,
317502,SE,27,Trelleborg,
317503,SE,15,Örebro,
317504,SE,14,Boden,
317505,SE,9,Oskarshamn,
317506,SE,10,Borlänge,
317507,SE,28,Hagalund,
317508,SE,25,Norberg,
317509,SE,28,Falköping,
317510,SE,25,Morgongåva,
317511,SE,26,Johanneshov,
317512,SE,6,Kungsbacka,
317513,SE,28,Sävedalen,
317514,SE,6,Varberg,
317515,SE,24,Kramfors,
317516,SE,28,Limmared,
317517,SE,7,Hamburg,
317518,SE,16,Linköping,
317519,SE,26,Vällingby,
317520,SE,25,Västerås,
317521,SE,14,Luleå,
317522,SE,24,Sundsvall,
317523,SE,24,Ortviken,
317524,SE,26,Botkyrka,
317525,SE,28,Trollhättan,
317526,SE,21,Karö,
317527,SE,28,Alingsås,
317528,SE,26,Älvsjö,
317529,SE,14,Kiruna,
317530,SE,27,Elmhult,
317531,SE,25,Arboga,
317532,SE,6,Halmstad,
317533,SE,8,Hjältevad,
317534,SE,28,Skåpafors,
317535,SE,26,Kista,
317536,SE,9,Kalmar,
317537,SE,18,Studsvik,
317538,SE,21,Forsmark,
317539,SE,21,Östhammar,
317540,SE,28,Skara,
317541,SE,21,Storvreta,
317542,SE,5,Tomteboda,
317543,SE,16,Motala,
317544,SE,24,Örnsköldsvik,
317545,SE,28,Vänersborg,
317546,SE,28,Borås,
317547,SE,2,Svängsta,
317548,SE,15,Hallsberg,
317549,SE,3,Bergvik,
317550,SE,10,Avesta,
317551,SE,2,Karlskrona,
317552,SE,27,Bromma,
317553,SE,9,Vimmerby,
317554,SE,24,Östrand,
317555,SE,22,Charlottenberg,
317556,SE,26,Sundyberg,
317557,SE,6,Falkenberg,
317558,SE,26,Nykvarn,
317559,SE,26,Lidingö,
317560,SE,18,Strängnäs,
317561,SE,8,Tranås,
317562,SE,7,Östersund,
317563,SE,28,Skövde,
317564,SE,7,Tandsbyn,
317565,SE,27,Lund,
317566,SE,23,Malå,
317567,SE,25,Brättberg,
317568,SE,28,Västra Frölunda,
317569,SE,10,Leksand,
317570,SE,28,Bohus,
317571,SE,26,Gustavsberg,
317572,SE,25,Heby,
317573,SE,14,Töre,
317574,SE,3,Edsbyn,
317575,SE,15,Karlskoga,
317576,SE,14,Kalix,
317577,SE,10,Malung,
317578,SE,26,Väsby,
317579,SE,8,Vaggeryd,
317580,SE,14,Arvidsjaur,
317581,SE,23,Robertsfors,
317582,SE,15,Hällefors,
317583,SE,22,Torsby,
317584,SE,26,Hägersten,
317585,SE,28,Kristineberg,
317586,SE,27,Örkelljunga,
317587,SE,25,Backa,
317588,SE,10,Vansbro,
317589,SE,18,Flen,
317590,SE,16,Vadstena,
317591,SE,28,Vårgårda,
317592,SE,9,Påskallavik,
317593,SE,26,Nynäshamn,
317594,SE,22,Hagfors,
317595,SE,25,Hammarby,
317596,SE,27,Kristianstad,
317597,SE,14,Kilberg,
317598,SE,10,Gustav,
317599,SE,28,Tranemo,
317600,SE,6,Laholm,
317601,SE,27,Grevie,
317602,SE,2,Sölvesborg,
317603,SE,14,Övertorneå,
317604,SE,14,Älvsbyn,
317605,SE,27,Spånga,
317606,SE,28,Stenungsund,
317607,SE,15,Storå,
317608,SE,3,Färila,
317609,SE,24,Sollefteå,
317610,SE,15,Lindesberg,
317611,SE,10,Falun,
317612,SE,24,Timrå,
317613,SE,28,Kungälv,
317614,SE,23,Svanström,
317615,SE,28,Henån,
317616,SE,28,Mariestad,
317617,SE,28,Billdal,
317618,SE,8,Huskvarna,
317619,SE,27,Barsebäck,
317620,SE,28,Vara,
317621,SE,25,Kungsör,
317622,SE,28,Mullsjö,
317623,SE,28,Horred,
317624,SE,27,Ystad,
317625,SE,10,Smedjebacken,
317626,SE,23,Plan,
317627,SE,28,Svenljunga,
317628,SE,27,Hässleholm,
317629,SE,26,Skärholmen,
317630,SE,14,Haparanda,
317631,SE,27,Klippan,
317632,SE,22,Säffle,
317633,SE,8,Vetlanda,
317634,SE,26,Enskede,
317635,SE,22,Skane,
317636,SE,3,Gävle,
317637,SE,26,Sigtuna,
317638,SE,25,Sala,
317639,SE,7,Sveg,
317640,SE,28,Mölnlycke,
317641,SE,2,Ronneby,
317642,SE,25,Virsbo,
317643,SE,9,Järnforsen,
317644,SE,26,Norrtälje,
317645,SE,9,Hultsfred,
317646,SE,28,Partille,
317647,SE,8,Nässjö,
317648,SE,28,Sandvik,
317649,SE,22,Rör,
317650,SE,24,Mark,
317651,SE,7,Hackås,
317652,SE,24,Härnösand,
317653,SE,12,Markaryd,
317654,SE,3,Värmland,
317655,SE,26,Sjöberg,
317656,SE,10,Hedemora,
317657,SE,26,Åkersberga,
317658,SE,28,Bollebygd,
317659,SE,21,Knivsta,
317660,SE,28,Hamn,
317661,SE,3,Hassela,
317662,SE,28,Skene,
317663,SE,26,Trångsund,
317664,SE,14,Jokkmokk,
317665,SE,9,Västervik,
317666,SE,28,Åmål,
317667,SE,14,Piteå,
317668,SE,7,Birka,
317669,SE,12,Tingsryd,
317670,SE,22,Skog,
317671,SE,8,Aneby,
317672,SE,8,Hylte,
317673,SE,18,Gnesta,
317674,SE,25,Fagersta,
317675,SE,28,Skärhamn,
317676,SE,21,Enköping,
317677,SE,9,Gunnebo,
