locId,country,region,city,postcode
323569,SG,,,
323570,SG,0,Singapore,
323571,SG,0,Jurong,
323572,SG,0,Ayer Rajah,
323573,SG,0,Yishun,
323574,SG,0,Sembawang,
323575,SG,0,Changi,
323576,SG,0,Jurong Town,
323577,SG,0,Tuas,
323578,SG,0,Alexandra,
323579,SG,0,Boon Lay,
323580,SG,0,Woodlands,
323581,SG,0,Kallang,
323582,SG,0,Serangoon,
323583,SG,0,Bukit Batok,
323584,SG,0,Pasir Panjang,
323585,SG,0,Ang Mo Kio,
323586,SG,0,Holland,
323587,SG,0,Tampines,
323588,SG,0,Thomson,
323589,SG,0,Kent Ridge,
323590,SG,0,Bedok,
323591,SG,0,City West,
323592,SG,0,Tai Seng,
323593,SG,0,Simei,
323594,SG,0,Toa Payoh,
323595,SG,0,Clementi,
323596,SG,0,Choa Chu Kang,
323597,SG,0,Pasir Ris,
323598,SG,0,Jurong East,
323599,SG,0,Bukit Panjang,
323600,SG,0,Tanjong Pagar,
323601,SG,0,Paya Lebar,
323602,SG,0,King Albert Park,
323603,SG,0,Bukit Timah,
323604,SG,0,Jurong West,
323605,SG,0,Tanglin,
323606,SG,0,Ghim Moh,
323607,SG,0,Holland Village,
323608,SG,0,Nee Soon,
323609,SG,0,Hong Leong Garden,
323610,SG,0,Hume Heights,
323611,SG,0,Eng Khong Gardens,
323612,SG,0,Kilburn Estate,
323613,SG,0,Seletar,
323614,SG,0,Kampong Pulau Kechil,
323615,SG,0,Kampong Bahru,
323616,SG,0,Kampong Mandai Kechil,
323617,SG,0,Queenstown,
323618,SG,0,Tanglin Halt,
323619,SG,0,Sembawang Estate,
323620,SG,0,Hougang New Town,
323621,SG,0,Punggol,
323622,SG,0,Medway Park,
323623,SG,0,Yew Tee,
323624,SG,0,Yio Chu Kang,
323625,SG,0,Buona Vista,
323626,SG,0,Kampong Ubi,
323627,SG,0,Kampong Chantek Baharu,
323628,SG,0,Lim Chu Kang,
323629,SG,0,Marsiling,
323630,SG,0,Kampong Tanjong Irau,
323631,SG,0,Keat Hong,
323632,SG,0,Tampines New Town,
323633,SG,0,Jalan Kayu,
323634,SG,0,Kampong Wak Hassan,
323635,SG,0,Adam Park,
323636,SG,0,Geylang Serai,
323637,SG,0,Faber Hills,
323638,SG,0,Kembangan,
323639,SG,0,Eden Park,
323640,SG,0,Tiong Baharu,
323641,SG,0,Tiong Bahru Estate,
323642,SG,0,Ang Mo Kio New Town,
323643,SG,0,East View Garden,
323644,SG,0,Woodlands New Town,
323645,SG,0,Punggol Village,
323646,SG,0,Jurong Village,
323647,SG,0,Saint Michael's Estate,
323648,SG,0,Singapore United Plantation,
323649,SG,0,Springleaf Park,
323650,SG,0,Kampong Chai Chee,
323651,SG,0,Yishun New Town,
323652,SG,0,Mandai,
323653,SG,0,Bedok New Town,
323654,SG,0,Seletar Hills Estate,
323655,SG,0,Kampong Pasir Ris,
323656,SG,0,Serangoon New Town,
323657,SG,0,Kampong Radin Mas,
323658,SG,0,Kampong Jagoh,
323659,SG,0,Bukit Panjang Estate,
323660,SG,0,Telok Blangah Estate,
323661,SG,0,Kampong Blukang,
323662,SG,0,Marine Parade Estate,
323663,SG,0,Bukit Merah Estate,
323664,SG,0,Pasir Ris New Town,
323665,SG,0,Bedok Village,
323666,SG,0,Wessex Estate,
323667,SG,0,Bukit Batok New Town,
323668,SG,0,Kampong Ladang,
323669,SG,0,Tian Guan Estate,
323670,SG,0,Ban Guan Park,
323671,SG,0,Mayflower Estate,
323672,SG,0,Sin Watt Estate,
323673,SG,0,Bishan New Town,
323674,SG,0,Rose Garden,
323675,SG,0,Kampong Telok,
323676,SG,0,Outram Park,
323677,SG,0,Bright Hill Crescent,
323678,SG,0,Rochester Park,
323679,SG,0,Toa Payoh New Town,
323680,SG,0,Mount Rosie,
323681,SG,0,Jurong West New Town,
323682,SG,0,Clementi Housing Estate,
323683,SG,0,Eastern Gardens,
323684,SG,0,Kampong Bugis,
323685,SG,0,Alexandra Estate,
323686,SG,0,Perseverance Estate,
323687,SG,0,Tampines Estate,
323688,SG,0,Kalang,
323689,SG,0,Bukit Timah Estate,
323690,SG,0,Hillcrest Park,
323691,SG,0,Kampong Teban,
323692,SG,0,Somapah Serangoon,
323693,SG,0,Tuas Village,
323694,SG,0,Old Kallang Airport Estate,
323695,SG,0,Boon Lay Resettlement Area,
323696,SG,0,West Coast Village,
323697,SG,0,Jurong East New Town,
323698,SG,0,Punggol Estate,
323699,SG,0,Queenstown Estate,
323700,SG,0,Race Course Village,
323701,SG,0,Raffles Park,
323702,SG,0,Kaki Bukit Estate,
323703,SG,0,Lim Chu Kang Estate,
323704,SG,0,Sembawang Village,
323705,SG,0,Bukit Mandai Village,
323706,SG,0,Serangoon Garden Estate,
323707,SG,0,Choa Chu Kang New Town,
323708,SG,0,Clementi New Town,
323709,SG,0,Changi Village,
323710,SG,0,Simei Estate,
323711,SG,0,Geylang Serai Village,
323712,SG,0,Kim Chuan,
323713,SG,0,Bajau Estate,
323714,SG,0,Nepal Park,
323715,SG,0,Havelock Estate,
323716,SG,0,Kampong Java Teban,
323717,SG,0,Bukit Panjang New Town,
323718,SG,0,Siew Lim Park,
323719,SG,0,Aik Hong And Aik Chiang Estate,
323720,SG,0,Sungei Simpang Village,
323721,SG,0,Jurong New Town,
323722,SG,0,Simpang Bedok,
323723,SG,0,Ang Mo Kio Village,
323724,SG,0,Sea View Estate,
