locId,country,region,city,postcode
323767,SI,,,
323768,SI,4,Slap Ob Idrijci,
323769,SI,4,Kranj,
323770,SI,4,Ljubljana,
323771,SI,4,Trzin,
323772,SI,4,Idrija,
323773,SI,9,Maribor,
323774,SI,4,Brnik,
323775,SI,9,Polje,
323776,SI,9,Celje,
323777,SI,4,Domzale,
323778,SI,4,Portoroz,
323779,SI,9,Slovenj Gradec,
323780,SI,4,Novo Mesto,
323781,SI,9,Velenje,
323782,SI,4,Skofja Loka,
323783,SI,4,Nova Gorica,
323784,SI,4,Metlika,
323785,SI,4,Semic,
323786,SI,4,Koper,
323787,SI,4,Trebnje,
323788,SI,9,Slovenska Bistrica,
323789,SI,9,Brestanica,
323790,SI,4,Radovljica,
323791,SI,9,Murska Sobota,
323792,SI,9,Krsko,
323793,SI,4,Menges,
323794,SI,4,Grosuplje,
323795,SI,4,Izlake,
323796,SI,9,Petrovce,
323797,SI,9,Ruse,
323798,SI,4,Litija,
323799,SI,9,Store,
323800,SI,4,Jesenice,
323801,SI,9,Zalec,
323802,SI,4,Zagorje,
323803,SI,4,Kropa,
323804,SI,9,Zrece,
323805,SI,9,Smarje Pri Jelsah,
323806,SI,4,Kamnik,
323807,SI,4,Izola,
323808,SI,4,Crnomelj,
323809,SI,4,Valdoltra,
323810,SI,4,Medvode,
323811,SI,9,Sladki Vrh,
323812,SI,4,Sava,
323813,SI,4,Dragatus,
323814,SI,4,Rudnik,
323815,SI,4,Piran,
323816,SI,4,Tolmin,
323817,SI,9,Lendava,
323818,SI,9,Bistrica Ob Sotli,
323819,SI,4,Dekani,
323820,SI,9,Crensovci,
323821,SI,4,Zgornje Gorje,
323822,SI,4,Bled,
323823,SI,9,Kungota,
323824,SI,9,Brezovica,
323825,SI,4,Luce,
323826,SI,9,Puconci,
323827,SI,4,Sezana,
323828,SI,9,Sveta Trojica,
323829,SI,4,Ravne,
323830,SI,9,Trbovlje,
323831,SI,9,Ptuj,
323832,SI,9,Sevnica,
323833,SI,4,Naklo,
323834,SI,4,Postojna,
323835,SI,4,Ajdovscina,
323836,SI,9,Brezice,
323837,SI,4,Cerknica,
323838,SI,4,Zagorje Ob Savi,
323839,SI,9,Vinica,
323840,SI,9,Dravograd,
323841,SI,9,Lasko,
323842,SI,9,Lenart,
323843,SI,9,Radlje Ob Dravi,
323844,SI,9,Rogaska Slatina,
323845,SI,4,Kozina,
323846,SI,4,Kocevje,
323847,SI,9,Mozirje,
323848,SI,9,Ormoz,
323849,SI,4,Trzic,
323850,SI,4,Vrhnika,
323851,SI,9,Podplat,
323852,SI,9,Radece,
323853,SI,9,Pesnica Pri Mariboru,
323854,SI,4,Sempeter,
323855,SI,9,Sentjur,
323856,SI,4,Ilirska Bistrica,
323857,SI,9,Ljutomer,
323858,SI,4,Dol Pri Ljubljani,
323859,SI,4,Ribnica,
323860,SI,4,Logatec,
323861,SI,9,Videm,
323862,SI,9,Mislinja,
323863,SI,4,Mirna,
323864,SI,9,Velika Nedelja,
323865,SI,4,Velike Brusnice,
323866,SI,9,Cerklje Ob Krki,
323867,SI,9,Leskovec,
323868,SI,9,Gornja Radgona,
323869,SI,9,Grize,
323870,SI,9,Planina,
323871,SI,4,Most Na Soci,
323872,SI,9,Skocjan,
323873,SI,4,Cerkno,
323874,SI,9,Radenci,
323875,SI,4,Materija,
323876,SI,9,Vransko,
323877,SI,9,Cerklje,
323878,SI,4,Mokronog,
323879,SI,4,Veliki Gaber,
323880,SI,9,Sentjernej,
323881,SI,4,Preddvor,
323882,SI,9,Hoce,
323883,SI,9,Braslovce,
323884,SI,4,Straza,
323885,SI,4,Gorice,
323886,SI,4,Zelezniki,
323887,SI,4,Miren,
323888,SI,4,Gorica,
323889,SI,9,Crna Na Koroskem,
323890,SI,9,Vitanje,
323891,SI,9,Vuzenica,
323892,SI,9,Prevalje,
323893,SI,9,Vojnik,
323894,SI,9,Muta,
323895,SI,9,Dol Pri Hrastniku,
323896,SI,4,Lukovica,
