locId,country,region,city,postcode
325557,SK,,,
325558,SK,2,Bratislava,
325559,SK,6,NovÈ Mesto Nad V·hom,
325560,SK,3,NovÈ Mesto,
325561,SK,2,Lozorno,
325562,SK,1,Bansk· Bystrica,
325563,SK,8,Zilina,
325564,SK,3,Kosice,
325565,SK,6,Skalica,
325566,SK,7,Smolenice,
325567,SK,4,NovÈ Z·mky,
325568,SK,5,Rohoznik,
325569,SK,8,Ruzomberok,
325570,SK,4,Hurbanovo,
325571,SK,6,Star· Tur·,
325572,SK,6,Trencin,
325573,SK,8,Povazska Bystrica,
325574,SK,7,Piestany,
325575,SK,7,Banka,
325576,SK,7,Trnava,
325577,SK,4,Nitra,
325578,SK,8,Martin,
325579,SK,1,Prievidza,
325580,SK,1,Liptovsky Mikulas,
325581,SK,1,Zvolen,
325582,SK,5,Presov,
325583,SK,3,Michalovce,
325584,SK,5,Star· Lesn·,
325585,SK,5,Tatransk· Lomnica,
325586,SK,1,Liptovsk˝ Hr·dok,
325587,SK,6,Dubnica,
325588,SK,7,Senica,
325589,SK,2,Stupava,
325590,SK,4,Sala,
325591,SK,2,Malacky,
325592,SK,5,Poprad,
325593,SK,4,Sturovo,
325594,SK,1,Podbrezov·,
325595,SK,3,Trebisov,
325596,SK,5,Bardejov,
325597,SK,1,Ziar Nad Hronom,
325598,SK,2,Samorin,
325599,SK,8,Doln˝ KubÌn,
325600,SK,3,Strazske,
325601,SK,1,HlinÌk Nad Hronom,
325602,SK,4,Topolcany,
325603,SK,8,Cadca,
325604,SK,8,Bystrica,
325605,SK,6,Bojnice,
325606,SK,2,Dunajsk· Streda,
325607,SK,7,Bahon,
325608,SK,2,Velke Levare,
325609,SK,5,SvidnÌk,
325610,SK,7,Casta,
325611,SK,1,Brezno,
325612,SK,1,Lucenec,
325613,SK,1,Rimavsk· Sobota,
325614,SK,6,Banovce,
325615,SK,7,Galanta,
325616,SK,4,Levice,
325617,SK,1,Velky Krtis,
325618,SK,7,BlatnÈ,
325619,SK,8,N·mestovo,
325620,SK,1,Rev˙ca,
325621,SK,8,Ziar,
325622,SK,3,HumennÈ,
325623,SK,5,Kezmarok,
325624,SK,3,Roznava,
325625,SK,5,Spisska Nova Ves,
325626,SK,5,Stara Lubovna,
325627,SK,5,Vranov,
325628,SK,4,Kom·rno,
325629,SK,1,Handlov·,
325630,SK,8,P˙chov,
325631,SK,5,Krompachy,
325632,SK,1,Strbske Pleso,
325633,SK,7,Hlohovec,
325634,SK,2,Pezinok,
325635,SK,2,Velky Meder,
325636,SK,8,KysuckÈ NovÈ Mesto,
325637,SK,4,Vr·ble,
325638,SK,6,Partiz·nske,
325639,SK,1,Kremnica,
325640,SK,1,Vinica,
325641,SK,2,Sastin,
325642,SK,1,Nov· Ves,
325643,SK,8,Bytca,
325644,SK,4,Dudince,
325645,SK,2,Moravsk˝ Sv‰t˝ J·n,
325646,SK,4,Sahy,
325647,SK,1,Horn· Lehota,
325648,SK,3,Rakovec Nad Ondavou,
325649,SK,8,Doln˝ Lieskov,
325650,SK,8,Jelsava,
325651,SK,2,Senec,
325652,SK,7,Nizna,
325653,SK,3,Hencovce,
325654,SK,8,Rajec,
325655,SK,5,Batizovce,
325656,SK,1,Vyhne,
325657,SK,1,Pliesovce,
325658,SK,1,Turcianske Teplice,
325659,SK,8,Rajeck· Lesn·,
325660,SK,6,Nov· Dubnica,
325661,SK,6,Dubnica Nad V·hom,
325662,SK,1,Sliac,
325663,SK,5,Sabinov,
325664,SK,5,Svit,
325665,SK,4,NovÈ Sady,
325666,SK,4,ZlatÈ Moravce,
325667,SK,5,Giraltovce,
325668,SK,1,Tisovec,
325669,SK,7,Vieska,
325670,SK,2,K˙ty,
325671,SK,1,Polt·r,
325672,SK,1,Zarnovica,
325673,SK,6,Ilava,
325674,SK,8,Turany Nad Vahom,
325675,SK,6,Ladce,
325676,SK,3,StarÈ,
325677,SK,6,Myjava,
325678,SK,3,Moldava Nad Bodvou,
325679,SK,8,Oravsk· Lesn·,
325680,SK,7,Straze,
325681,SK,1,Detva,
325682,SK,4,Zeliezovce,
325683,SK,5,Levoca,
325684,SK,3,Secovce,
325685,SK,4,Nova Bana,
325686,SK,1,Filakovo,
325687,SK,1,Hnusta,
325688,SK,3,Sobrance,
325689,SK,3,Kralovsky Chlmec,
325690,SK,5,Stropkov,
325691,SK,2,Rovinka,
325692,SK,7,Velke Ulany,
325693,SK,8,RajeckÈ Teplice,
325694,SK,7,Jablonica,
325695,SK,1,Harmanec,
325696,SK,6,Nemsova,
325697,SK,6,Nov·ky,
325698,SK,6,DlhÈ,
325699,SK,5,Nova Lubovna,
325700,SK,2,Jelka,
325701,SK,1,Dolina,
325702,SK,8,Sucany,
325703,SK,1,Cinobana,
325704,SK,4,Imel,
325705,SK,7,Sladkovicovo,
325706,SK,2,Vinicne,
325707,SK,8,Velicna,
325708,SK,2,Modra,
325709,SK,2,Ivanka Pri Dunaji,
325710,SK,4,Tlmace,
325711,SK,1,Krizna,
325712,SK,4,KamenÌn,
325713,SK,5,Vysna Olsava,
325714,SK,3,Snina,
325715,SK,4,Pastuchov,
325716,SK,3,Slavec,
325717,SK,6,Vadovce,
325718,SK,6,Valask· Bel·,
325719,SK,1,Praha,
325720,SK,4,Bajc,
325721,SK,8,Teplicka Nad Vahom,
325722,SK,8,Turany,
325723,SK,6,Trencianska Tepla,
325724,SK,8,Oscadnica,
325725,SK,1,Halic,
325726,SK,1,Selce,
325727,SK,3,Tornala,
325728,SK,4,Dvory Nad Zitavou,
325729,SK,1,Hrinova,
325730,SK,4,Nesvady,
325731,SK,4,Tvrdosovce,
325732,SK,4,Pal·rikovo,
325733,SK,4,Luzianky,
325734,SK,1,Zvolensk· Slatina,
325735,SK,3,Prakovce,
325736,SK,3,Lemesany,
325737,SK,5,VysokÈ Tatry,
325738,SK,6,Mesto,
325739,SK,3,Velke Kapusany,
325740,SK,4,Surany,
325741,SK,1,Banska Stiavnica,
325742,SK,2,Ohrady,
325743,SK,2,Velky Biel,
325744,SK,7,Kralova,
325745,SK,8,Trsten·,
325746,SK,1,Kremnicka,
325747,SK,2,Holic,
325748,SK,2,Tomasov,
325749,SK,2,Malinovo,
325750,SK,2,Limbach,
325751,SK,5,Medzilaborce,
325752,SK,5,Lipany,
325753,SK,3,Cana,
325754,SK,5,Hanusovce Nad Toplou,
325755,SK,5,Kapusany,
325756,SK,2,Gabcikovo,
325757,SK,5,ZlatÈ,
325758,SK,2,Stvrtok Na Ostrove,
325759,SK,2,Dolny Stal,
325760,SK,6,Chynorany,
325761,SK,4,Topolcianky,
325762,SK,3,Cierna Nad Tisou,
325763,SK,7,Budmerice,
325764,SK,7,Zavar,
325765,SK,2,Chorv·tsk˝ Grob,
325766,SK,2,Na Ostrove,
325767,SK,8,Kostany Nad Turcom,
325768,SK,7,Vlckovce,
325769,SK,6,PruskÈ,
325770,SK,8,Zuberec,
325771,SK,1,Bystricka,
325772,SK,6,Kanianka,
325773,SK,8,Nitrianske Pravno,
325774,SK,1,Chrenovec,
325775,SK,8,Nedozery,
325776,SK,6,Drietoma,
325777,SK,6,Melcice,
325778,SK,8,Turzovka,
325779,SK,8,Velke Rovne,
325780,SK,8,Rabca,
325781,SK,1,Lubela,
325782,SK,6,Nitrianske Rudno,
325783,SK,7,Leopoldov,
325784,SK,1,Krupina,
325785,SK,8,Vr˙tky,
325786,SK,2,Miloslavov,
325787,SK,4,Dedinka,
325788,SK,2,Bernol·kovo,
325789,SK,2,Hamuliakovo,
325790,SK,2,Kalinkovo,
325791,SK,2,Sv‰t˝ Jur,
325792,SK,8,Bel·,
325793,SK,8,VarÌn,
325794,SK,8,SkalitÈ,
325795,SK,8,Kysuck˝ Lieskovec,
325796,SK,6,Koseca,
325797,SK,8,Rakov·,
325798,SK,8,Liptovsk· Tepl·,
325799,SK,8,Divina,
325800,SK,8,Klastor Pod Znievom,
325801,SK,8,Likavka,
325802,SK,8,Makov,
325803,SK,7,VrbovÈ,
325804,SK,7,Soporna,
325805,SK,2,Zemianska Olca,
325806,SK,4,Komjatice,
325807,SK,1,Polomka,
325808,SK,1,Z·vadka Nad Hronom,
325809,SK,1,Pohorel·,
325810,SK,1,Helpa,
325811,SK,1,Hodrusa,
325812,SK,1,Lovinobana,
325813,SK,1,Lieskovec,
325814,SK,1,Myto Pod Dumbierom,
325815,SK,7,Matuskovo,
325816,SK,5,Spisska Bela,
325817,SK,3,Tusicka Nova Ves,
325818,SK,5,Velka Lomnica,
325819,SK,5,Smizany,
325820,SK,5,Spisske Podhradie,
325821,SK,8,Lietavska Lucka,
325822,SK,6,Trencianske Teplice,
325823,SK,7,Brezov· Pod Bradlom,
325824,SK,8,Tvrdosin,
325825,SK,4,Kol·rovo,
325826,SK,3,Cecejovce,
325827,SK,3,Turna Nad Bodvou,
325828,SK,3,Zdana,
325829,SK,3,Nizny Hrabovec,
325830,SK,3,Dobsina,
325831,SK,3,Plesivec,
325832,SK,5,PodolÌnec,
325833,SK,3,Mal· Ida,
325834,SK,3,Trhoviste,
325835,SK,5,Margecany,
325836,SK,3,Gelnica,
325837,SK,5,Lubotin,
325838,SK,5,Chminianska Nov· Ves,
325839,SK,2,Senkvice,
325840,SK,8,Osada,
325841,SK,7,Brestovany,
325842,SK,7,Such· Nad Parnou,
325843,SK,7,CÌfer,
325844,SK,2,Gbely,
325845,SK,5,Lubotice,
325846,SK,4,Bosany,
325847,SK,7,Bojnicky,
325848,SK,4,HornÈ Otrokovce,
325849,SK,4,Slatina,
325850,SK,8,Z·kamennÈ,
325851,SK,6,Bolesov,
325852,SK,7,Dojc,
325853,SK,8,Staskov,
325854,SK,8,Terchov·,
325855,SK,8,Kr·sno Nad Kysucou,
325856,SK,6,LednickÈ Rovne,
325857,SK,1,Strba,
325858,SK,6,Kostoln·,
325859,SK,3,Stankovce,
325860,SK,6,Oslany,
325861,SK,3,Valaliky,
325862,SK,6,L˙ka,
325863,SK,2,Z·vod,
325864,SK,2,Studienka,
325865,SK,3,Lev·re,
325866,SK,3,Kr·snovce,
325867,SK,3,Streda Nad Bodrogom,
325868,SK,4,Koz·rovce,
325869,SK,4,Marcelov·,
325870,SK,6,HornÈ Srnie,
325871,SK,5,Kamenica,
325872,SK,6,Kamenec,
325873,SK,4,Pata,
325874,SK,6,Belusa,
325875,SK,1,Mikusovce,
325876,SK,7,Trebatice,
325877,SK,5,Star˝ Smokovec,
325878,SK,4,Tura,
325879,SK,5,Cervenica,
325880,SK,8,Pravenec,
325881,SK,6,Horna Suca,
325882,SK,1,Balaze,
325883,SK,6,Kocovce,
325884,SK,5,Jablonov,
325885,SK,5,Velky Saris,
325886,SK,3,Sena,
325887,SK,1,Horna Stubna,
325888,SK,5,Ladomirov·,
325889,SK,1,Vazec,
325890,SK,8,Star· Bystrica,
325891,SK,8,Oravsk· Polhora,
325892,SK,8,Strecno,
325893,SK,6,Dolna Suca,
325894,SK,6,Lednica,
325895,SK,8,Svinn·,
325896,SK,8,Lazany,
325897,SK,7,Cierny Brod,
325898,SK,7,Cierna Voda,
325899,SK,1,Kokava Nad Rimavicou,
325900,SK,1,Kalinovo,
325901,SK,2,Kostolany,
325902,SK,1,BadÌn,
325903,SK,3,Posa,
325904,SK,8,Drazkovce,
325905,SK,1,Mosovce,
325906,SK,8,Jasenica,
325907,SK,8,Liesek,
325908,SK,6,Biskupice,
325909,SK,3,Skaros,
325910,SK,3,TrstenÈ Pri Horn·de,
325911,SK,3,Drienovec,
325912,SK,3,Rozhanovce,
325913,SK,3,Biel,
325914,SK,5,Studenec,
325915,SK,4,Kralova Nad Vahom,
325916,SK,5,Durkov,
325917,SK,1,Klacany,
325918,SK,3,Svatuse,
325919,SK,7,DvornÌky,
325920,SK,3,Semsa,
325921,SK,3,Horovce,
325922,SK,3,Svinica,
325923,SK,3,Nizna Mysla,
325924,SK,3,BrzotÌn,
325925,SK,7,Podhradie,
325926,SK,3,Zarnov,
325927,SK,4,Diakovce,
325928,SK,3,Cestice,
325929,SK,7,Zbehy,
325930,SK,4,N·na,
325931,SK,7,Sintava,
325932,SK,1,Poloma,
325933,SK,1,Stiavnicka,
325934,SK,4,Hrkovce,
325935,SK,5,Torysa,
325936,SK,5,Kalniste,
325937,SK,5,Brezov,
325938,SK,7,Doln· Streda,
325939,SK,7,Jablonec,
325940,SK,5,Krivany,
325941,SK,8,Vysny Kubin,
325942,SK,8,Podvysok·,
325943,SK,3,Turnianska Nov· Ves,
325944,SK,8,Radola,
325945,SK,6,Cerenany,
325946,SK,8,Olesna,
325947,SK,8,Dvorec,
325948,SK,8,Dlh· Nad Oravou,
325949,SK,1,Sliace,
325950,SK,3,Cierna,
325951,SK,8,Cimhova,
325952,SK,8,Oravsk˝ Podz·mok,
325953,SK,1,V˝chodn·,
325954,SK,3,Gemersk· Horka,
325955,SK,1,Poproc,
325956,SK,3,Sacurov,
325957,SK,5,Uzovsky Salgov,
325958,SK,1,Cakanovce,
325959,SK,3,Stakcin,
325960,SK,5,Kochanovce,
325961,SK,5,HlinnÈ,
325962,SK,5,Dubovica,
325963,SK,5,Raznany,
325964,SK,5,Chotca,
325965,SK,5,Fulianka,
325966,SK,1,M˝tna,
325967,SK,5,Vysny Orlik,
325968,SK,8,Jastrabie,
325969,SK,1,Petrovce,
325970,SK,5,Svinia,
325971,SK,5,Rozkovany,
325972,SK,5,Krizova Ves,
325973,SK,5,Dacov,
325974,SK,5,Cicava,
325975,SK,5,Lada,
325976,SK,3,N·lepkovo,
325977,SK,5,Kojatice,
325978,SK,5,Michalany,
325979,SK,5,Lendak,
325980,SK,5,Lubica,
325981,SK,4,K·lna,
325982,SK,2,Cicov,
325983,SK,6,Opatovce,
325984,SK,1,Hontianske Nemce,
325985,SK,7,HornÈ Saliby,
325986,SK,5,Koskovce,
325987,SK,8,Nov· Bystrica,
325988,SK,8,Svrcinovec,
325989,SK,1,Bobrovec,
325990,SK,6,Lys· Pod Makytou,
325991,SK,6,Rybany,
325992,SK,6,Bosaca,
325993,SK,6,Zabokreky Nad Nitrou,
325994,SK,5,Poliakovce,
325995,SK,4,Pozba,
325996,SK,1,Mucin,
325997,SK,4,Preselany,
325998,SK,1,Cerovo,
325999,SK,4,Gbelce,
326000,SK,4,Radosina,
326001,SK,4,Solcany,
326002,SK,4,SvodÌn,
326003,SK,3,Davidov,
326004,SK,4,Velke Ripnany,
326005,SK,2,Sekule,
326006,SK,3,Bel· Nad Cirochou,
326007,SK,8,Z·zriv·,
326008,SK,6,Horn· Streda,
326009,SK,5,Hrabovec,
326010,SK,8,Klubina,
326011,SK,8,IstebnÈ,
326012,SK,8,Domaniza,
326013,SK,5,Bijacovce,
326014,SK,8,Novot,
326015,SK,5,Dapalovce,
326016,SK,4,Pukanec,
326017,SK,5,Turcovce,
326018,SK,3,Ochtin·,
326019,SK,5,Sarisske Dravce,
326020,SK,1,Jakubovany,
326021,SK,5,Caklov,
326022,SK,3,Nizna Slana,
326023,SK,6,Bzince Pod Javorinou,
326024,SK,7,Drahovce,
326025,SK,2,BrodskÈ,
326026,SK,7,Madunice,
326027,SK,2,Petrova Ves,
326028,SK,6,Chocholn·,
326029,SK,3,Kopcany,
326030,SK,8,Cierne,
326031,SK,8,Lazy Pod Makytou,
326032,SK,1,Krivan,
326033,SK,1,Ocova,
326034,SK,1,Viglas,
326035,SK,8,Liskov·,
326036,SK,5,Kamienka,
326037,SK,5,Letanovce,
326038,SK,5,Jakubany,
326039,SK,3,Velka Ida,
326040,SK,5,Vislanka,
326041,SK,5,Jarabina,
326042,SK,5,Haniska,
326043,SK,5,Spisska Stara Ves,
326044,SK,5,Ohradzany,
326045,SK,8,Krpelany,
326046,SK,5,BystrÈ,
326047,SK,3,SlovenskÈ NovÈ Mesto,
326048,SK,3,DlhÈ Nad Cirochou,
326049,SK,3,Vechec,
326050,SK,5,Vysny Zipov,
326051,SK,8,Lietava,
326052,SK,7,Sobotiste,
326053,SK,1,Budca,
326054,SK,7,Abrah·m,
326055,SK,4,Branc,
326056,SK,4,Moca,
326057,SK,1,Sebedrazie,
326058,SK,1,Slanec,
326059,SK,4,HornÈ Semerovce,
326060,SK,3,Bohdanovce,
326061,SK,5,Siroke,
