locId,country,region,city,postcode
328118,SN,,,
328119,SN,1,Dakar,
328120,SN,14,Saint-louis,
328121,SN,12,Ziguinchor,
328122,SN,1,Guédiawaye,
328123,SN,11,Kolda,
328124,SN,7,Mbour,
328125,SN,15,Matam,
328126,SN,7,Nianing,
328127,SN,7,Joal,
328128,SN,1,Rufisque,
328129,SN,11,Touba,
328130,SN,7,Somone,
328131,SN,7,Massar,
328132,SN,1,Bargny,
328133,SN,1,Cambérène,
328134,SN,1,Ouakam,
328135,SN,11,Médina,
328136,SN,1,Hann,
328137,SN,4,Dial,
328138,SN,13,Louga,
328139,SN,7,Thiès,
328140,SN,10,Kaolack,
328141,SN,3,Diourbel,
328142,SN,7,Pout,
328143,SN,10,Koungueul,
328144,SN,9,Fatick,
328145,SN,7,D'angd'ang,
328146,SN,3,Touba,
328147,SN,1,Pikine,
328148,SN,4,Podor,
328149,SN,4,Dagana,
328150,SN,3,Mbacké,
328151,SN,7,Mékhé,
328152,SN,1,Gorée,
328153,SN,1,Yoff,
328154,SN,7,Popenguine,
328155,SN,7,Portudal,
328156,SN,7,Mboro,
328157,SN,9,Fimela,
328158,SN,5,Tambacounda,
328159,SN,4,Richard Toll,
328160,SN,9,Gossas,
328161,SN,8,Linguère,
328162,SN,12,Kabrousse,
328163,SN,9,Sokone,
328164,SN,7,Tivaouane,
328165,SN,7,Diogo,
328166,SN,7,Ngaparou,
328167,SN,9,Diofior,
328168,SN,12,Bignona,
328169,SN,7,Sène Ouolof,
328170,SN,1,Dèni Demba Kodou,
328171,SN,7,Dakar Dioi,
328172,SN,10,Médina,
328173,SN,1,Grand Yof,
328174,SN,1,Yène Tode,
328175,SN,7,Diambalo,
328176,SN,3,Tiatiaou,
328177,SN,7,Kaniak,
328178,SN,8,Guéoul,
328179,SN,1,Grand Dakar,
328180,SN,1,Sébikhotane,
328181,SN,11,Vélingara,
328182,SN,7,Santiou Dara,
328183,SN,8,Dia Khaté,
328184,SN,9,Niapguel,
328185,SN,1,Bargny Ngoude,
328186,SN,10,Ndiafat,
328187,SN,7,Diokoul,
328188,SN,7,Lambahine,
328189,SN,7,Keur Koumba,
328190,SN,11,Sédhiou,
328191,SN,7,Fadiouth,
328192,SN,5,Sabodala,
328193,SN,5,Bakel,
328194,SN,5,Kédougou,
328195,SN,7,Sali,
328196,SN,14,St-louis,
